,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0104F013,1,OUT,0.0006468000000000001,0.0012810000000000002,0.0011088,1500.0,136,0.91,N,NG
1,0104F013,2,OUT,0.0008652,0.0008946000000000002,0.0013901999999999999,1500.0,112,0.75,N,NG
2,0104F013,3,OUT,0.0013188,0.0006930000000000003,0.0008441999999999999,1500.0,122,0.81,N,NG
3,0104F013,4,OUT,0.0009534000000000001,0.001407,0.0017724,1500.0,101,0.67,N,NG
4,0104F013,5,IN,0.04196224999999999,,,4000.0,353,0.88,N,NG
5,0104F013,6,IN,0.03494311,,,4000.0,299,0.75,N,NG
6,01083243,1,OUT,0.0009492000000000001,0.0005376000000000005,0.0010416000000000002,1500.0,90,0.6,N,NG
7,01083243,2,OUT,0.0010122,0.0004410000000000004,0.0012936000000000002,1500.0,101,0.67,N,NG
8,01083243,3,OUT,0.0014448,0.001218,0.0015666,1500.0,98,0.65,N,NG
9,01083243,4,OUT,0.0013440000000000001,0.0016338000000000001,0.0020748,1500.0,82,0.55,N,NG
10,01083243,5,IN,0.01876857,,,4000.0,254,0.64,N,NG
11,01083243,6,IN,0.016327130000000002,,,4000.0,342,0.86,N,NG
12,01083553,1,OUT,0.0011088,0.0010962000000000003,0.001617,1500.0,90,0.6,N,NG
13,01083553,2,OUT,0.0011592,0.0009996000000000002,0.0015918,1500.0,89,0.59,N,NG
14,01083553,3,OUT,0.0013776,0.0016085999999999997,0.0020412,1500.0,83,0.55,N,NG
15,01083553,4,OUT,0.0012306,0.0012096,0.0021252000000000003,1500.0,66,0.44,N,NG
16,01083553,5,IN,0.01876857,,,4000.0,319,0.8,N,NG
17,01083553,6,IN,0.014038279999999998,,,4000.0,374,0.94,N,NG
18,01083651,1,OUT,0.0006258,0.0008273999999999998,0.0032844000000000003,1500.0,116,0.77,N,NG
19,01083651,2,OUT,0.0013692,0.0016380000000000003,0.0046872,1500.0,148,0.99,N,NG
20,01083651,3,OUT,0.0008736000000000002,0.0016128000000000002,0.0017598000000000002,1500.0,77,0.51,N,NG
21,01083651,4,OUT,0.0012012000000000004,0.0007644000000000001,0.0028266000000000003,1500.0,77,0.51,N,NG
22,01083651,5,IN,0.023346270000000002,,,4000.0,319,0.8,N,NG
23,01083651,6,IN,0.01632713,,,4000.0,417,1.04,N,NG
24,01083872,1,OUT,0.0024234,0.0034818,0.004893,1500.0,136,0.91,N,NG
25,01083872,2,OUT,0.0012894,0.0010836,0.0012600000000000003,1500.0,99,0.66,N,NG
26,01083872,3,OUT,0.0010626000000000001,0.0009282000000000003,0.0013692,1500.0,116,0.77,N,NG
27,01083872,4,OUT,0.0016296000000000001,0.0014994,0.002352,1500.0,81,0.54,N,NG
28,01083872,5,IN,0.016327130000000002,,,4000.0,273,0.68,N,NG
29,01083872,6,IN,0.014038279999999998,,,4000.0,326,0.82,N,NG
30,01084092,1,OUT,0.0014868,0.0016548000000000005,0.0020454,1500.0,141,0.94,N,NG
31,01084092,2,OUT,0.0008778000000000001,0.0008904,0.0013733999999999999,1500.0,97,0.65,N,NG
32,01084092,3,OUT,0.005514600000000001,0.011411399999999999,0.0175014,1500.0,168,1.12,N,NG
33,01084092,4,OUT,0.0086478,0.012243,0.0188916,1500.0,206,1.37,N,NG
34,01084092,5,OUT,0.0014742000000000002,0.0017849999999999997,0.0019320000000000001,1500.0,139,0.93,N,NG
35,01084092,6,IN,0.48203180999999995,,,4000.0,363,0.91,N,NG
36,01084092,7,IN,0.18173469,,,4000.0,307,0.77,N,NG
37,0112A421,1,OUT,0.00084,0.0019278,0.0013608,1500.0,243,1.62,N,NG
38,0112A421,2,OUT,0.0012264,0.0016338,0.0017724000000000001,1500.0,141,0.94,N,NG
39,0112A421,3,OUT,0.0006762000000000003,0.0010332000000000002,0.0015372,1500.0,145,0.97,N,NG
40,0112A421,4,OUT,0.0017094000000000002,0.0011928,0.002079,1500.0,152,1.01,N,NG
41,0112A421,5,IN,0.018615979999999997,,,4000.0,301,0.75,N,NG
42,0112A421,6,IN,0.01632713,,,4000.0,344,0.86,N,NG
43,0112A521,1,OUT,0.009156000000000001,0.011188800000000002,0.0110124,1500.0,113,0.75,N,NG
44,0112A521,2,OUT,0.0018563999999999998,0.004027800000000001,0.0019950000000000002,1500.0,118,0.79,N,NG
45,0112A521,3,IN,0.02105742,,,4000.0,265,0.66,N,NG
46,0112A521,4,IN,0.023346269999999995,,,4000.0,289,0.72,N,NG
47,0206B281,1,OUT,0.0014658000000000002,0.0015078000000000001,0.003939600000000001,1500.0,285,1.9,N,NG
48,0206B281,2,OUT,0.0017766000000000001,0.0016968000000000005,0.0030534000000000004,1500.0,282,1.88,N,NG
49,0206B281,3,OUT,0.0018984000000000002,0.0016254000000000004,0.0033936,1500.0,154,1.03,N,NG
50,0206B281,4,IN,0.02792397,,,4000.0,401,1.0,N,NG
51,0206B281,5,IN,0.027923970000000006,,,4000.0,348,0.87,N,NG
52,0206Q681,1,OUT,0.0008946000000000001,0.0016842,0.0010332,1500.0,118,0.79,N,NG
53,0206Q681,2,OUT,0.001071,0.0013902000000000003,0.0021336000000000003,1500.0,95,0.63,N,NG
54,0206Q681,3,OUT,0.0007896000000000001,0.0010290000000000002,0.0017724000000000004,1500.0,187,1.25,N,NG
55,0206Q681,4,OUT,0.0006972,0.0012222000000000001,0.0014826,1500.0,99,0.66,N,NG
56,0206Q681,5,IN,0.02807656,,,4000.0,430,1.08,N,NG
57,0206Q681,6,IN,0.01861598,,,4000.0,351,0.88,N,NG
58,0207B562,1,OUT,0.0031836000000000004,0.0029190000000000006,0.003977400000000001,1500.0,156,1.04,N,NG
