,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0000D711,,,,,,,,,,,,,,,,OK,N
0,0000E741,,,,,,,,,,,,,,,,OK,N
0,0000H036,,,,,,,,,,,,,,,,OK,N
0,0000H932,,,,,,,,,,,,,,,,OK,N
0,00013262,,,,,,,,,,,,,,,,OK,N
0,00022231,,,,,,,,,,,,,,,,OK,N
0,00022431,,,,,,,,,,,,,,,,OK,N
0,0002A811,,,,,,,,,,,,,,,,OK,N
0,0002D711,,,,,,,,,,,,,,,,OK,N
0,0003C043,,,,,,,,,,,,,,,,OK,N
0,0003R341,,,,,,,,,,,,,,,,OK,N
0,0004C533,,,,,,,,,,,,,,,,OK,N
0,0004C621,,,,,,,,,,,,,,,,OK,N
0,0004F952,,,,,,,,,,,,,,,,OK,N
0,0004Q991,,,,,,,,,,,,,,,,OK,N
0,0004W273,,,,,,,,,,,,,,,,OK,N
0,0008B441,,,,,,,,,,,,,,,,OK,N
0,00093752,,,,,,,,,,,,,,,,OK,N
0,00093783,,,,,,,,,,,,,,,,OK,N
0,0009C751,,,,,,,,,,,,,,,,OK,N
0,00101141,,,,,,,,,,,,,,,,OK,N
0,00111147,,,,,,,,,,,,,,,,OK,N
0,00111191,,,,,,,,,,,,,,,,OK,N
0,00111461,,,,,,,,,,,,,,,,OK,N
0,00132404,,,,,,,,,,,,,,,,OK,N
0,00133511,,,,,,,,,,,,,,,,OK,N
0,00152422,,,,,,,,,,,,,,,,OK,N
0,00153611,,,,,,,,,,,,,,,,OK,N
0,0100D931,,,,,,,,,,,,,,,,OK,N
0,0100R761,,,,,,,,,,,,,,,,OK,N
0,01021441,,,,,,,,,,,,,,,,OK,N
0,0102F451,,,,,,,,,,,,,,,,OK,N
0,0103F561,,,,,,,,,,,,,,,,OK,N
0,0104Q832,,,,,,,,,,,,,,,,OK,N
0,0104W001,,,,,,,,,,,,,,,,OK,N
0,0104Y442,,,,,,,,,,,,,,,,OK,N
