,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,1539H711,3,OUT,0.0049602000000000005,0.002583,0.0039060000000000006,1500.0,189,1.26,N,NG
1,1539H711,4,OUT,0.0017682000000000002,0.0015036,0.0023436000000000004,1500.0,161,1.07,N,NG
2,1539H711,5,OUT,0.0030408,0.0023310000000000006,0.0033096,1500.0,162,1.08,N,NG
3,1539H711,6,OUT,0.0027594000000000004,0.0024234,0.004065600000000001,1500.0,155,1.03,N,NG
4,1539H711,1,IN,0.02807656,,,4300.0,135,0.31,N,NG
5,1539H711,2,IN,0.02319368,,,4300.0,110,0.26,N,NG
6,1540C903,3,OUT,0.0007686,0.0014784000000000002,0.0008064,1500.0,149,0.99,N,NG
7,1540C903,4,OUT,0.0015204,0.0012222000000000001,0.0015036,1500.0,161,1.07,N,NG
8,1540C903,5,OUT,0.0017976,0.0014321999999999998,0.0016758,1500.0,157,1.05,N,NG
9,1540C903,6,OUT,0.0015918000000000002,0.0009786,0.0015203999999999999,1500.0,151,1.01,N,NG
10,1540C903,1,IN,0.04669254,,,4300.0,121,0.28,N,NG
11,1540C903,2,IN,0.02792397,,,4300.0,141,0.33,N,NG
12,1540P281,3,OUT,0.0014280000000000002,0.0012684000000000003,0.0025998,1500.0,186,1.24,N,NG
13,1540P281,4,OUT,0.0009156000000000002,0.0007938000000000003,0.000651,1500.0,78,0.52,N,NG
14,1540P281,5,OUT,0.0013902,0.0020874000000000005,0.0017388000000000002,1500.0,161,1.07,N,NG
15,1540P281,6,OUT,0.0016002,0.0014154,0.0016632,1500.0,225,1.5,N,NG
16,1540P281,1,IN,0.04898139,,,4300.0,142,0.33,N,NG
17,1540P281,2,IN,0.051270239999999995,,,4300.0,139,0.32,N,NG
18,16372581,1,OUT,0.00032760000000000005,0.0005040000000000001,0.0009282000000000003,1500.0,160,1.07,N,NG
19,16372581,2,OUT,0.0004955999999999999,0.0009114000000000001,0.0008862000000000002,1500.0,123,0.82,N,NG
20,16372581,3,OUT,0.0007266,0.0010374,0.0010458,1500.0,162,1.08,N,NG
21,16372581,4,OUT,0.0009492000000000001,0.0005207999999999999,0.0008022,1500.0,162,1.08,N,NG
22,16372581,5,IN,0.025635120000000004,,,4300.0,138,0.32,N,NG
23,16372581,6,IN,0.053559090000000004,,,4300.0,137,0.32,N,NG
24,16372945,1,OUT,0.0007056,0.0005670000000000002,0.0008442000000000002,1500.0,99,0.66,N,NG
25,16372945,2,OUT,0.0009324,0.0011382000000000002,0.0009281999999999999,1500.0,165,1.1,N,NG
26,16372945,3,OUT,0.0008358,0.0007727999999999997,0.0009786,1500.0,104,0.69,N,NG
27,16372945,4,OUT,0.0011340000000000002,0.0011802,0.0013943999999999998,1500.0,149,0.99,N,NG
28,16372945,5,IN,0.016327130000000002,,,5000.0,153,0.31,N,NG
29,16372945,6,IN,0.32593224,,,5000.0,180,0.36,N,NG
30,16382277,1,OUT,0.0009408000000000003,0.0012138000000000001,0.0011004,1500.0,138,0.92,N,NG
31,16382277,2,OUT,0.0008147999999999999,0.00044519999999999976,0.0008652,1500.0,98,0.65,N,NG
32,16382277,3,OUT,0.0005964000000000001,0.0006132000000000004,0.001092,1500.0,102,0.68,N,NG
33,16382277,4,OUT,0.0008862000000000002,0.0016002,0.0012516000000000003,1500.0,127,0.85,N,NG
34,16382277,5,IN,0.01632713,,,5000.0,149,0.3,N,NG
35,16382277,6,IN,0.018615979999999997,,,5000.0,167,0.33,N,NG
36,1638G782,1,OUT,0.0018732,0.0015372000000000003,0.0023856000000000003,1500.0,114,0.76,N,NG
37,1638G782,2,OUT,0.0009744,0.0013566,0.0021126000000000005,1500.0,121,0.81,N,NG
38,1638G782,3,OUT,0.002163,0.0015119999999999995,0.002037,1500.0,83,0.55,N,NG
39,1638G782,4,OUT,0.0019278,0.0015917999999999996,0.0032634000000000005,1500.0,103,0.69,N,NG
40,1638G782,5,IN,0.02807656,,,3500.0,131,0.37,N,NG
41,1638G782,6,IN,0.02334627,,,3500.0,176,0.5,N,NG
42,16391051,3,OUT,0.0029652000000000003,0.0018228000000000003,0.0029652000000000003,1500.0,114,0.76,N,NG
43,16391051,4,OUT,0.0011634,0.0012936,0.0005585999999999998,1500.0,154,1.03,N,NG
44,16391051,5,OUT,0.0013692,0.0015918000000000006,0.0019488,1500.0,133,0.89,N,NG
45,16391051,6,OUT,0.0038808000000000007,0.0009155999999999999,0.0023982,1500.0,145,0.97,N,NG
46,16391051,1,IN,0.03265426,,,4300.0,88,0.2,N,NG
47,16391051,2,IN,0.0396734,,,4300.0,135,0.31,N,NG
48,16394132,1,OUT,0.0007056,0.0007644000000000001,0.0014952,1500.0,111,0.74,N,NG
49,16394132,2,OUT,0.0006299999999999999,0.0006342000000000001,0.0014616,1500.0,113,0.75,N,NG
50,16394132,3,OUT,0.000693,0.0007139999999999998,0.002184,1500.0,90,0.6,N,NG
51,16394132,4,OUT,0.0003822000000000001,0.0004158,0.0007559999999999999,1500.0,141,0.94,N,NG
52,16394132,5,IN,0.0396734,,,4300.0,131,0.3,N,NG
53,16394132,6,IN,0.03250167,,,4300.0,127,0.3,N,NG
54,1639C262,3,OUT,0.0012306,0.001302,0.0011802000000000002,1500.0,86,0.57,N,NG
55,1639C262,4,OUT,0.0012432,0.0045276,0.0016548,1500.0,93,0.62,N,NG
56,1639C262,5,OUT,0.0043722000000000006,0.0019656000000000005,0.004443600000000001,1500.0,154,1.03,N,NG
