,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
8,19341396,8,OUT,7,0.2,20,50,0.919,0.882,0.866,0.959,-0.939,0.931,5.5,257.0,0.5,NG
7,19341396,8,OUT,6,0.2,20,50,0.883,0.874,0.861,0.94,0.935,0.928,5.42,244.0,0.5,NG
2,19341396,7,OUT,6,0.2,20,65,0.851,0.683,0.811,0.923,0.826,0.901,4.99,244.0,0.98,NG
1,19341396,7,OUT,5,0.2,20,65,0.906,0.665,0.742,0.952,0.816,0.862,4.94,231.0,0.98,NG
6,19341396,8,OUT,5,0.2,20,50,0.683,0.764,0.765,0.827,0.874,0.874,4.79,231.0,0.5,NG
4,19341396,7,OUT,8,0.2,20,65,0.729,0.668,0.733,0.854,0.818,0.856,4.66,270.0,0.98,NG
9,19341396,8,OUT,8,0.2,20,50,0.47,0.813,0.819,0.685,-0.902,0.905,4.59,270.0,0.5,NG
3,19341396,7,OUT,7,0.2,20,65,0.899,0.518,0.637,0.948,0.72,0.798,4.52,257.0,0.98,NG
0,19341396,7,OUT,4,0.2,20,65,0.797,0.524,0.649,0.893,-0.724,0.806,4.39,219.0,0.98,NG
5,19341396,8,OUT,4,0.2,20,50,0.468,0.641,0.533,0.684,0.801,0.729,3.86,219.0,0.5,NG
