,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0005C391,1,OUT,0.0007895999999999999,0.0014238000000000005,0.0011298,1500.0,384,2.56,N,OK
1,0005C391,2,OUT,0.0009618000000000001,0.0008442000000000002,0.0015329999999999999,1500.0,386,2.57,N,OK
2,0005C391,3,OUT,0.001092,0.0008148000000000001,0.0015918,1500.0,383,2.55,N,OK
3,0005C391,4,OUT,0.0012054000000000001,0.0008442000000000002,0.0015540000000000003,1500.0,478,3.19,N,OK
4,0005C391,5,IN,0.02792397,,,4300.0,231,0.54,N,NG
5,0005C391,6,IN,0.01632713,,,4300.0,242,0.56,N,NG
6,0005C491,1,OUT,0.0014532000000000002,0.001827,0.0016758000000000003,1500.0,404,2.69,N,OK
7,0005C491,2,OUT,0.0008232000000000002,0.0010247999999999998,0.0018312000000000003,1500.0,332,2.21,N,OK
8,0005C491,3,OUT,0.0008694000000000002,0.0010458000000000004,0.0012348,1500.0,489,3.26,N,OK
9,0005C491,4,IN,0.020904830000000006,,,5000.0,274,0.55,N,NG
10,0005C491,5,IN,0.01403828,,,5000.0,297,0.59,N,NG
11,0005D491,1,OUT,0.0013440000000000001,0.0036498000000000004,0.0040278000000000015,1500.0,347,2.31,N,OK
12,0005D491,2,OUT,0.0011886000000000002,0.0025578000000000003,0.0015834000000000002,1500.0,469,3.13,N,OK
13,0005D491,3,OUT,0.0006972,0.000693,0.0006468000000000001,1500.0,400,2.67,N,OK
14,0005D491,4,OUT,0.0011466,0.0008190000000000003,0.0012894,1500.0,364,2.43,N,OK
15,0005D491,5,IN,0.01876857,,,5000.0,232,0.46,N,NG
16,0005D491,6,IN,0.01632713,,,5000.0,205,0.41,N,NG
17,0007P522,1,OUT,0.0022302000000000003,0.0033012000000000002,0.0048174,1500.0,362,2.41,N,OK
18,0007P522,2,OUT,0.0011256,0.0025410000000000003,0.0014658000000000002,1500.0,276,1.84,N,NG
19,0007P522,3,OUT,0.0008568000000000001,0.0018816,0.0013019999999999998,1500.0,406,2.71,N,OK
20,0007P522,4,OUT,0.0006636,0.0018018,0.0010542000000000001,1500.0,351,2.34,N,OK
21,0007P522,5,IN,0.01876857,,,4000.0,237,0.59,N,NG
22,0007P522,6,IN,0.023193679999999994,,,4000.0,233,0.58,N,NG
23,0007R334,1,OUT,0.0011382,0.0022302000000000003,0.0015918000000000004,1500.0,309,2.06,N,OK
24,0007R334,2,OUT,0.001575,0.0011634000000000002,0.0017052,1500.0,334,2.23,N,OK
25,0007R334,3,OUT,0.0024234,0.0024402,0.005161799999999999,1500.0,336,2.24,N,OK
