,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
12,0107P011,5,OUT,6,0.2,20,55,0.749,0.684,0.721,0.865,0.827,0.849,4.7,114.0,0.82,NG
13,0107P011,5,OUT,7,0.2,20,55,0.765,0.603,0.451,0.875,0.776,0.672,4.14,127.0,0.82,NG
11,0107P011,5,OUT,4,0.2,20,55,0.724,0.477,0.548,0.851,0.691,0.74,4.03,89.0,0.82,NG
3,0107P011,2,OUT,2,0.2,20,60,0.573,0.544,0.566,0.757,-0.738,0.752,3.93,103.0,0.6,NG
4,0107P011,2,OUT,3,0.2,20,60,0.669,0.524,0.457,0.818,-0.724,-0.676,3.87,116.0,0.6,NG
1,0107P011,1,OUT,8,0.25,20,60,0.392,0.488,0.655,0.626,0.698,0.81,3.67,90.0,0.9,NG
9,0107P011,4,OUT,8,0.2,20,60,0.49,0.47,0.411,0.7,0.686,-0.642,3.4,110.0,0.9,NG
10,0107P011,5,OUT,3,0.2,20,55,0.671,0.391,0.313,0.819,0.625,0.559,3.38,76.0,0.82,NG
0,0107P011,1,OUT,7,0.2,32,60,0.623,0.309,0.391,0.79,0.556,0.625,3.29,77.0,0.9,NG
5,0107P011,4,OUT,4,0.25,20,60,0.651,0.338,0.334,0.807,0.581,0.578,3.29,59.0,0.9,NG
14,0107P011,5,OUT,8,0.2,20,55,0.395,0.475,0.37,0.631,0.689,0.609,3.17,140.0,0.82,NG
8,0107P011,4,OUT,7,0.2,20,60,0.563,0.342,0.338,0.75,0.585,0.582,3.16,97.0,0.9,NG
2,0107P011,2,OUT,1,0.2,20,60,0.399,0.386,0.448,0.632,-0.621,0.669,3.15,90.0,0.6,NG
6,0107P011,4,OUT,5,0.2,24,60,0.509,0.304,0.4,0.714,0.552,0.633,3.11,71.0,0.9,NG
7,0107P011,4,OUT,6,0.2,22,60,0.39,0.314,0.404,0.625,0.561,0.636,2.93,84.0,0.9,NG
