,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
11,0109R411,7,OUT,6,0.35,20,55,0.811,0.445,0.322,0.901,0.667,0.568,3.71,334.0,0.82,NG
6,0109R411,5,OUT,6,0.2,24,55,0.71,0.486,0.33,0.843,0.698,0.574,3.64,334.0,0.82,NG
5,0109R411,5,OUT,4,0.2,20,55,0.46,0.46,0.45,0.678,-0.679,0.671,3.4,309.0,0.82,NG
2,0109R411,1,OUT,5,0.2,34,60,0.33,0.44,0.494,0.575,0.664,0.703,3.21,321.0,0.9,NG
8,0109R411,6,OUT,6,0.2,26,55,0.318,0.434,0.463,0.564,0.659,0.68,3.12,314.0,0.82,NG
3,0109R411,1,OUT,6,0.2,32,60,0.455,0.374,0.36,0.674,0.612,0.6,3.08,334.0,0.9,NG
0,0109R411,1,OUT,3,0.25,26,60,0.343,0.495,0.309,0.586,0.703,0.557,2.99,296.0,0.9,NG
4,0109R411,5,OUT,3,0.2,20,55,0.381,0.431,0.317,0.618,0.657,0.563,2.97,296.0,0.82,NG
9,0109R411,6,OUT,8,0.2,28,55,0.361,0.431,0.316,0.601,0.657,0.562,2.93,340.0,0.82,NG
7,0109R411,6,OUT,5,0.2,22,55,0.34,0.431,0.316,0.583,0.657,-0.562,2.89,301.0,0.82,NG
1,0109R411,1,OUT,4,0.2,28,60,0.308,0.373,0.362,0.555,0.611,0.602,2.81,309.0,0.9,NG
10,0109R411,7,OUT,4,0.2,24,55,0.402,0.301,0.343,0.634,0.548,0.585,2.81,309.0,0.82,NG
