,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0005C391,,,,,,,,,,,,,,,,OK,N
0,0005C491,,,,,,,,,,,,,,,,OK,N
0,0005D491,,,,,,,,,,,,,,,,OK,N
0,0007P522,,,,,,,,,,,,,,,,OK,N
0,0007R334,,,,,,,,,,,,,,,,OK,N
0,0008F141,,,,,,,,,,,,,,,,OK,N
0,0008F323,,,,,,,,,,,,,,,,OK,N
0,0008F552,,,,,,,,,,,,,,,,OK,N
0,0008F571,,,,,,,,,,,,,,,,OK,N
0,0008F633,,,,,,,,,,,,,,,,OK,N
0,0008F662,,,,,,,,,,,,,,,,OK,N
0,0008F833,,,,,,,,,,,,,,,,OK,N
0,0009G901,,,,,,,,,,,,,,,,OK,N
0,0009R861,,,,,,,,,,,,,,,,OK,N
0,0009W391,,,,,,,,,,,,,,,,OK,N
0,0009Z445,,,,,,,,,,,,,,,,OK,N
0,0009Z561,,,,,,,,,,,,,,,,OK,N
0,0009Z571,,,,,,,,,,,,,,,,OK,N
0,0009Z852,,,,,,,,,,,,,,,,OK,N
0,0009Z963,,,,,,,,,,,,,,,,OK,N
0,0105E052,,,,,,,,,,,,,,,,OK,N
0,0106A682,,,,,,,,,,,,,,,,OK,N
0,0106Q091,,,,,,,,,,,,,,,,OK,N
0,0107E473,,,,,,,,,,,,,,,,OK,N
12,0107P011,5,OUT,6,0.2,20,55,0.749,0.684,0.721,0.865,0.827,0.849,4.7,114.0,0.82,NG,N
13,0107P011,5,OUT,7,0.2,20,55,0.765,0.603,0.451,0.875,0.776,0.672,4.14,127.0,0.82,NG,N
11,0107P011,5,OUT,4,0.2,20,55,0.724,0.477,0.548,0.851,0.691,0.74,4.03,89.0,0.82,NG,N
3,0107P011,2,OUT,2,0.2,20,60,0.573,0.544,0.566,0.757,-0.738,0.752,3.93,103.0,0.6,NG,N
4,0107P011,2,OUT,3,0.2,20,60,0.669,0.524,0.457,0.818,-0.724,-0.676,3.87,116.0,0.6,NG,N
1,0107P011,1,OUT,8,0.25,20,60,0.392,0.488,0.655,0.626,0.698,0.81,3.67,90.0,0.9,NG,N
9,0107P011,4,OUT,8,0.2,20,60,0.49,0.47,0.411,0.7,0.686,-0.642,3.4,110.0,0.9,NG,N
10,0107P011,5,OUT,3,0.2,20,55,0.671,0.391,0.313,0.819,0.625,0.559,3.38,76.0,0.82,NG,N
0,0107P011,1,OUT,7,0.2,32,60,0.623,0.309,0.391,0.79,0.556,0.625,3.29,77.0,0.9,NG,N
5,0107P011,4,OUT,4,0.25,20,60,0.651,0.338,0.334,0.807,0.581,0.578,3.29,59.0,0.9,NG,N
14,0107P011,5,OUT,8,0.2,20,55,0.395,0.475,0.37,0.631,0.689,0.609,3.17,140.0,0.82,NG,N
8,0107P011,4,OUT,7,0.2,20,60,0.563,0.342,0.338,0.75,0.585,0.582,3.16,97.0,0.9,NG,N
2,0107P011,2,OUT,1,0.2,20,60,0.399,0.386,0.448,0.632,-0.621,0.669,3.15,90.0,0.6,NG,N
6,0107P011,4,OUT,5,0.2,24,60,0.509,0.304,0.4,0.714,0.552,0.633,3.11,71.0,0.9,NG,N
7,0107P011,4,OUT,6,0.2,22,60,0.39,0.314,0.404,0.625,0.561,0.636,2.93,84.0,0.9,NG,N
0,0107P312,,,,,,,,,,,,,,,,OK,N
0,0108A103,,,,,,,,,,,,,,,,OK,N
0,0108B281,,,,,,,,,,,,,,,,OK,N
0,0108X343,,,,,,,,,,,,,,,,OK,N
0,0108Y861,,,,,,,,,,,,,,,,OK,N
0,0108Z141,,,,,,,,,,,,,,,,OK,N
0,0109P023,,,,,,,,,,,,,,,,OK,N
4,0109P113,4,OUT,1,0.2,20,45,0.52,0.721,0.631,0.721,0.849,0.794,4.24,220.0,0.54,NG,N
2,0109P113,2,OUT,8,0.2,20,40,0.706,0.479,0.493,0.84,-0.692,0.702,3.91,180.0,0.48,NG,N
1,0109P113,2,OUT,7,0.2,20,40,0.744,0.42,0.41,0.862,-0.649,0.64,3.73,167.0,0.48,NG,N
6,0109P113,8,OUT,5,0.2,20,45,0.463,0.376,0.402,0.681,0.613,0.634,3.17,161.0,0.54,NG,N
3,0109P113,3,OUT,5,0.2,20,40,0.33,0.439,0.436,0.575,0.662,0.66,3.1,231.0,0.48,NG,N
5,0109P113,8,OUT,3,0.2,20,45,0.351,0.438,0.36,0.592,0.662,0.6,3.0,136.0,0.54,NG,N
7,0109P113,8,OUT,6,0.2,22,45,0.309,0.5,0.345,-0.555,0.707,0.587,3.0,174.0,0.54,NG,N
0,0109P113,2,OUT,1,0.2,38,40,0.322,0.336,0.326,0.567,-0.58,0.571,2.7,90.0,0.48,NG,N
0,0109P412,,,,,,,,,,,,,,,,OK,N
0,0109Q583,,,,,,,,,,,,,,,,OK,N
0,0109Q753,,,,,,,,,,,,,,,,OK,N
0,0109Q761,,,,,,,,,,,,,,,,OK,N
0,0109Q771,,,,,,,,,,,,,,,,OK,N
0,0109Q842,,,,,,,,,,,,,,,,OK,N
0,0109R081,,,,,,,,,,,,,,,,OK,N
0,0109R092,,,,,,,,,,,,,,,,OK,N
0,0109R381,,,,,,,,,,,,,,,,OK,N
11,0109R411,7,OUT,6,0.35,20,55,0.811,0.445,0.322,0.901,0.667,0.568,3.71,334.0,0.82,NG,N
6,0109R411,5,OUT,6,0.2,24,55,0.71,0.486,0.33,0.843,0.698,0.574,3.64,334.0,0.82,NG,N
5,0109R411,5,OUT,4,0.2,20,55,0.46,0.46,0.45,0.678,-0.679,0.671,3.4,309.0,0.82,NG,N
2,0109R411,1,OUT,5,0.2,34,60,0.33,0.44,0.494,0.575,0.664,0.703,3.21,321.0,0.9,NG,N
8,0109R411,6,OUT,6,0.2,26,55,0.318,0.434,0.463,0.564,0.659,0.68,3.12,314.0,0.82,NG,N
3,0109R411,1,OUT,6,0.2,32,60,0.455,0.374,0.36,0.674,0.612,0.6,3.08,334.0,0.9,NG,N
0,0109R411,1,OUT,3,0.25,26,60,0.343,0.495,0.309,0.586,0.703,0.557,2.99,296.0,0.9,NG,N
4,0109R411,5,OUT,3,0.2,20,55,0.381,0.431,0.317,0.618,0.657,0.563,2.97,296.0,0.82,NG,N
9,0109R411,6,OUT,8,0.2,28,55,0.361,0.431,0.316,0.601,0.657,0.562,2.93,340.0,0.82,NG,N
7,0109R411,6,OUT,5,0.2,22,55,0.34,0.431,0.316,0.583,0.657,-0.562,2.89,301.0,0.82,NG,N
1,0109R411,1,OUT,4,0.2,28,60,0.308,0.373,0.362,0.555,0.611,0.602,2.81,309.0,0.9,NG,N
10,0109R411,7,OUT,4,0.2,24,55,0.402,0.301,0.343,0.634,0.548,0.585,2.81,309.0,0.82,NG,N
0,0109R631,,,,,,,,,,,,,,,,OK,N
0,0109S411,,,,,,,,,,,,,,,,OK,N
0,0109S441,,,,,,,,,,,,,,,,OK,N
0,0109W202,,,,,,,,,,,,,,,,OK,N
0,0109W403,,,,,,,,,,,,,,,,OK,N
0,0109X232,,,,,,,,,,,,,,,,OK,N
2,0109Y062,2,OUT,1,0.2,24,45,0.664,0.307,0.427,0.815,-0.554,0.653,3.42,90.0,0.68,NG,N
3,0109Y062,2,OUT,3,0.2,26,45,0.623,0.313,0.451,0.79,0.559,0.671,3.41,116.0,0.68,NG,N
7,0109Y062,4,OUT,1,0.2,22,40,0.578,0.337,0.41,0.76,-0.581,0.641,3.31,90.0,0.6,NG,N
1,0109Y062,1,OUT,8,0.45,20,50,0.509,0.387,0.326,0.713,0.622,0.571,3.13,90.0,0.75,NG,N
4,0109Y062,2,OUT,4,0.2,20,65,0.33,0.4,0.456,0.574,-0.632,0.676,3.07,129.0,0.98,NG,N
5,0109Y062,2,OUT,5,0.2,26,65,0.314,0.373,0.496,0.56,0.611,0.704,3.06,141.0,0.98,NG,N
8,0109Y062,4,OUT,3,0.2,20,40,0.537,0.308,0.332,0.733,-0.555,0.576,3.04,116.0,0.6,NG,N
6,0109Y062,2,OUT,6,0.2,22,65,0.335,0.379,0.406,0.579,0.616,0.637,2.95,154.0,0.98,NG,N
0,0109Y062,1,OUT,1,0.2,20,45,0.301,0.311,0.334,0.55,0.558,0.578,2.63,0.0,0.68,NG,N
0,0109Z141,,,,,,,,,,,,,,,,OK,N
0,0109Z454,,,,,,,,,,,,,,,,OK,N
0,0109Z552,,,,,,,,,,,,,,,,OK,N
0,0206C798,,,,,,,,,,,,,,,,OK,N
0,0206H761,,,,,,,,,,,,,,,,OK,N
0,0206X393,,,,,,,,,,,,,,,,OK,N
0,0207A874,,,,,,,,,,,,,,,,OK,N
0,0207A882,,,,,,,,,,,,,,,,OK,N
0,0207D932,,,,,,,,,,,,,,,,OK,N
0,0207H801,,,,,,,,,,,,,,,,OK,N
0,0207Q621,,,,,,,,,,,,,,,,OK,N
0,0207W242,,,,,,,,,,,,,,,,OK,N
0,0207W244,,,,,,,,,,,,,,,,OK,N
0,0207W661,,,,,,,,,,,,,,,,OK,N
0,0207W761,,,,,,,,,,,,,,,,OK,N
0,0207W972,,,,,,,,,,,,,,,,OK,N
0,0207Y874,,,,,,,,,,,,,,,,OK,N
0,0209R231,,,,,,,,,,,,,,,,OK,N
0,0307B121,,,,,,,,,,,,,,,,OK,N
0,0307C421,,,,,,,,,,,,,,,,OK,N
0,0307C522,,,,,,,,,,,,,,,,OK,N
0,0307C632,,,,,,,,,,,,,,,,OK,N
0,0307D203,,,,,,,,,,,,,,,,OK,N
0,0307D332,,,,,,,,,,,,,,,,OK,N
0,0307Q133,,,,,,,,,,,,,,,,OK,N
0,9711Z182,,,,,,,,,,,,,,,,OK,N
0,9808X071,,,,,,,,,,,,,,,,OK,N
0,9808Y593,,,,,,,,,,,,,,,,OK,N
0,9808Y682,,,,,,,,,,,,,,,,OK,N
0,9808Y764,,,,,,,,,,,,,,,,OK,N
0,9808Y765,,,,,,,,,,,,,,,,OK,N
0,9808Y853,,,,,,,,,,,,,,,,OK,N
0,9905F115,,,,,,,,,,,,,,,,OK,N
0,9905F721,,,,,,,,,,,,,,,,OK,N
0,9907W424,,,,,,,,,,,,,,,,OK,N
0,9907Z692,,,,,,,,,,,,,,,,OK,N
0,9908D993,,,,,,,,,,,,,,,,OK,N
0,9908F751,,,,,,,,,,,,,,,,OK,N
0,9908G451,,,,,,,,,,,,,,,,OK,N
0,9908P711,,,,,,,,,,,,,,,,OK,N
0,9908R062,,,,,,,,,,,,,,,,OK,N
0,9908R461,,,,,,,,,,,,,,,,OK,N
0,9908R691,,,,,,,,,,,,,,,,OK,N
0,9909A763,,,,,,,,,,,,,,,,OK,N
0,9909E782,,,,,,,,,,,,,,,,OK,N
0,9910A101,,,,,,,,,,,,,,,,OK,N
0,9910R361,,,,,,,,,,,,,,,,OK,N
0,9910R363,,,,,,,,,,,,,,,,OK,N
0,9910R392,,,,,,,,,,,,,,,,OK,N
0,9910R432,,,,,,,,,,,,,,,,OK,N
