,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0115X982,1,OUT,0.0027468,0.002919,0.0035196000000000003,1500.0,256,1.71,N,NG
1,0115X982,2,OUT,0.0014532000000000002,0.0016506,0.002352,1500.0,223,1.49,N,NG
2,0115X982,3,OUT,0.0025536000000000005,0.0023814,0.0044268,1500.0,192,1.28,N,NG
3,0115X982,4,OUT,0.0023478,0.0023603999999999995,0.005002200000000001,1500.0,190,1.27,N,NG
4,0115X982,5,IN,0.025635119999999997,,,4000.0,519,1.3,N,NG
5,0115X982,6,IN,0.018615979999999997,,,4000.0,702,1.76,N,NG
6,0214F971,1,OUT,0.0008484000000000002,0.0006972000000000003,0.0011508000000000002,1500.0,355,2.37,N,OK
7,0214F971,2,OUT,0.0008946,0.000987,0.0006510000000000001,1500.0,358,2.39,N,OK
8,0214F971,3,OUT,0.0006006000000000002,0.0006720000000000003,0.001239,1500.0,231,1.54,N,NG
9,0214F971,4,OUT,0.0007182,0.00084,0.0012516000000000003,1500.0,220,1.47,N,NG
10,0214F971,5,IN,0.02319368,,,4000.0,456,1.14,N,NG
11,0214F971,6,IN,0.025635119999999997,,,4000.0,419,1.05,N,NG
12,0215B971,1,OUT,0.0016884000000000003,0.0034524000000000004,0.0045024,1500.0,314,2.09,N,OK
13,0215B971,2,OUT,0.0063126,0.0019781999999999994,0.0048006,1500.0,345,2.3,N,OK
14,0215B971,3,OUT,0.0007938,0.0009702000000000001,0.0016757999999999999,1500.0,282,1.88,N,NG
15,0215B971,4,OUT,0.001176,0.0010668000000000006,0.0015456000000000003,1500.0,308,2.05,N,OK
16,0215B971,5,IN,0.04898139,,,4000.0,475,1.19,N,NG
17,0215B971,6,IN,0.020904830000000006,,,4000.0,464,1.16,N,NG
18,0216X321,1,OUT,0.0021588,0.00294,0.0035658,1500.0,272,1.81,N,NG
19,0216X321,2,OUT,0.001869,0.0033432,0.0029778,1500.0,268,1.79,N,NG
20,0216X321,3,OUT,0.0018227999999999999,0.0032004000000000004,0.0025074000000000008,1500.0,242,1.61,N,NG
21,0216X321,4,OUT,0.0016380000000000001,0.0030534,0.0028434000000000003,1500.0,236,1.57,N,NG
22,0216X321,5,IN,0.07217507,,,4000.0,451,1.13,N,NG
23,0216X321,6,IN,0.08377191,,,4000.0,457,1.14,N,NG
24,0415Z104,1,OUT,0.0012684000000000003,0.0016170000000000002,0.0017010000000000003,1500.0,343,2.29,N,OK
25,0415Z104,2,OUT,0.0012222000000000001,0.0010878000000000003,0.0017304,1500.0,316,2.11,N,OK
26,0415Z104,3,OUT,0.001239,0.0008273999999999998,0.0017934,1500.0,268,1.79,N,NG
27,0415Z104,4,OUT,0.0014406000000000002,0.0009197999999999997,0.0021546000000000004,1500.0,309,2.06,N,OK
28,0415Z104,5,IN,0.07217507,,,4000.0,485,1.21,N,NG
29,0415Z104,6,IN,0.07446392,,,4000.0,572,1.43,N,NG
30,0417H041,1,OUT,0.0023058,0.0016842000000000003,0.0045444000000000005,1500.0,274,1.83,N,NG
31,0417H041,2,OUT,0.0011466000000000002,0.0012893999999999998,0.0020076,1500.0,353,2.35,N,OK
32,0417H041,3,OUT,0.0010961999999999999,0.0007812000000000001,0.0012180000000000001,1500.0,311,2.07,N,OK
33,0417H041,4,OUT,0.0011424000000000002,0.0010751999999999997,0.0017387999999999995,1500.0,307,2.05,N,OK
34,0417H041,5,IN,0.04898139,,,4100.0,438,1.07,N,NG
35,0417H041,6,IN,0.08377191,,,4000.0,532,1.33,N,NG
36,0418F071,1,OUT,0.0011970000000000001,0.0015624000000000002,0.0019152000000000001,1500.0,294,1.96,N,NG
