,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0002C901,1,OUT,0.0016254,0.0006551999999999999,0.0016044,1500.0,258,1.72,N,NG
1,0002C901,2,OUT,0.0009786,0.0008568,0.0014112,1500.0,205,1.37,N,NG
2,0002C901,3,OUT,0.0021252000000000003,0.0017724,0.002835,1500.0,187,1.25,N,NG
3,0002C901,4,OUT,0.0014490000000000002,0.0022806000000000002,0.0022596000000000005,1500.0,169,1.13,N,NG
4,0002C901,5,IN,0.01403828,,,4000.0,163,0.41,N,NG
5,0002C901,6,IN,0.016327129999999995,,,4000.0,195,0.49,N,NG
6,0002P262,1,OUT,0.0125286,0.0022386,0.0206724,1500.0,252,1.68,N,NG
7,0002P262,2,OUT,0.0009071999999999999,0.000693,0.0010374,1500.0,164,1.09,N,NG
8,0002P262,3,IN,0.020904830000000006,,,4000.0,160,0.4,N,NG
9,0002P262,4,IN,0.016174540000000008,,,4000.0,154,0.38,N,NG
10,0002Q613,1,OUT,0.0013986,0.0009240000000000001,0.0018144000000000003,1500.0,369,2.46,N,OK
11,0002Q613,2,OUT,0.002625,0.0018270000000000003,0.0030282,1500.0,261,1.74,N,NG
12,0002Q613,3,OUT,0.0022218000000000003,0.0022596000000000005,0.0024948,1500.0,208,1.39,N,NG
13,0002Q613,4,OUT,0.0015246,0.0011886,0.0022680000000000005,1500.0,232,1.55,N,NG
14,0002Q613,5,IN,0.021057419999999993,,,4000.0,136,0.34,N,NG
15,0002Q613,6,IN,0.014038279999999993,,,4000.0,123,0.31,N,NG
16,0003X761,1,OUT,0.0037926,0.0027804000000000006,0.0041118000000000005,1500.0,281,1.87,N,NG
17,0003X761,2,OUT,0.003549,0.0032634000000000005,0.0039858,1500.0,212,1.41,N,NG
18,0003X761,3,OUT,0.0015119999999999999,0.0018522,0.0018186,1500.0,182,1.21,N,NG
19,0003X761,4,OUT,0.0025368,0.0008610000000000002,0.0026249999999999997,1500.0,207,1.38,N,NG
20,0003X761,5,IN,0.016327129999999992,,,4000.0,129,0.32,N,NG
21,0003X761,6,IN,0.01403828,,,4000.0,142,0.36,N,NG
22,0003Z365,1,OUT,0.0014616,0.0011969999999999997,0.0015162,1500.0,172,1.15,N,NG
23,0003Z365,2,OUT,0.001575,0.0012978,0.0021126,1500.0,160,1.07,N,NG
24,0003Z365,3,OUT,0.0018018,0.0013523999999999997,0.0031164,1500.0,169,1.13,N,NG
25,0003Z365,4,OUT,0.0010752000000000001,0.0009030000000000002,0.0019908,1500.0,146,0.97,N,NG
26,0003Z365,5,IN,0.016327129999999992,,,4000.0,132,0.33,N,NG
27,0003Z365,6,IN,0.016327129999999995,,,4000.0,127,0.32,N,NG
28,0004F293,1,OUT,0.0011592,0.0011088,0.0018480000000000003,1500.0,260,1.73,N,NG
29,0004F293,2,OUT,0.0023688,0.0022806,0.0037253999999999994,1500.0,198,1.32,N,NG
30,0004F293,3,OUT,0.0012684,0.0013314,0.0025746000000000002,1500.0,204,1.36,N,NG
