,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0002C901,,,,,,,,,,,,,,,,OK,N
0,0002P262,,,,,,,,,,,,,,,,OK,N
0,0002Q613,,,,,,,,,,,,,,,,OK,N
0,0003X761,,,,,,,,,,,,,,,,OK,N
0,0003Z365,,,,,,,,,,,,,,,,OK,N
0,0004F293,,,,,,,,,,,,,,,,OK,N
0,0004Y272,,,,,,,,,,,,,,,,OK,N
0,0005P311,,,,,,,,,,,,,,,,OK,N
0,0005R413,,,,,,,,,,,,,,,,OK,N
0,0005S115,,,,,,,,,,,,,,,,OK,N
0,0005W512,,,,,,,,,,,,,,,,OK,N
0,0005Y381,,,,,,,,,,,,,,,,OK,N
0,0005Y394,,,,,,,,,,,,,,,,OK,N
0,0005Z541,,,,,,,,,,,,,,,,OK,N
0,0102G065,,,,,,,,,,,,,,,,OK,N
0,0102H481,,,,,,,,,,,,,,,,OK,N
0,0102H563,,,,,,,,,,,,,,,,OK,N
0,0102P951,,,,,,,,,,,,,,,,OK,N
0,0102P952,,,,,,,,,,,,,,,,OK,N
0,0103B451,,,,,,,,,,,,,,,,OK,N
0,0103B562,,,,,,,,,,,,,,,,OK,N
0,0103E115,,,,,,,,,,,,,,,,OK,N
0,0103Z652,,,,,,,,,,,,,,,,OK,N
0,0104F154,,,,,,,,,,,,,,,,OK,N
0,0105G091,,,,,,,,,,,,,,,,OK,N
0,0202C231,,,,,,,,,,,,,,,,OK,N
0,0202G272,,,,,,,,,,,,,,,,OK,N
0,0202H222,,,,,,,,,,,,,,,,OK,N
0,0202W771,,,,,,,,,,,,,,,,OK,N
0,0204A261,,,,,,,,,,,,,,,,OK,N
0,0205G851,,,,,,,,,,,,,,,,OK,N
0,0301E523,,,,,,,,,,,,,,,,OK,N
0,0302E121,,,,,,,,,,,,,,,,OK,N
0,0302E171,,,,,,,,,,,,,,,,OK,N
0,0302E222,,,,,,,,,,,,,,,,OK,N
0,0302E373,,,,,,,,,,,,,,,,OK,N
0,0302E622,,,,,,,,,,,,,,,,OK,N
0,0302H182,,,,,,,,,,,,,,,,OK,N
0,0302H671,,,,,,,,,,,,,,,,OK,N
0,0302W651,,,,,,,,,,,,,,,,OK,N
1,0302Y061,6,OUT,6,0.2,38,45,0.414,0.384,0.345,0.643,0.619,-0.587,2.99,154.0,0.68,NG,N
0,0302Y061,4,OUT,2,0.25,26,40,0.305,0.305,0.325,0.552,-0.553,0.57,2.61,23.0,0.6,NG,N
0,0302Y182,,,,,,,,,,,,,,,,OK,N
0,0303A122,,,,,,,,,,,,,,,,OK,N
0,0303E014,,,,,,,,,,,,,,,,OK,N
0,0303G993,,,,,,,,,,,,,,,,OK,N
0,0303P161,,,,,,,,,,,,,,,,OK,N
0,0303P911,,,,,,,,,,,,,,,,OK,N
0,0303P922,,,,,,,,,,,,,,,,OK,N
0,0303Q033,,,,,,,,,,,,,,,,OK,N
0,0303R981,,,,,,,,,,,,,,,,OK,N
0,0303R991,,,,,,,,,,,,,,,,OK,N
0,0303W941,,,,,,,,,,,,,,,,OK,N
0,0303W951,,,,,,,,,,,,,,,,OK,N
0,0303Y044,,,,,,,,,,,,,,,,OK,N
0,0303Y974,,,,,,,,,,,,,,,,OK,N
0,0403D212,,,,,,,,,,,,,,,,OK,N
0,0403D351,,,,,,,,,,,,,,,,OK,N
0,0403G462,,,,,,,,,,,,,,,,OK,N
0,0506F381,,,,,,,,,,,,,,,,OK,N
0,9502H901,,,,,,,,,,,,,,,,OK,N
0,9599D585,,,,,,,,,,,,,,,,OK,N
0,9599F301,,,,,,,,,,,,,,,,OK,N
0,9599Q115,,,,,,,,,,,,,,,,OK,N
