,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,7609A943,1,OUT,0.0031878,0.002881200000000001,0.0025788000000000004,1500.0,219,1.46,N,NG
1,7609A943,2,OUT,0.0028266000000000003,0.0022470000000000007,0.0024696000000000006,1500.0,169,1.13,N,NG
2,7609A943,3,OUT,0.0028392,0.0028434000000000003,0.0036708,1500.0,194,1.29,N,NG
3,7609A943,4,OUT,0.0026124000000000004,0.002184,0.002226,1500.0,178,1.19,N,NG
4,7609A943,5,IN,0.03723196,,,4000.0,676,1.69,N,NG
5,7609A943,6,IN,0.02090483,,,4000.0,543,1.36,N,NG
6,7609B043,1,OUT,0.0008862000000000002,0.0006048000000000002,0.0010836,1500.0,208,1.39,N,NG
7,7609B043,2,OUT,0.0029232000000000004,0.0012348,0.0013482000000000001,1500.0,220,1.47,N,NG
8,7609B043,3,OUT,0.005749800000000001,0.0040236000000000004,0.0042588,1500.0,188,1.25,N,NG
9,7609B043,4,IN,0.03952081,,,4000.0,398,1.0,N,NG
10,7609B043,5,IN,0.04196225,,,4000.0,684,1.71,N,NG
11,7609S872,1,OUT,0.0005754,0.0010458,0.0017304,1500.0,188,1.25,N,NG
12,7609S872,2,OUT,0.004086600000000001,0.0035532000000000003,0.0051492000000000005,1500.0,189,1.26,N,NG
13,7609S872,3,OUT,0.0049518,0.00651,0.0074592,1500.0,185,1.23,N,NG
14,7609S872,4,OUT,0.000903,0.0016463999999999997,0.001911,1500.0,201,1.34,N,NG
15,7609S872,5,IN,0.06744478000000001,,,4000.0,527,1.32,N,NG
16,7609S872,6,IN,0.06988622,,,4000.0,425,1.06,N,NG
17,7708D751,1,OUT,0.0023814,0.0024317999999999996,0.0039185999999999995,1500.0,200,1.33,N,NG
18,7708D751,2,OUT,0.0012852000000000002,0.0027468000000000006,0.0021168000000000003,1500.0,172,1.15,N,NG
19,7708D751,3,OUT,0.0019950000000000002,0.002763600000000001,0.0042378,1500.0,187,1.25,N,NG
20,7708D751,4,IN,0.01632713,,,4000.0,531,1.33,N,NG
21,7708D751,5,IN,0.01861598,,,4000.0,593,1.48,N,NG
22,7709E071,1,OUT,0.0007854,0.0015288000000000003,0.0019110000000000002,1500.0,190,1.27,N,NG
23,7709E071,2,OUT,0.0010877999999999999,0.0010835999999999997,0.0020244,1500.0,186,1.24,N,NG
24,7709E071,3,OUT,0.0007727999999999999,0.0005333999999999998,0.0012264,1500.0,195,1.3,N,NG
25,7709E071,4,OUT,0.0011802000000000002,0.0018354000000000003,0.0010878,1500.0,166,1.11,N,NG
26,7709E071,5,IN,0.08377191,,,4000.0,416,1.04,N,NG
27,7709E071,6,IN,0.07446392,,,4000.0,517,1.29,N,NG
