,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0029F691,1,OUT,0.0024402,0.0012936000000000007,0.0026418,1500.0,151,1.01,N,NG
1,0029F691,2,OUT,0.0012096,0.0012516000000000003,0.0022470000000000007,1500.0,156,1.04,N,NG
2,0029F691,3,OUT,0.0010122,0.0004452000000000002,0.0018522,1500.0,121,0.81,N,NG
3,0029F691,4,OUT,0.0013314000000000004,0.0008190000000000003,0.0020244,1500.0,141,0.94,N,NG
4,0029F691,5,IN,0.03036541,,,5300.0,232,0.44,N,NG
5,0029F691,6,IN,0.02792397,,,5300.0,216,0.41,N,NG
6,0030F932,1,OUT,0.0008190000000000001,0.0014490000000000006,0.002184,1500.0,208,1.39,N,NG
7,0030F932,2,OUT,0.0029022,0.0013691999999999997,0.0029904000000000003,1500.0,321,2.14,N,OK
8,0030F932,3,OUT,0.001386,0.0011676,0.0020496,1500.0,128,0.85,N,NG
9,0030F932,4,OUT,0.0020244,0.0013062000000000002,0.0023646,1500.0,128,0.85,N,NG
10,0030F932,5,IN,0.03723196,,,4700.0,345,0.73,N,NG
11,0030F932,6,IN,0.034790520000000005,,,4700.0,220,0.47,N,NG
12,0032W502,3,OUT,0.0008946000000000002,0.0022008000000000006,0.0014616000000000004,1200.0,127,1.06,N,NG
13,0032W502,4,OUT,0.0019614000000000003,0.0010458000000000004,0.0023184000000000004,1200.0,147,1.23,N,NG
14,0032W502,5,OUT,0.0015120000000000003,0.0016338000000000004,0.001911,1200.0,180,1.5,N,NG
15,0032W502,6,OUT,0.0012180000000000001,0.005417999999999999,0.0036078,1200.0,141,1.18,N,NG
16,0032W502,1,IN,0.02090483,,,4500.0,256,0.57,N,NG
17,0032W502,2,IN,0.01876857,,,4500.0,224,0.5,N,NG
18,0127B434,3,OUT,0.0013188000000000002,0.0017808,0.0026208000000000004,1500.0,182,1.21,N,NG
19,0127B434,4,OUT,0.0011802000000000002,0.0028266000000000007,0.0032214,1500.0,150,1.0,N,NG
20,0127B434,5,OUT,0.001239,0.002318400000000001,0.0019614000000000003,1500.0,154,1.03,N,NG
21,0127B434,6,OUT,0.0011970000000000001,0.002528400000000001,0.0027384,1500.0,172,1.15,N,NG
22,0127B434,1,IN,0.016327130000000002,,,5200.0,268,0.52,N,NG
23,0127B434,2,IN,0.011596840000000004,,,5200.0,254,0.49,N,NG
24,0127D411,3,OUT,0.0020454,0.0023352,0.0047586,1500.0,151,1.01,N,NG
25,0127D411,4,OUT,0.0019992000000000005,0.0019404000000000005,0.0025284,1500.0,187,1.25,N,NG
26,0127D411,5,OUT,0.0015876000000000002,0.0027257999999999996,0.0026880000000000007,1500.0,175,1.17,N,NG
27,0127D411,6,OUT,0.001953,0.0019992,0.0040026,1500.0,178,1.19,N,NG
28,0127D411,1,IN,0.01861598,,,5200.0,257,0.49,N,NG
29,0127D411,2,IN,0.013885690000000003,,,5200.0,254,0.49,N,NG
30,0127D432,3,OUT,0.0119826,0.0110166,0.017346,1500.0,187,1.25,N,NG
31,0127D432,4,OUT,0.010861199999999998,0.0110922,0.018156600000000002,1500.0,209,1.39,N,NG
32,0127D432,5,OUT,0.013607999999999999,0.0088998,0.0132762,1500.0,232,1.55,N,NG
33,0127D432,1,IN,0.01159684,,,4500.0,245,0.54,N,NG
34,0127D432,2,IN,0.02090483,,,4500.0,211,0.47,N,NG
35,0127D441,3,OUT,0.0036372,0.0040404,0.0080178,1500.0,201,1.34,N,NG
36,0127D441,4,OUT,0.0062622,0.0067410000000000005,0.0123564,1500.0,209,1.39,N,NG
37,0127D441,5,OUT,0.005405400000000001,0.0051786,0.0130032,1500.0,188,1.25,N,NG
38,0127D441,6,OUT,0.0039900000000000005,0.0044814,0.007799400000000001,1500.0,197,1.31,N,NG
