,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0024F751,1,OUT,0.009244200000000001,0.0065646,0.009622200000000001,1500.0,384,2.56,N,OK
1,0024F751,2,OUT,0.0023898,0.0043302,0.0051828,1500.0,271,1.81,N,NG
2,0024F751,3,OUT,0.0018438,0.0031374000000000003,0.005208000000000001,1500.0,252,1.68,N,NG
3,0024F751,6,OUT,0.001407,0.0024234,0.0023646,1000.0,223,2.23,N,OK
4,0024F751,7,OUT,0.012293400000000001,0.0092148,0.0130452,800.0,174,2.17,N,OK
5,0024F751,4,IN,0.03021282,,,5500.0,201,0.37,N,NG
6,0024F751,5,IN,0.03494311,,,5500.0,241,0.44,N,NG
7,0024F851,1,OUT,0.0054894,0.0037548,0.0047796,1500.0,168,1.12,N,NG
8,0024F851,2,OUT,0.005947200000000001,0.005065200000000001,0.011571000000000001,1500.0,148,0.99,N,NG
9,0024F851,3,OUT,0.0013608000000000001,0.0024822000000000004,0.0026880000000000003,1500.0,126,0.84,N,NG
10,0024F851,4,OUT,0.0017009999999999998,0.0048258,0.004510800000000001,1500.0,170,1.13,N,NG
11,0024F851,5,IN,0.06515593,,,5200.0,195,0.38,N,NG
12,0024F851,6,IN,0.06042564,,,5200.0,190,0.37,N,NG
13,0125H612,3,OUT,0.0008652,0.0006971999999999998,0.002142,1500.0,132,0.88,N,NG
14,0125H612,4,OUT,0.0022722000000000003,0.0017262000000000002,0.0032130000000000006,1500.0,131,0.87,N,NG
15,0125H612,5,OUT,0.002268,0.0008652,0.0029274,1500.0,185,1.23,N,NG
16,0125H612,6,OUT,0.0013356000000000002,0.0021126,0.0043176,1500.0,143,0.95,N,NG
17,0125H612,1,IN,0.06057823,,,4500.0,119,0.26,N,NG
18,0125H612,2,IN,0.06286708,,,4500.0,124,0.28,N,NG
19,0125Q011,1,OUT,0.0009996,0.0017724000000000004,0.001722,1500.0,159,1.06,N,NG
20,0125Q011,2,OUT,0.001008,0.0013146000000000002,0.0020076,1500.0,114,0.76,N,NG
21,0125Q011,3,OUT,0.0011760000000000002,0.0012894,0.0012726,1500.0,119,0.79,N,NG
22,0125Q011,4,OUT,0.0013356000000000002,0.0022218,0.003003,1500.0,165,1.1,N,NG
23,0125Q011,5,IN,0.02792397,,,5500.0,199,0.36,N,NG
24,0125Q011,6,IN,0.02792397,,,5500.0,243,0.44,N,NG
25,0125Q355,1,OUT,0.0024108000000000003,0.0033936000000000005,0.0046956,1500.0,173,1.15,N,NG
26,0125Q355,2,OUT,0.0012264000000000003,0.0008778000000000002,0.0013818,1500.0,197,1.31,N,NG
27,0125Q355,3,OUT,0.0008568,0.0006299999999999999,0.0008358,1500.0,141,0.94,N,NG
28,0125Q355,4,OUT,0.0008022000000000001,0.0007770000000000003,0.0012096000000000001,1500.0,101,0.67,N,NG
29,0125Q355,5,IN,0.025635119999999997,,,4300.0,127,0.3,N,NG
30,0125Q355,6,IN,0.01861598,,,4300.0,171,0.4,N,NG
31,0125R921,1,OUT,0.0012180000000000001,0.0008105999999999999,0.0010752000000000001,1500.0,141,0.94,N,NG
32,0125R921,2,OUT,0.0036918000000000003,0.0074172000000000005,0.0091266,1500.0,145,0.97,N,NG
33,0125R921,3,OUT,0.0027552,0.0030996,0.0041202,1500.0,123,0.82,N,NG
34,0125R921,4,OUT,0.002562,0.0012138000000000003,0.0022008000000000006,1500.0,146,0.97,N,NG
35,0125R921,5,IN,0.048828800000000006,,,4500.0,92,0.2,N,NG
36,0125R921,6,IN,0.04898139,,,4500.0,151,0.34,N,NG
37,0125R921,7,IN,0.02105742,,,4500.0,17,0.04,N,NG
38,0125X331,3,OUT,0.0037716,0.0023309999999999997,0.007119,1500.0,198,1.32,N,NG
39,0125X331,4,OUT,0.0013440000000000001,0.0013356000000000002,0.0031164,1500.0,155,1.03,N,NG
40,0125X331,5,OUT,0.0017556,0.0019152000000000001,0.0031080000000000005,1500.0,150,1.0,N,NG
41,0125X331,6,OUT,0.0019656,0.0022008,0.003922800000000001,1500.0,167,1.11,N,NG
42,0125X331,1,IN,0.0442511,,,4300.0,133,0.31,N,NG
43,0125X331,2,IN,0.0488288,,,4300.0,152,0.35,N,NG
44,0125X892,3,OUT,0.0025788,0.0023477999999999997,0.0023058,1500.0,238,1.59,N,NG
45,0125X892,4,OUT,0.0016968,0.0014658000000000004,0.004284,1500.0,221,1.47,N,NG
46,0125X892,5,OUT,0.0014994000000000001,0.0011214,0.0021,1500.0,210,1.4,N,NG
47,0125X892,6,OUT,0.0019656,0.0021420000000000002,0.0025872000000000004,1500.0,197,1.31,N,NG
48,0125X892,1,IN,0.03250167,,,4400.0,120,0.27,N,NG
