,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
8,0233S873,5,OUT,6,0.2,34,40,0.345,0.44,0.561,0.587,-0.663,0.749,3.35,64.0,0.6,NG
9,0233S873,5,OUT,7,0.2,32,40,0.618,0.392,0.328,0.786,-0.626,0.573,3.32,77.0,0.6,NG
6,0233S873,5,OUT,4,0.2,32,40,0.494,0.404,0.358,0.703,0.635,0.599,3.19,39.0,0.6,NG
10,0233S873,5,OUT,8,0.5,20,40,0.498,0.301,0.386,0.706,-0.549,0.622,3.06,90.0,0.6,NG
1,0233S873,2,OUT,4,0.2,28,60,0.305,0.44,0.421,-0.552,-0.664,0.649,3.03,129.0,0.9,NG
3,0233S873,3,OUT,8,0.2,30,45,0.33,0.402,0.431,-0.575,0.634,-0.656,3.03,270.0,0.68,NG
7,0233S873,5,OUT,5,0.2,30,40,0.353,0.316,0.372,0.594,-0.562,0.61,2.81,51.0,0.6,NG
5,0233S873,4,OUT,2,0.2,34,50,0.315,0.403,0.32,-0.561,-0.635,-0.566,2.8,283.0,0.75,NG
0,0233S873,1,OUT,6,0.7,24,45,0.385,0.343,0.303,-0.62,-0.586,-0.551,2.79,64.0,0.68,NG
4,0233S873,4,OUT,1,0.2,26,50,0.336,0.363,0.313,-0.58,0.602,0.559,2.75,270.0,0.75,NG
2,0233S873,3,OUT,7,0.2,32,45,0.307,0.313,0.327,-0.555,-0.559,0.572,2.63,257.0,0.68,NG
