,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0024A601,,,,,,,,,,,,,,,,OK,N
0,0024A802,,,,,,,,,,,,,,,,OK,N
0,0024B243,,,,,,,,,,,,,,,,OK,N
0,0024C693,,,,,,,,,,,,,,,,OK,N
0,0024C872,,,,,,,,,,,,,,,,OK,N
0,0024D081,,,,,,,,,,,,,,,,OK,N
0,0024D703,,,,,,,,,,,,,,,,OK,N
0,0024D741,,,,,,,,,,,,,,,,X,N
0,0024G141,,,,,,,,,,,,,,,,OK,N
0,0024G391,,,,,,,,,,,,,,,,OK,N
0,0024P791,,,,,,,,,,,,,,,,X,N
0,0024S673,,,,,,,,,,,,,,,,OK,N
0,0024W471,,,,,,,,,,,,,,,,OK,N
0,0024W791,,,,,,,,,,,,,,,,OK,N
0,0024Y263,,,,,,,,,,,,,,,,OK,N
0,0025R203,,,,,,,,,,,,,,,,OK,N
0,9526D191,,,,,,,,,,,,,,,,OK,N
0,9526F372,,,,,,,,,,,,,,,,OK,N
0,9526F484,,,,,,,,,,,,,,,,OK,N
0,9526F512,,,,,,,,,,,,,,,,OK,N
0,9526F621,,,,,,,,,,,,,,,,OK,N
0,9625B592,,,,,,,,,,,,,,,,OK,N
0,9625D921,,,,,,,,,,,,,,,,OK,N
0,9625D961,,,,,,,,,,,,,,,,OK,N
0,9625D972,,,,,,,,,,,,,,,,OK,N
0,9625E082,,,,,,,,,,,,,,,,OK,N
0,9625E212,,,,,,,,,,,,,,,,OK,N
0,9625E651,,,,,,,,,,,,,,,,OK,N
0,9625E741,,,,,,,,,,,,,,,,OK,N
0,9625F072,,,,,,,,,,,,,,,,OK,N
0,9625F153,,,,,,,,,,,,,,,,OK,N
0,9625F455,,,,,,,,,,,,,,,,OK,N
0,9625F522,,,,,,,,,,,,,,,,OK,N
0,9625F681,,,,,,,,,,,,,,,,OK,N
0,9625F771,,,,,,,,,,,,,,,,OK,N
0,9625G055,,,,,,,,,,,,,,,,OK,N
0,9625G187,,,,,,,,,,,,,,,,OK,N
0,9625G291,,,,,,,,,,,,,,,,OK,N
0,9625H151,,,,,,,,,,,,,,,,OK,N
0,9625H772,,,,,,,,,,,,,,,,OK,N
0,9625H892,,,,,,,,,,,,,,,,OK,N
0,9625Q171,,,,,,,,,,,,,,,,OK,N
0,9625Q172,,,,,,,,,,,,,,,,OK,N
0,9625W824,,,,,,,,,,,,,,,,OK,N
0,9625X122,,,,,,,,,,,,,,,,OK,N
0,9625Z951,,,,,,,,,,,,,,,,OK,N
0,9626C641,,,,,,,,,,,,,,,,OK,N
0,9626C771,,,,,,,,,,,,,,,,X,N
0,9626C862,,,,,,,,,,,,,,,,OK,N
0,9626C941,,,,,,,,,,,,,,,,OK,N
0,9626D053,,,,,,,,,,,,,,,,OK,N
0,9626D141,,,,,,,,,,,,,,,,OK,N
0,9626D331,,,,,,,,,,,,,,,,OK,N
0,9626Q266,,,,,,,,,,,,,,,,OK,N
0,9626Q661,,,,,,,,,,,,,,,,OK,N
0,9626S481,,,,,,,,,,,,,,,,OK,N
0,9626S612,,,,,,,,,,,,,,,,OK,N
0,9626W021,,,,,,,,,,,,,,,,OK,N
0,9626Y442,,,,,,,,,,,,,,,,OK,N
0,9626Y464,,,,,,,,,,,,,,,,OK,N
0,9626Y541,,,,,,,,,,,,,,,,OK,N
0,9626Y551,,,,,,,,,,,,,,,,OK,N
0,9626Y934,,,,,,,,,,,,,,,,OK,N
0,9626Z061,,,,,,,,,,,,,,,,OK,N
0,9626Z403,,,,,,,,,,,,,,,,OK,N
0,9724B792,,,,,,,,,,,,,,,,OK,N
0,9724E872,,,,,,,,,,,,,,,,OK,N
0,9724F231,,,,,,,,,,,,,,,,OK,N
0,9724F432,,,,,,,,,,,,,,,,OK,N
0,9724F436,,,,,,,,,,,,,,,,OK,N
0,9725A201,,,,,,,,,,,,,,,,OK,N
0,9725B301,,,,,,,,,,,,,,,,OK,N
0,9725C881,,,,,,,,,,,,,,,,OK,N
0,9725D421,,,,,,,,,,,,,,,,OK,N
0,9725D433,,,,,,,,,,,,,,,,OK,N
0,9725D972,,,,,,,,,,,,,,,,OK,N
0,9725G641,,,,,,,,,,,,,,,,OK,N
0,9725G822,,,,,,,,,,,,,,,,OK,N
0,9725G844,,,,,,,,,,,,,,,,OK,N
0,9725H041,,,,,,,,,,,,,,,,OK,N
0,9725H261,,,,,,,,,,,,,,,,OK,N
0,9725H551,,,,,,,,,,,,,,,,OK,N
0,9725P205,,,,,,,,,,,,,,,,OK,N
0,9725R286,,,,,,,,,,,,,,,,OK,N
0,9725R293,,,,,,,,,,,,,,,,OK,N
0,9725S404,,,,,,,,,,,,,,,,OK,N
0,9725S931,,,,,,,,,,,,,,,,OK,N
0,9725W592,,,,,,,,,,,,,,,,OK,N
0,9725X122,,,,,,,,,,,,,,,,OK,N
0,9725X131,,,,,,,,,,,,,,,,X,N
0,9725Y214,,,,,,,,,,,,,,,,OK,N
0,9725Z032,,,,,,,,,,,,,,,,OK,N
0,9725Z041,,,,,,,,,,,,,,,,OK,N
0,9725Z162,,,,,,,,,,,,,,,,OK,N
0,9725Z163,,,,,,,,,,,,,,,,OK,N
0,9725Z332,,,,,,,,,,,,,,,,OK,N
0,9725Z463,,,,,,,,,,,,,,,,OK,N
0,9725Z751,,,,,,,,,,,,,,,,OK,N
0,9726R371,,,,,,,,,,,,,,,,OK,N
0,9824B252,,,,,,,,,,,,,,,,OK,N
0,9824B332,,,,,,,,,,,,,,,,OK,N
0,9824B335,,,,,,,,,,,,,,,,OK,N
0,9824B361,,,,,,,,,,,,,,,,OK,N
0,9824B461,,,,,,,,,,,,,,,,OK,N
0,9824B462,,,,,,,,,,,,,,,,OK,N
0,9824B562,,,,,,,,,,,,,,,,OK,N
0,9824C431,,,,,,,,,,,,,,,,OK,N
0,9824C591,,,,,,,,,,,,,,,,OK,N
0,9824C773,,,,,,,,,,,,,,,,OK,N
0,9824D171,,,,,,,,,,,,,,,,OK,N
0,9824H002,,,,,,,,,,,,,,,,OK,N
0,9824Z512,,,,,,,,,,,,,,,,OK,N
0,9825C471,,,,,,,,,,,,,,,,OK,N
0,9825D091,,,,,,,,,,,,,,,,OK,N
0,9825D791,,,,,,,,,,,,,,,,X,N
0,9825D981,,,,,,,,,,,,,,,,OK,N
0,9825F115,,,,,,,,,,,,,,,,OK,N
0,9825F211,,,,,,,,,,,,,,,,OK,N
0,9825G461,,,,,,,,,,,,,,,,OK,N
0,9825G891,,,,,,,,,,,,,,,,OK,N
0,9825G991,,,,,,,,,,,,,,,,OK,N
0,9825H031,,,,,,,,,,,,,,,,OK,N
0,9825H092,,,,,,,,,,,,,,,,OK,N
0,9825H192,,,,,,,,,,,,,,,,X,N
0,9825H282,,,,,,,,,,,,,,,,X,N
0,9825H731,,,,,,,,,,,,,,,,X,N
0,9825Q454,,,,,,,,,,,,,,,,OK,N
0,9825Q913,,,,,,,,,,,,,,,,OK,N
0,9825R294,,,,,,,,,,,,,,,,OK,N
0,9825R391,,,,,,,,,,,,,,,,OK,N
0,9825R722,,,,,,,,,,,,,,,,OK,N
0,9825S422,,,,,,,,,,,,,,,,OK,N
0,9825S621,,,,,,,,,,,,,,,,X,N
0,9825S952,,,,,,,,,,,,,,,,OK,N
0,9825W021,,,,,,,,,,,,,,,,X,N
0,9825W271,,,,,,,,,,,,,,,,OK,N
0,9825X003,,,,,,,,,,,,,,,,X,N
0,9825X583,,,,,,,,,,,,,,,,OK,N
0,9825X613,,,,,,,,,,,,,,,,OK,N
0,9825Y451,,,,,,,,,,,,,,,,OK,N
0,9825Y782,,,,,,,,,,,,,,,,OK,N
0,9825Y891,,,,,,,,,,,,,,,,X,N
0,9924A875,,,,,,,,,,,,,,,,OK,N
0,9924F171,,,,,,,,,,,,,,,,OK,N
0,9924P722,,,,,,,,,,,,,,,,OK,N
0,9924Q291,,,,,,,,,,,,,,,,OK,N
0,9925G001,,,,,,,,,,,,,,,,OK,N
0,9925P111,,,,,,,,,,,,,,,,OK,N
0,9925P162,,,,,,,,,,,,,,,,OK,N
0,9925P242,,,,,,,,,,,,,,,,OK,N
0,9925Q001,,,,,,,,,,,,,,,,OK,N
0,9925Q783,,,,,,,,,,,,,,,,OK,N
0,9925R801,,,,,,,,,,,,,,,,X,N
0,9925R994,,,,,,,,,,,,,,,,OK,N
0,9925W201,,,,,,,,,,,,,,,,OK,N
0,9925Z231,,,,,,,,,,,,,,,,OK,N
0,9925Z352,,,,,,,,,,,,,,,,OK,N
