,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0026C244,1,OUT,0.0016884,0.0062328,0.006619200000000001,1500.0,121,0.81,N,NG
1,0026C244,2,OUT,0.0026502,0.004851,0.0032424000000000003,1500.0,211,1.41,N,NG
2,0026C244,3,OUT,0.0064344,0.0039858,0.0068124,1500.0,141,0.94,N,NG
3,0026C244,6,OUT,0.006249599999999999,0.0031668,0.0065982,1500.0,173,1.15,N,NG
4,0026C244,4,IN,0.03036541,,,4300.0,151,0.35,N,NG
5,0026C244,5,IN,0.032654260000000004,,,4300.0,173,0.4,N,NG
6,0026C254,1,OUT,0.014679000000000001,0.0285264,0.0234738,1500.0,236,1.57,N,NG
7,0026C254,2,OUT,0.0073122,0.0191058,0.018816,1500.0,198,1.32,N,NG
8,0026C254,5,OUT,0.0039186,0.0016842000000000003,0.0035238000000000005,1500.0,191,1.27,N,NG
9,0026C254,6,OUT,0.0015414,0.0014700000000000002,0.0013440000000000004,1500.0,258,1.72,N,NG
10,0026C254,3,IN,0.03723196,,,4500.0,94,0.21,N,NG
11,0026C254,4,IN,0.025635119999999997,,,4500.0,255,0.57,N,NG
12,0026C554,3,OUT,0.006946800000000001,0.0107142,0.013053599999999999,1500.0,447,2.98,N,OK
13,0026C554,4,OUT,0.0052038,0.0125244,0.017270399999999998,1500.0,481,3.21,N,OK
14,0026C554,5,OUT,0.0030492,0.0047166000000000005,0.006085800000000001,1500.0,377,2.51,N,OK
15,0026C554,6,OUT,0.0024864,0.004662,0.0064302,1500.0,384,2.56,N,OK
16,0026C554,1,IN,0.046539950000000004,,,4300.0,171,0.4,N,NG
17,0026C554,2,IN,0.03494311,,,4300.0,195,0.45,N,NG
18,0026D825,1,OUT,0.0048804,0.005808600000000001,0.0085386,1500.0,173,1.15,N,NG
19,0026D825,2,OUT,0.0012642,0.001092,0.0020958,1300.0,193,1.48,N,NG
20,0026D825,3,OUT,0.000861,0.0010794000000000003,0.0011172,1300.0,156,1.2,N,NG
21,0026D825,4,OUT,0.0016380000000000001,0.0024695999999999997,0.0034902,1000.0,91,0.91,N,NG
22,0026D825,5,IN,0.01876857,,,4500.0,150,0.33,N,NG
23,0026D825,6,IN,0.0442511,,,4500.0,247,0.55,N,NG
24,0026G522,3,OUT,0.0029862,0.0034398000000000002,0.0022134000000000003,1500.0,250,1.67,N,NG
