,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0026C244,,,,,,,,,,,,,,,,OK,N
0,0026C254,,,,,,,,,,,,,,,,OK,N
0,0026C551,,,,,,,,,,,,,,,,X,N
0,0026C554,,,,,,,,,,,,,,,,OK,N
0,0026D825,,,,,,,,,,,,,,,,OK,N
0,0026E911,,,,,,,,,,,,,,,,X,N
0,0026G522,,,,,,,,,,,,,,,,OK,N
0,0026Q322,,,,,,,,,,,,,,,,OK,N
0,0026R392,,,,,,,,,,,,,,,,OK,N
0,0026S971,,,,,,,,,,,,,,,,OK,N
0,0125A052,,,,,,,,,,,,,,,,OK,N
0,0125A731,,,,,,,,,,,,,,,,X,N
0,0125C011,,,,,,,,,,,,,,,,OK,N
0,0126A382,,,,,,,,,,,,,,,,X,N
0,0126C303,,,,,,,,,,,,,,,,X,N
0,0126D122,,,,,,,,,,,,,,,,OK,N
0,0126D791,,,,,,,,,,,,,,,,OK,N
0,0126Q181,,,,,,,,,,,,,,,,OK,N
0,0126Q351,,,,,,,,,,,,,,,,OK,N
2,0126Q472,4,OUT,4,0.2,20,45,0.621,0.429,0.648,0.788,0.655,0.805,3.95,309.0,0.68,NG,X
4,0126Q472,4,OUT,6,0.2,20,45,0.497,0.522,0.476,0.706,-0.722,0.69,3.61,334.0,0.68,NG,N
3,0126Q472,4,OUT,5,0.2,20,45,0.587,0.4,0.489,0.767,0.632,0.699,3.57,321.0,0.68,NG,N
1,0126Q472,1,OUT,6,0.4,20,45,0.478,0.343,0.607,0.691,-0.586,0.779,3.48,64.0,0.68,NG,N
5,0126Q472,4,OUT,7,0.2,20,45,0.347,0.616,0.403,0.59,-0.785,-0.635,3.38,347.0,0.68,NG,X
6,0126Q472,4,OUT,8,0.2,20,45,0.356,0.639,0.308,-0.596,-0.8,-0.556,3.26,360.0,0.68,NG,N
0,0126Q472,1,OUT,1,0.25,20,40,0.444,0.353,0.379,0.666,0.595,-0.616,3.05,0.0,0.6,NG,N
0,0126Q562,,,,,,,,,,,,,,,,OK,N
0,0126R621,,,,,,,,,,,,,,,,X,N
0,0126R733,,,,,,,,,,,,,,,,OK,N
0,0126S423,,,,,,,,,,,,,,,,OK,N
0,0126S521,,,,,,,,,,,,,,,,OK,N
0,0127R751,,,,,,,,,,,,,,,,OK,N
0,0127R752,,,,,,,,,,,,,,,,OK,N
0,9826H861,,,,,,,,,,,,,,,,OK,N
0,9827Z971,,,,,,,,,,,,,,,,OK,N
0,9828F201,,,,,,,,,,,,,,,,OK,N
0,9828F441,,,,,,,,,,,,,,,,OK,N
0,9828G432,,,,,,,,,,,,,,,,OK,N
0,9828H021,,,,,,,,,,,,,,,,OK,N
0,9828Y994,,,,,,,,,,,,,,,,OK,N
0,9926D421,,,,,,,,,,,,,,,,X,N
0,9926Q082,,,,,,,,,,,,,,,,OK,N
0,9927X062,,,,,,,,,,,,,,,,OK,N
0,9928A343,,,,,,,,,,,,,,,,OK,N
0,9928A512,,,,,,,,,,,,,,,,OK,N
0,9928A541,,,,,,,,,,,,,,,,OK,N
0,9928B002,,,,,,,,,,,,,,,,OK,N
0,9928B481,,,,,,,,,,,,,,,,OK,N
0,9928B821,,,,,,,,,,,,,,,,OK,N
0,9928E171,,,,,,,,,,,,,,,,OK,N
0,9928E182,,,,,,,,,,,,,,,,OK,N
0,9928E451,,,,,,,,,,,,,,,,OK,N
0,9929S954,,,,,,,,,,,,,,,,OK,N
