,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0126G191,3,OUT,0.006552000000000001,0.0034902,0.0086184,1500.0,134,0.89,N,NG
1,0126G191,4,OUT,0.0041286000000000005,0.0032927999999999994,0.0053676,1500.0,137,0.91,N,NG
2,0126G191,5,OUT,0.007165200000000002,0.0028056,0.008156400000000001,1500.0,164,1.09,N,NG
3,0126G191,6,OUT,0.0013944,0.0018984000000000002,0.001197,1500.0,123,0.82,N,NG
4,0126G191,1,IN,0.00946058,,,4200.0,244,0.58,N,NG
5,0126G191,2,IN,0.00701914,,,4200.0,269,0.64,N,NG
6,0127Z701,1,OUT,0.004221000000000001,0.0029064,0.002121,1500.0,131,0.87,N,NG
7,0127Z701,2,OUT,0.0021587999999999998,0.0024780000000000006,0.0028686000000000002,1500.0,130,0.87,N,NG
8,0127Z701,3,OUT,0.0012726,0.0022175999999999997,0.0024066000000000005,1500.0,137,0.91,N,NG
9,0127Z701,4,OUT,0.0150402,0.004132800000000001,0.012562200000000003,1500.0,166,1.11,N,NG
10,0127Z701,5,IN,0.70771242,,,4500.0,311,0.69,N,NG
11,0127Z701,6,IN,3.59273155,,,4500.0,204,0.45,N,NG
12,0127Z821,1,OUT,0.0012012,0.0018732,0.0016884,1500.0,177,1.18,N,NG
13,0127Z821,2,OUT,0.0018984000000000002,0.0021755999999999998,0.0021252,1500.0,217,1.45,N,NG
14,0127Z821,3,OUT,0.0012306,0.0024906,0.0027930000000000003,1500.0,163,1.09,N,NG
15,0127Z821,4,OUT,0.0015498,0.0015708,0.0017976000000000001,1500.0,142,0.95,N,NG
16,0127Z821,5,IN,1.34813265,,,4100.0,234,0.57,N,NG
17,0127Z821,6,IN,0.00701914,,,4100.0,215,0.52,N,NG
18,0127Z821,7,IN,0.00473029,,,4100.0,198,0.48,N,NG
19,0226A463,1,OUT,0.0063546,0.0043764,0.008400000000000001,1500.0,226,1.51,N,NG
20,0226A463,2,OUT,0.007635600000000001,0.006085800000000001,0.019424999999999998,1500.0,176,1.17,N,NG
21,0226A463,3,OUT,0.0053549999999999995,0.005334,0.009034200000000001,1000.0,133,1.33,N,NG
