,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
11,0227Y901,7,OUT,7,0.2,20,50,0.807,0.904,0.835,0.898,0.951,0.915,5.31,347.0,0.5,NG
12,0227Y901,7,OUT,8,0.2,20,50,0.714,0.886,0.772,0.846,-0.941,0.88,5.04,360.0,0.5,NG
6,0227Y901,7,OUT,2,0.2,20,50,0.643,0.778,0.774,0.802,0.882,0.882,4.76,283.0,0.5,NG
10,0227Y901,7,OUT,6,0.2,20,50,0.625,0.723,0.731,0.79,0.851,0.856,4.58,334.0,0.5,NG
7,0227Y901,7,OUT,3,0.2,20,50,0.602,0.615,0.635,0.777,0.784,0.799,4.21,296.0,0.5,NG
4,0227Y901,6,OUT,8,0.2,30,60,0.71,0.308,0.846,0.843,0.555,0.92,4.18,360.0,0.9,NG
9,0227Y901,7,OUT,5,0.2,20,50,0.501,0.52,0.565,0.708,0.721,0.752,3.77,321.0,0.5,NG
1,0227Y901,6,OUT,4,0.2,20,60,0.53,0.457,0.554,0.728,0.676,0.745,3.69,309.0,0.9,NG
13,0227Y901,8,OUT,1,0.2,22,60,0.702,0.464,0.333,0.838,0.682,0.579,3.6,270.0,0.48,NG
5,0227Y901,7,OUT,1,0.2,20,50,0.357,0.547,0.581,0.597,0.74,0.764,3.59,270.0,0.5,NG
8,0227Y901,7,OUT,4,0.2,20,50,0.457,0.47,0.527,0.676,0.685,0.727,3.54,309.0,0.5,NG
3,0227Y901,6,OUT,7,0.2,20,60,0.503,0.328,0.445,0.709,0.572,0.667,3.22,347.0,0.9,NG
14,0227Y901,8,OUT,8,0.2,20,45,0.373,0.36,0.444,0.61,-0.6,0.669,3.06,360.0,0.36,NG
2,0227Y901,6,OUT,5,0.2,20,60,0.389,0.345,0.422,0.624,0.588,0.65,3.02,321.0,0.9,NG
0,0227Y901,5,OUT,8,0.3,20,70,0.475,0.301,0.323,0.689,-0.549,0.568,2.91,270.0,1.05,NG
