,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,9626B692,3,OUT,0.0106932,0.0086772,0.013335000000000001,1500.0,222,1.48,N,NG
1,9626B692,4,OUT,0.011886,0.014498400000000002,0.022491,1500.0,269,1.79,N,NG
2,9626B692,5,OUT,0.0032676000000000003,0.0031164,0.0047837999999999995,1500.0,181,1.21,N,NG
3,9626B692,6,OUT,0.0010416000000000002,0.0025578000000000003,0.0031122,1500.0,195,1.3,N,NG
4,9626B692,7,OUT,0.010487400000000001,0.010605,0.0222012,1500.0,261,1.74,N,NG
5,9626B692,8,OUT,0.0026964000000000003,0.0043175999999999996,0.00525,1500.0,203,1.35,N,NG
6,9626B692,9,OUT,0.0027300000000000007,0.004725,0.005838,1500.0,392,2.61,N,OK
7,9626B692,10,OUT,0.0031458000000000002,0.0044982,0.005972400000000001,1500.0,272,1.81,N,NG
8,9626B692,1,IN,0.03021282,,,4500.0,212,0.47,N,NG
9,9626B692,2,IN,0.02105742,,,4500.0,278,0.62,N,NG
10,9626F921,3,OUT,0.0008484,0.0016254000000000002,0.0022638,1500.0,230,1.53,N,NG
11,9626F921,4,OUT,0.0005124000000000001,0.0006804000000000001,0.0008484000000000002,1500.0,246,1.64,N,NG
12,9626F921,5,OUT,0.0007308000000000001,0.0007811999999999999,0.0013314000000000004,1500.0,219,1.46,N,NG
13,9626F921,6,OUT,0.0011382,0.0011886000000000004,0.0022764,1500.0,191,1.27,N,NG
14,9626F921,1,IN,0.12802301,,,4500.0,193,0.43,N,NG
15,9626F921,2,IN,0.16540756,,,4500.0,192,0.43,N,NG
16,9627D255,3,OUT,0.002982,0.008059799999999999,0.0050778,1500.0,279,1.86,N,NG
17,9627D255,4,OUT,0.0067746,0.0119574,0.0109536,1500.0,310,2.07,N,OK
18,9627D255,5,OUT,0.0037632000000000004,0.0039228,0.0050232,1500.0,258,1.72,N,NG
19,9627D255,6,OUT,0.00168,0.0014321999999999998,0.0028728000000000004,1500.0,261,1.74,N,NG
20,9627D255,9,OUT,0.0032844,0.009399600000000001,0.0056826,1500.0,219,1.46,N,NG
21,9627D255,10,OUT,0.0087612,0.013280400000000001,0.0108654,1500.0,245,1.63,N,NG
22,9627D255,11,OUT,0.0036750000000000003,0.0048888000000000004,0.0067410000000000005,1500.0,239,1.59,N,NG
23,9627D255,12,OUT,0.0019908,0.001218,0.0027132000000000007,1500.0,220,1.47,N,NG
24,9627D255,1,IN,0.10940703,,,4200.0,226,0.54,N,NG
25,9627D255,2,IN,0.07690535999999999,,,4200.0,195,0.46,N,NG
26,9627D255,7,IN,0.10940703,,,4200.0,194,0.46,N,NG
27,9627D255,8,IN,0.08377191,,,4200.0,238,0.57,N,NG
28,9627F253,3,OUT,0.0051576,0.0045192,0.0034062000000000007,1500.0,233,1.55,U,NG
29,9627F253,4,OUT,0.0050274000000000004,0.0047166,0.005712000000000001,1500.0,256,1.71,U,NG
30,9627F253,5,OUT,0.0025158000000000003,0.0055188,0.0063588,1500.0,209,1.39,U,NG
31,9627F253,6,OUT,0.003746400000000001,0.0069888,0.007854000000000002,1500.0,197,1.31,U,NG
32,9627F253,1,IN,0.0839245,,,3500.0,194,0.55,U,NG
33,9627F253,2,IN,0.11642617,,,3500.0,166,0.47,U,NG
34,9627G961,3,OUT,0.0009534000000000001,0.0019782000000000003,0.0021336000000000003,1500.0,383,2.55,U,OK
35,9627G961,4,OUT,0.0012725999999999998,0.001617,0.0025956000000000004,1500.0,252,1.68,U,NG
36,9627G961,5,OUT,0.0009492000000000002,0.0021462,0.0028686,1500.0,321,2.14,U,OK
37,9627G961,6,OUT,0.0042882,0.0067368,0.008391599999999999,1500.0,309,2.06,U,OK
38,9627G961,7,OUT,0.0012180000000000001,0.0012054000000000001,0.0022427999999999997,1500.0,248,1.65,U,NG
39,9627G961,8,OUT,0.004674600000000001,0.007005600000000001,0.008685600000000002,1500.0,182,1.21,U,NG
40,9627G961,1,IN,0.023346270000000002,,,5300.0,317,0.6,U,NG
41,9627H101,3,OUT,0.0012305999999999999,0.0048846,0.0024192,1500.0,320,2.13,N,OK
42,9627H101,4,OUT,0.001407,0.0029609999999999997,0.0038430000000000005,1500.0,289,1.93,N,NG
43,9627H101,5,OUT,0.0057372000000000005,0.0055566,0.007736400000000001,1500.0,257,1.71,N,NG
44,9627H101,6,OUT,0.0015372000000000003,0.0033726000000000003,0.0032256,1500.0,249,1.66,N,NG
45,9627H101,1,IN,0.03723196,,,4400.0,193,0.44,N,NG
46,9627H101,2,IN,0.03952081,,,4400.0,263,0.6,N,NG
47,9627H211,2,OUT,0.0056658,0.004851,0.009849000000000002,1500.0,286,1.91,N,NG
48,9627H211,3,OUT,0.0062580000000000005,0.0055650000000000005,0.010193400000000002,1500.0,308,2.05,N,OK
49,9627H211,4,OUT,0.0152796,0.0062580000000000005,0.0059892,1500.0,220,1.47,N,NG
50,9627H211,5,OUT,0.0014658,0.0032759999999999994,0.0017430000000000002,1500.0,188,1.25,N,NG
51,9627H211,1,IN,0.01876857,,,5300.0,238,0.45,N,NG
52,9627H311,3,OUT,0.0015876,0.0015582000000000005,0.0014616,1500.0,251,1.67,N,NG
53,9627H311,4,OUT,0.0006300000000000001,0.0005165999999999999,0.0008819999999999998,1500.0,213,1.42,N,NG
54,9627H311,5,OUT,0.0025452,0.0023898,0.0035658000000000005,1500.0,318,2.12,N,OK
55,9627H311,6,OUT,0.0022470000000000003,0.0043344,0.006308400000000001,1500.0,272,1.81,N,NG
56,9627H311,1,IN,0.08148306,,,5500.0,305,0.55,N,NG
57,9627H311,2,IN,0.02090483,,,5500.0,334,0.61,N,NG
58,9627S721,3,OUT,0.0024738,0.0024738,0.0057456,1500.0,224,1.49,N,NG
59,9627S721,4,OUT,0.0031122000000000003,0.004926600000000001,0.008652,1500.0,226,1.51,N,NG
60,9627S721,5,OUT,0.0038304,0.0023142,0.0033978000000000003,1500.0,282,1.88,N,NG
61,9627S721,6,OUT,0.0022764,0.0020454,0.0023016,1500.0,319,2.13,N,OK
62,9627S721,1,IN,0.02563512,,,4300.0,209,0.49,N,NG
63,9627S721,2,IN,0.023193680000000005,,,4300.0,207,0.48,N,NG
64,9627S824,7,OUT,0.0025074,0.0021672,0.0033936,1500.0,205,1.37,N,NG
65,9627S824,8,OUT,0.009017400000000002,0.021756,0.019689599999999998,1500.0,218,1.45,N,NG
66,9627S824,9,OUT,0.009340800000000002,0.022344,0.016253999999999998,1500.0,225,1.5,N,NG
67,9627S824,10,OUT,0.0060942,0.015670200000000002,0.012910799999999998,1500.0,173,1.15,N,NG
68,9627S824,1,IN,0.20263952000000002,,,5500.0,275,0.5,N,NG
69,9627S824,2,IN,0.22110290999999999,,,5500.0,240,0.44,N,NG
70,9627S921,3,OUT,0.0017346,0.0023478,0.0038220000000000003,1500.0,221,1.47,N,NG
71,9627S921,4,OUT,0.005602800000000001,0.0074802,0.0090846,1500.0,154,1.03,N,NG
72,9627S921,5,OUT,0.0032718,0.0071862,0.009080400000000002,1500.0,169,1.13,N,NG
73,9627S921,6,OUT,0.004216800000000001,0.004309200000000001,0.006984600000000001,1500.0,196,1.31,N,NG
74,9627S921,1,IN,0.07217507000000001,,,4300.0,149,0.35,N,NG
75,9627S921,2,IN,0.053559090000000004,,,4300.0,221,0.51,N,NG
76,9627X241,3,OUT,0.0023058,0.0044982,0.0054306,1500.0,202,1.35,N,NG
77,9627X241,4,OUT,0.0020202,0.002667,0.004221000000000001,1500.0,229,1.53,N,NG
78,9627X241,5,OUT,0.0026166,0.0033978,0.0036372,1500.0,218,1.45,N,NG
79,9627X241,6,OUT,0.0019488,0.0036498000000000004,0.0042798,1500.0,218,1.45,N,NG
80,9627X241,1,IN,0.01876857,,,5300.0,315,0.59,N,NG
81,9627X241,2,IN,0.04653995,,,5300.0,268,0.51,N,NG
82,9627Y171,3,OUT,0.0013146,0.0017052000000000002,0.0020076,1500.0,213,1.42,N,NG
83,9627Y171,4,OUT,0.0012894,0.0017346000000000004,0.0017304000000000006,1500.0,180,1.2,N,NG
84,9627Y171,5,OUT,0.0025914,0.0034146000000000003,0.002772,1500.0,207,1.38,N,NG
85,9627Y171,6,OUT,0.0018564000000000002,0.0021924,0.0033096,1500.0,200,1.33,N,NG
86,9627Y171,1,IN,0.048828800000000006,,,4300.0,285,0.66,N,NG
87,9627Y171,2,IN,0.03494311,,,4300.0,271,0.63,N,NG
88,9627Z016,1,OUT,0.0034776,0.0080346,0.011461800000000001,1500.0,230,1.53,N,NG
89,9627Z016,2,OUT,0.0043974,0.007875,0.009244200000000001,1500.0,235,1.57,N,NG
90,9627Z016,3,OUT,0.0030659999999999997,0.0023940000000000003,0.0039312,1500.0,244,1.63,N,NG
91,9627Z016,4,OUT,0.0030324,0.006337800000000001,0.0091308,1500.0,179,1.19,N,NG
92,9627Z016,5,IN,0.0442511,,,4500.0,243,0.54,N,NG
93,9627Z016,6,IN,0.05813679000000001,,,4500.0,226,0.5,N,NG
94,9627Z071,3,OUT,0.001554,0.0014658000000000002,0.0018942000000000004,1500.0,194,1.29,N,NG
95,9627Z071,4,OUT,0.0031626000000000002,0.002562,0.0025788,1500.0,129,0.86,N,NG
96,9627Z071,5,OUT,0.0028812000000000004,0.0025704,0.005657400000000001,1500.0,98,0.65,N,NG
97,9627Z071,6,OUT,0.0036666000000000003,0.0027342,0.005082000000000001,1500.0,124,0.83,N,NG
98,9627Z071,1,IN,0.02563512,,,4400.0,204,0.46,N,NG
99,9627Z071,2,IN,0.023346270000000002,,,4400.0,271,0.62,N,NG
100,9627Z534,3,OUT,0.0009701999999999996,0.0014700000000000002,0.0014910000000000001,1500.0,237,1.58,N,NG
101,9627Z534,4,OUT,0.0014532000000000004,0.0013902000000000003,0.0020622,1500.0,226,1.51,N,NG
102,9627Z534,5,OUT,0.0020286,0.001617,0.0029946,1500.0,223,1.49,N,NG
