,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
5,0791A532,2,OUT,8,0.2,20,45,0.788,0.747,0.775,0.888,0.864,0.881,4.94,180.0,0.68,NG
10,0791A532,6,OUT,2,0.2,20,45,0.729,0.618,0.639,0.854,0.786,0.799,4.42,133.0,0.68,NG
1,0791A532,2,OUT,4,0.2,20,45,0.725,0.638,0.607,0.851,0.799,0.779,4.4,129.0,0.68,NG
18,0791A532,7,OUT,8,0.2,20,45,0.734,0.56,0.659,0.857,-0.748,0.812,4.37,180.0,0.68,NG
14,0791A532,7,OUT,4,0.2,20,45,0.727,0.611,0.557,0.853,0.781,0.746,4.27,129.0,0.68,NG
15,0791A532,7,OUT,5,0.2,20,45,0.72,0.569,0.561,0.848,0.755,0.749,4.2,141.0,0.68,NG
13,0791A532,6,OUT,6,0.2,20,45,0.753,0.555,0.538,0.868,-0.745,0.733,4.19,184.0,0.68,NG
4,0791A532,2,OUT,7,0.2,20,45,0.603,0.51,0.627,0.777,0.714,0.792,4.02,167.0,0.68,NG
12,0791A532,6,OUT,5,0.2,20,45,0.601,0.514,0.599,0.775,-0.717,0.774,3.98,171.0,0.68,NG
0,0791A532,2,OUT,3,0.2,20,45,0.697,0.625,0.373,0.835,0.791,0.612,3.93,116.0,0.68,NG
11,0791A532,6,OUT,3,0.2,20,45,0.589,0.489,0.543,0.767,-0.7,0.737,3.83,146.0,0.68,NG
9,0791A532,6,OUT,1,0.2,20,45,0.633,0.495,0.448,0.796,0.703,0.669,3.74,120.0,0.68,NG
2,0791A532,2,OUT,5,0.2,20,45,0.569,0.402,0.451,0.754,0.634,0.672,3.48,141.0,0.68,NG
17,0791A532,7,OUT,7,0.2,20,45,0.408,0.407,0.517,0.639,-0.638,0.719,3.33,167.0,0.68,NG
16,0791A532,7,OUT,6,0.2,20,45,0.52,0.341,0.437,0.721,-0.584,0.661,3.26,154.0,0.68,NG
7,0791A532,5,OUT,4,0.2,20,40,0.537,0.415,0.315,0.733,0.644,0.562,3.21,129.0,0.6,NG
3,0791A532,2,OUT,6,0.2,22,45,0.381,0.323,0.445,0.617,-0.568,0.667,3.0,154.0,0.68,NG
8,0791A532,5,OUT,5,0.2,20,40,0.432,0.337,0.36,0.658,0.58,0.6,2.97,141.0,0.6,NG
6,0791A532,4,OUT,6,0.3,34,30,0.448,0.314,0.348,-0.67,-0.561,0.59,2.93,334.0,0.45,NG
