,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0276G422,,,,,,,,,,,,,,,,OK,N
0,0375F381,,,,,,,,,,,,,,,,OK,N
0,0376G901,,,,,,,,,,,,,,,,OK,N
0,0377R701,,,,,,,,,,,,,,,,OK,N
0,0377S731,,,,,,,,,,,,,,,,OK,N
0,0377W901,,,,,,,,,,,,,,,,OK,N
0,0377X311,,,,,,,,,,,,,,,,OK,N
0,0377X562,,,,,,,,,,,,,,,,OK,N
0,0377X893,,,,,,,,,,,,,,,,OK,N
0,0377X971,,,,,,,,,,,,,,,,OK,N
0,0378S182,,,,,,,,,,,,,,,,OK,N
0,0378W652,,,,,,,,,,,,,,,,OK,N
0,0378Y531,,,,,,,,,,,,,,,,OK,N
0,0477D021,,,,,,,,,,,,,,,,OK,N
0,0477E491,,,,,,,,,,,,,,,,OK,N
0,0477E591,,,,,,,,,,,,,,,,OK,N
0,0477F601,,,,,,,,,,,,,,,,OK,N
0,0478B811,,,,,,,,,,,,,,,,OK,N
0,0478Z772,,,,,,,,,,,,,,,,OK,N
0,0480G901,,,,,,,,,,,,,,,,OK,N
0,0480H011,,,,,,,,,,,,,,,,OK,N
0,0480P701,,,,,,,,,,,,,,,,OK,N
0,0480W261,,,,,,,,,,,,,,,,OK,N
0,0480W572,,,,,,,,,,,,,,,,OK,N
0,0480X451,,,,,,,,,,,,,,,,OK,N
0,0480X562,,,,,,,,,,,,,,,,OK,N
0,0480X642,,,,,,,,,,,,,,,,OK,N
0,0480Y081,,,,,,,,,,,,,,,,OK,N
0,0481Z881,,,,,,,,,,,,,,,,OK,N
0,0487H441,,,,,,,,,,,,,,,,OK,N
0,0488H251,,,,,,,,,,,,,,,,OK,N
0,0489Z681,,,,,,,,,,,,,,,,OK,N
0,0489Z811,,,,,,,,,,,,,,,,OK,N
0,0490A581,,,,,,,,,,,,,,,,OK,N
0,0490B352,,,,,,,,,,,,,,,,OK,N
0,0577W431,,,,,,,,,,,,,,,,OK,N
0,0577W471,,,,,,,,,,,,,,,,OK,N
0,0577W762,,,,,,,,,,,,,,,,OK,N
0,0578E321,,,,,,,,,,,,,,,,OK,N
0,0578E611,,,,,,,,,,,,,,,,OK,N
0,0578H431,,,,,,,,,,,,,,,,OK,N
0,0578H622,,,,,,,,,,,,,,,,OK,N
0,0578Q871,,,,,,,,,,,,,,,,OK,N
0,0578S561,,,,,,,,,,,,,,,,OK,N
