,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,6620D811,1,OUT,0.0012012,0.0009575999999999999,0.0016884,1500.0,279,1.86,N,NG
1,6620D811,2,OUT,0.0013356000000000002,0.0009743999999999998,0.0024486000000000004,1500.0,205,1.37,N,NG
2,6620D811,3,OUT,0.0020034,0.0019278,0.00336,1500.0,269,1.79,N,NG
3,6620D811,4,IN,0.01861598,,,4000.0,99,0.25,N,NG
4,6620D811,5,IN,0.016327129999999995,,,4000.0,120,0.3,N,NG
5,6620R863,1,OUT,0.0030912000000000005,0.0028140000000000005,0.0036918,1500.0,250,1.67,N,NG
6,6620R863,2,OUT,0.0038514,0.0019698000000000003,0.0042252,1500.0,186,1.24,N,NG
7,6620R863,3,OUT,0.0023856000000000003,0.0018857999999999995,0.0038346000000000005,1500.0,174,1.16,N,NG
8,6620R863,4,OUT,0.004271400000000001,0.0018144000000000003,0.005544,1500.0,206,1.37,N,NG
9,6620R863,5,IN,0.01861598,,,4000.0,106,0.26,N,NG
10,6620R863,6,IN,0.016327129999999995,,,4000.0,120,0.3,N,NG
11,6621Q431,1,OUT,0.0039186,0.0034608,0.0052206,1200.0,218,1.82,N,NG
12,6621Q431,2,OUT,0.0039228,0.0036875999999999996,0.0053592,1500.0,192,1.28,N,NG
13,6621Q431,3,OUT,0.003255,0.0033894000000000007,0.0058422000000000005,1500.0,277,1.85,N,NG
14,6621Q431,4,OUT,0.0038052,0.005229000000000001,0.0073962,1500.0,577,3.85,N,OK
15,6621Q431,5,IN,0.01876857,,,4000.0,102,0.26,N,NG
16,6621Q431,6,IN,0.013885690000000006,,,4000.0,126,0.32,N,NG
17,68201011,1,OUT,0.0016170000000000002,0.0017850000000000003,0.0036078,1500.0,235,1.57,N,NG
18,68201011,2,OUT,0.002184,0.0011634000000000002,0.0024444000000000002,1500.0,227,1.51,N,NG
19,68201011,3,OUT,0.002079,0.0012012,0.0025746,1500.0,251,1.67,N,NG
20,68201011,4,OUT,0.0037002000000000003,0.0022596,0.0047418,1500.0,239,1.59,N,NG
21,68201011,5,IN,0.01876857,,,4000.0,103,0.26,N,NG
22,68201011,6,IN,0.014038279999999998,,,4000.0,117,0.29,N,NG
23,6821E821,1,OUT,0.0007056000000000002,0.0007559999999999997,0.0014868000000000001,1500.0,272,1.81,N,NG
24,6821E821,2,OUT,0.0016002,0.0014910000000000001,0.0014112000000000003,1500.0,252,1.68,N,NG
25,6821E821,3,OUT,0.0012852000000000002,0.0008400000000000005,0.0024234000000000005,1500.0,222,1.48,N,NG
26,6821E821,4,OUT,0.0010752000000000001,0.0008609999999999998,0.0029316000000000004,1500.0,227,1.51,N,NG
27,6821E821,5,IN,0.02105742,,,4000.0,109,0.27,N,NG
28,6821E821,6,IN,0.01632713,,,4000.0,105,0.26,N,NG
29,6822B291,1,OUT,0.0027678000000000004,0.0016842000000000003,0.0021504000000000002,1500.0,277,1.85,N,NG
30,6822B291,2,OUT,0.010038,0.0078498,0.015208200000000002,1500.0,184,1.23,N,NG
31,6822B291,3,OUT,0.0022386000000000003,0.0023562,0.0037338000000000002,1500.0,194,1.29,N,NG
32,6822B291,4,OUT,0.0027006,0.0019026,0.0026922000000000005,1500.0,171,1.14,N,NG
33,6822B291,5,IN,0.02105742,,,4000.0,113,0.28,N,NG
34,6822B291,6,IN,0.01632713,,,4000.0,92,0.23,N,NG
35,6922Q061,1,OUT,0.0013398000000000004,0.0006677999999999996,0.0010499999999999997,1200.0,257,2.14,N,OK
36,6922Q061,2,OUT,0.0018732000000000002,0.00084,0.0029274,1200.0,201,1.68,N,NG
37,6922Q061,3,OUT,0.0016254,0.0011592,0.0014826000000000002,1200.0,221,1.84,N,NG
38,6922Q061,4,OUT,0.0026250000000000006,0.0013943999999999998,0.0034272000000000005,1200.0,540,4.5,N,OK
39,6922Q061,5,IN,0.01861598,,,4000.0,109,0.27,N,NG
40,6922Q061,6,IN,0.018615979999999997,,,4000.0,99,0.25,N,NG
41,6922Q931,1,OUT,0.0022176,0.0028098000000000003,0.0034944000000000004,1000.0,448,4.48,N,OK
42,6922Q931,2,OUT,0.0026754000000000005,0.0032088,0.0035028,1500.0,194,1.29,N,NG
43,6922Q931,3,OUT,0.0026670000000000005,0.0020034,0.0033054000000000004,1500.0,200,1.33,N,NG
44,6922Q931,4,OUT,0.0030156000000000002,0.0020874,0.0038052000000000008,1500.0,204,1.36,N,NG
45,6922Q931,5,IN,0.023346270000000002,,,4000.0,161,0.4,N,NG
46,6922Q931,6,IN,0.018615980000000004,,,4000.0,111,0.28,N,NG
47,7022A491,1,OUT,0.0027048,0.0017010000000000003,0.002268,1500.0,327,2.18,N,OK
48,7022A491,2,OUT,0.0018606,0.0012894,0.002352,1500.0,210,1.4,N,NG
49,7022A491,3,OUT,0.0021714000000000004,0.0014784000000000004,0.0022428000000000005,1500.0,219,1.46,N,NG
50,7022A491,4,OUT,0.0018942000000000002,0.0014364000000000002,0.002667,1500.0,218,1.45,N,NG
51,7022A491,5,IN,0.02105742,,,4000.0,102,0.26,N,NG
52,7022A491,6,IN,0.016327129999999995,,,4000.0,91,0.23,N,NG
53,7022C831,1,OUT,0.0029694,0.0025956,0.0040194,1500.0,497,3.31,N,OK
54,7022C831,2,OUT,0.0049896,0.0039060000000000006,0.006472200000000001,1500.0,303,2.02,N,OK
55,7022C831,3,OUT,0.0025704,0.0016841999999999998,0.0032088000000000004,1500.0,208,1.39,N,NG
56,7022C831,4,OUT,0.0042042,0.002457,0.0037463999999999996,1500.0,277,1.85,N,NG
57,7022C831,5,IN,0.01876857,,,4000.0,106,0.26,N,NG
58,7022C831,6,IN,0.014038279999999997,,,4000.0,103,0.26,N,NG
59,7024W801,1,OUT,0.0011844,0.0008357999999999998,0.0024192,1500.0,306,2.04,N,OK
60,7024W801,2,OUT,0.0011424000000000002,0.0013524000000000001,0.0019908,1500.0,381,2.54,N,OK
61,7024W801,3,OUT,0.0016926,0.0016086,0.0017136,1500.0,846,5.64,N,OK
62,7024W801,4,OUT,0.0042504000000000005,0.0030828000000000006,0.005901,1500.0,1042,6.95,N,OK
63,7024W801,5,IN,0.01403828,,,4000.0,178,0.44,N,NG
64,7024W801,6,IN,0.01403828,,,4000.0,121,0.3,N,NG
65,7024W913,1,OUT,0.0009408000000000001,0.0007559999999999997,0.0019152000000000001,1200.0,228,1.9,N,NG
66,7024W913,2,OUT,0.0013062,0.0007896000000000001,0.0018143999999999999,1200.0,393,3.28,N,OK
67,7024W913,3,OUT,0.0017346000000000002,0.0008274000000000003,0.0016380000000000001,1200.0,348,2.9,N,OK
68,7024W913,4,OUT,0.0012306,0.0006972000000000003,0.0013692,1200.0,457,3.81,N,OK
69,7024W913,5,IN,0.02105742,,,3700.0,172,0.46,N,NG
70,7024W913,6,IN,0.018615979999999997,,,3700.0,161,0.44,N,NG
71,7024Y591,1,OUT,0.0017598000000000002,0.0011886000000000004,0.002247,1200.0,310,2.58,N,OK
72,7024Y591,2,OUT,0.0017682000000000002,0.0008526000000000002,0.002247,1200.0,286,2.38,N,OK
73,7024Y591,3,OUT,0.002163,0.0007769999999999999,0.0024444000000000002,1200.0,237,1.98,N,NG
74,7024Y591,4,OUT,0.0012054000000000001,0.0008316000000000003,0.0016002,1200.0,428,3.57,N,OK
75,7024Y591,5,IN,0.01876857,,,3700.0,118,0.32,N,NG
76,7024Y591,6,IN,0.01632713,,,3700.0,161,0.44,N,NG
77,7123G551,1,OUT,0.0027384,0.0029442000000000005,0.004141200000000001,1500.0,432,2.88,N,OK
78,7123G551,2,OUT,0.0021882000000000004,0.002184,0.004321800000000001,1500.0,193,1.29,N,NG
79,7123G551,3,OUT,0.0019110000000000004,0.0010206,0.0035868000000000002,1500.0,229,1.53,N,NG
80,7123G551,4,OUT,0.0028938,0.0021630000000000004,0.004242,1500.0,166,1.11,N,NG
81,7123G551,5,IN,0.02105742,,,4000.0,113,0.28,N,NG
82,7123G551,6,IN,0.014038279999999997,,,4000.0,97,0.24,N,NG
83,7124P061,1,OUT,0.0030534000000000004,0.0052122,0.008106,1500.0,1504,10.03,N,OK
84,7124P061,2,OUT,0.0021252000000000003,0.0013229999999999995,0.0020118000000000002,1500.0,386,2.57,N,OK
85,7124P061,3,OUT,0.0027216000000000002,0.0014490000000000002,0.0038976000000000006,1500.0,320,2.13,N,OK
86,7124P061,4,OUT,0.0023520000000000004,0.0013146,0.0021966,1500.0,276,1.84,N,NG
87,7124P061,5,IN,0.018615980000000004,,,4000.0,491,1.23,N,NG
88,7124P061,6,IN,0.01403828,,,4000.0,143,0.36,N,NG
89,7124P153,1,OUT,0.0037716000000000004,0.0009995999999999998,0.0029652000000000003,1500.0,1220,8.13,N,OK
90,7124P153,2,OUT,0.0009072000000000002,0.0007644000000000001,0.0014868000000000001,1500.0,394,2.63,N,OK
91,7124P153,3,OUT,0.001092,0.0010794000000000003,0.0012936000000000002,1500.0,414,2.76,N,OK
92,7124P153,4,OUT,0.0016128000000000002,0.000693,0.0013985999999999998,1500.0,429,2.86,N,OK
93,7124P153,5,IN,0.03021282,,,4000.0,212,0.53,N,NG
94,7124P153,6,IN,0.01861598,,,4000.0,195,0.49,N,NG
95,7222H242,1,OUT,0.0023184,0.0020118000000000002,0.0043722,1500.0,424,2.83,N,OK
96,7222H242,2,OUT,0.0024822,0.0015876,0.0042336000000000006,1500.0,341,2.27,N,OK
97,7222H242,3,OUT,0.0021042000000000005,0.0018522,0.004410000000000001,1500.0,302,2.01,N,OK
98,7222H242,4,OUT,0.002268,0.0016002,0.004557,1500.0,240,1.6,N,NG
99,7222H242,5,IN,0.02319368,,,4000.0,99,0.25,N,NG
100,7222H242,6,IN,0.021057419999999997,,,4000.0,147,0.37,N,NG
101,7222H331,1,OUT,0.0026208000000000004,0.0028014000000000003,0.005670000000000001,1200.0,339,2.82,N,OK
102,7222H331,2,OUT,0.0040026,0.004712400000000001,0.007396200000000001,1200.0,679,5.66,N,OK
103,7222H331,3,OUT,0.0015960000000000002,0.0009449999999999997,0.0022134000000000003,1200.0,322,2.68,N,OK
104,7222H331,4,OUT,0.0014700000000000002,0.0008232000000000005,0.0015204000000000003,1200.0,333,2.78,N,OK
105,7222H331,5,OUT,0.0037968000000000003,0.0028182000000000003,0.0040656,300.00000000000006,341,11.37,N,OK
106,7222H331,6,IN,0.06515593,,,3700.0,387,1.05,N,NG
107,7222H331,7,IN,0.06286708,,,4000.0,924,2.31,N,OK
108,7223P401,1,OUT,0.0013062000000000002,0.0015245999999999997,0.0012558,1500.0,260,1.73,N,NG
109,7223P401,2,OUT,0.0015372,0.0006846,0.0019404000000000003,1000.0,178,1.78,N,NG
110,7223P401,3,OUT,0.0013482000000000001,0.0018648000000000004,0.0021084000000000003,1500.0,182,1.21,N,NG
111,7223P401,4,IN,0.01861598,,,4000.0,84,0.21,N,NG
112,7223P401,5,IN,0.014038279999999998,,,4000.0,101,0.25,N,NG
113,7223R891,1,OUT,0.001113,0.0009575999999999999,0.0011550000000000002,1500.0,201,1.34,N,NG
114,7223R891,2,OUT,0.0018144,0.0008904000000000004,0.0022344,1500.0,243,1.62,N,NG
115,7223R891,3,OUT,0.0015876000000000002,0.0012893999999999998,0.0023141999999999998,1500.0,215,1.43,N,NG
116,7223R891,4,OUT,0.0018816000000000002,0.0023772,0.0028896,1500.0,201,1.34,N,NG
117,7223R891,5,IN,0.01174943,,,4000.0,80,0.2,N,NG
118,7223R891,6,IN,0.016327130000000002,,,4000.0,106,0.26,N,NG
119,7224B171,1,OUT,0.0025872000000000004,0.003032400000000001,0.0043848,1500.0,352,2.35,N,OK
120,7224B171,2,OUT,0.0015792000000000002,0.000882,0.0019782000000000003,1500.0,348,2.32,N,OK
121,7224B171,3,OUT,0.0023268,0.0015750000000000002,0.0029064,1500.0,282,1.88,N,NG
122,7224B171,4,OUT,0.0021798,0.0014363999999999996,0.0027467999999999998,1000.0,310,3.1,N,OK
123,7224B171,5,IN,0.023346270000000002,,,4000.0,122,0.3,N,NG
124,7224B171,6,IN,0.018615980000000004,,,4000.0,109,0.27,N,NG
125,7224B631,1,OUT,0.0005922000000000001,0.0007140000000000002,0.0016380000000000001,1500.0,200,1.33,N,NG
126,7224B631,2,OUT,0.0031164000000000005,0.0014994000000000001,0.0021000000000000003,1500.0,207,1.38,N,NG
127,7224B631,3,OUT,0.0045066,0.0047334000000000005,0.007891800000000001,1500.0,356,2.37,N,OK
128,7224B631,4,OUT,0.0029064000000000004,0.002335200000000001,0.003255,1500.0,158,1.05,N,NG
129,7224B631,5,IN,0.02105742,,,4000.0,117,0.29,N,NG
130,7224B631,6,IN,0.01632713,,,4000.0,137,0.34,N,NG
131,7224B903,1,OUT,0.0039522,0.0021756,0.0038388000000000003,1500.0,267,1.78,N,NG
132,7224B903,2,OUT,0.0022218000000000003,0.0043302,0.0022638,1500.0,247,1.65,N,NG
133,7224B903,3,IN,0.023346270000000002,,,4000.0,135,0.34,N,NG
134,7224B903,4,IN,0.016327129999999995,,,4000.0,126,0.32,N,NG
135,7224C682,1,OUT,0.0010416000000000002,0.0010122000000000004,0.0010206,1500.0,305,2.03,N,OK
136,7224C682,2,OUT,0.0009114,0.0007728000000000001,0.001281,1500.0,204,1.36,N,NG
137,7224C682,3,OUT,0.0031080000000000005,0.0013776000000000005,0.0042756,1500.0,241,1.61,N,NG
138,7224C682,4,OUT,0.0014742,0.0007854000000000003,0.0022344,1500.0,183,1.22,N,NG
139,7224C682,5,IN,0.02563512,,,4000.0,120,0.3,N,NG
140,7224C682,6,IN,0.01632713,,,4000.0,122,0.3,N,NG
141,7224E731,1,OUT,0.0013230000000000002,0.0011634000000000002,0.0013608000000000001,1500.0,274,1.83,U,NG
142,7224E731,2,OUT,0.002184,0.0024696,0.0029526,1500.0,193,1.29,U,NG
143,7224E731,3,OUT,0.0059556,0.0072072,0.0124908,1500.0,455,3.03,U,OK
144,7224E731,4,OUT,0.0050736,0.0091056,0.011087999999999999,1500.0,638,4.25,U,OK
145,7224E731,5,OUT,0.010042200000000001,0.006921600000000001,0.0110544,1500.0,300,2.0,U,NG
146,7224E731,6,OUT,0.0033726000000000003,0.0089166,0.009135,1500.0,260,1.73,U,NG
147,7224E731,7,IN,0.01876857,,,4000.0,92,0.23,U,NG
148,7224E731,8,IN,0.018615980000000004,,,4000.0,107,0.27,U,NG
149,7224P631,1,OUT,0.0005838000000000001,0.0004829999999999999,0.0005627999999999998,1500.0,242,1.61,N,NG
150,7224P631,2,OUT,0.0027468,0.0010667999999999997,0.0032046,1500.0,206,1.37,N,NG
151,7224P631,3,OUT,0.0012599999999999998,0.0009702000000000005,0.0019824,1500.0,203,1.35,N,NG
152,7224P631,4,OUT,0.003318,0.004326,0.0060816,1500.0,184,1.23,N,NG
153,7224P631,5,IN,0.02105742,,,4000.0,127,0.32,N,NG
154,7224P631,6,IN,0.018615980000000004,,,4000.0,119,0.3,N,NG
155,7224W311,1,OUT,0.0014364,0.00084,0.0015498,1500.0,285,1.9,N,NG
156,7224W311,2,OUT,0.0035784,0.0016296000000000001,0.0046746,1500.0,269,1.79,N,NG
157,7224W311,3,OUT,0.0010458,0.0013314,0.0022848,1500.0,186,1.24,N,NG
158,7224W311,4,OUT,0.001722,0.0008484000000000005,0.001533,1500.0,192,1.28,N,NG
159,7224W311,5,IN,0.02105742,,,4000.0,111,0.28,N,NG
160,7224W311,6,IN,0.018615980000000004,,,4000.0,121,0.3,N,NG
161,7224X071,1,OUT,0.0027132,0.0025032,0.0026292000000000004,1500.0,206,1.37,N,NG
162,7224X071,2,OUT,0.0024696,0.0009912000000000002,0.0025326000000000003,1500.0,233,1.55,N,NG
163,7224X071,3,OUT,0.002835,0.0013020000000000006,0.0028728,1500.0,234,1.56,N,NG
164,7224X071,4,OUT,0.0035364000000000003,0.002541,0.00336,1500.0,203,1.35,N,NG
165,7224X071,5,IN,0.02105742,,,4000.0,98,0.24,N,NG
166,7224X071,6,IN,0.01632713,,,4000.0,95,0.24,N,NG
167,7224X281,1,OUT,0.0016506,0.0011172,0.0018690000000000002,1500.0,287,1.91,N,NG
168,7224X281,2,OUT,0.0018816000000000002,0.0016631999999999997,0.0031416000000000005,1500.0,209,1.39,N,NG
169,7224X281,3,OUT,0.0016548,0.0017808,0.0026082,1500.0,216,1.44,N,NG
170,7224X281,4,OUT,0.0024738000000000004,0.0022218000000000003,0.0026922,1500.0,183,1.22,N,NG
171,7224X281,5,IN,0.01876857,,,4000.0,117,0.29,N,NG
172,7224X281,6,IN,0.01632713,,,4000.0,118,0.3,N,NG
173,7322A561,1,OUT,0.0021462000000000005,0.0009450000000000001,0.0026376000000000004,1500.0,479,3.19,N,OK
174,7322A561,2,OUT,0.0019698,0.0014196000000000002,0.002541,1500.0,295,1.97,N,NG
175,7322A561,3,OUT,0.0019908,0.0013482000000000004,0.0025326000000000003,1500.0,281,1.87,N,NG
176,7322A561,4,OUT,0.0027048000000000003,0.0030702000000000004,0.006132,1500.0,311,2.07,N,OK
177,7322A561,5,IN,0.02105742,,,4000.0,151,0.38,N,NG
178,7322A561,6,IN,0.014038279999999997,,,4000.0,152,0.38,N,NG
179,7322A591,1,OUT,0.0029988000000000003,0.006573000000000001,0.006728400000000001,1200.0,534,4.45,N,OK
180,7322A591,2,OUT,0.002814,0.005296200000000001,0.0056028,1500.0,310,2.07,N,OK
181,7322A591,3,OUT,0.0026376000000000004,0.0056742,0.0057036,1500.0,305,2.03,N,OK
182,7322A591,4,OUT,0.0021587999999999998,0.0053928,0.0051660000000000005,1500.0,258,1.72,N,NG
183,7322A591,5,IN,0.01403828,,,4000.0,113,0.28,N,NG
184,7322A591,6,IN,0.016327130000000002,,,4000.0,112,0.28,N,NG
185,7322F151,1,OUT,0.0010416,0.0011046,0.0017598000000000002,1200.0,313,2.61,N,OK
186,7322F151,2,OUT,0.0006342,0.0004829999999999999,0.0012012000000000004,1200.0,250,2.08,N,OK
187,7322F151,3,OUT,0.0018395999999999998,0.0005880000000000004,0.0015876000000000002,1500.0,270,1.8,N,NG
188,7322F151,4,IN,0.01632713,,,3700.0,111,0.3,N,NG
189,7322F151,5,IN,0.014038279999999997,,,3700.0,109,0.29,N,NG
190,7322F372,1,OUT,0.0010374000000000002,0.0009198000000000003,0.0010835999999999999,1500.0,235,1.57,N,NG
191,7322F372,2,OUT,0.0026628,0.001008,0.0028812000000000004,1500.0,243,1.62,N,NG
192,7322F372,3,OUT,0.0020622,0.0008861999999999997,0.0018438,1500.0,158,1.05,N,NG
193,7322F372,4,IN,0.013885690000000006,,,4000.0,86,0.22,N,NG
194,7322F372,5,IN,0.02090483,,,4000.0,99,0.25,N,NG
195,7323X631,1,OUT,0.0024948,0.0010542,0.0014532,1500.0,202,1.35,N,NG
196,7323X631,2,OUT,0.0028686,0.0010080000000000002,0.0026880000000000003,1500.0,162,1.08,N,NG
197,7323X631,3,OUT,0.0019656000000000005,0.0010374,0.0017808,1500.0,184,1.23,N,NG
