,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,63132591,1,OUT,0.0029526,0.0022974000000000002,0.0034524000000000004,1500.0,351,2.34,N,OK
1,63132591,2,OUT,0.0026292000000000004,0.0037673999999999997,0.004477200000000001,1500.0,318,2.12,N,OK
2,63132591,3,OUT,0.0036708,0.004674599999999999,0.0086604,1500.0,290,1.93,N,NG
3,63132591,4,OUT,0.0030198,0.0030702,0.0049602,1500.0,279,1.86,N,NG
4,63132591,5,IN,0.02105742,,,4000.0,133,0.33,N,NG
5,63132591,6,IN,0.014038279999999997,,,4000.0,112,0.28,N,NG
6,63134521,1,OUT,0.0018060000000000005,0.0013860000000000005,0.0021882000000000004,1500.0,257,1.71,N,NG
7,63134521,2,OUT,0.0012348,0.0005670000000000002,0.0014364000000000002,1500.0,361,2.41,N,OK
8,63134521,3,OUT,0.0027678,0.0015287999999999999,0.004893,1500.0,263,1.75,N,NG
9,63134521,4,OUT,0.0013524000000000001,0.0010793999999999999,0.0017346000000000002,1500.0,437,2.91,N,OK
10,63134521,5,IN,0.01876857,,,4000.0,117,0.29,N,NG
11,63134521,6,IN,0.01632713,,,4000.0,133,0.33,N,NG
12,6412X941,1,OUT,0.0018143999999999999,0.0011633999999999998,0.0018396000000000003,1500.0,208,1.39,N,NG
13,6412X941,2,OUT,0.0019278000000000003,0.0013902000000000003,0.0027972,1500.0,204,1.36,N,NG
14,6412X941,3,OUT,0.0017598000000000002,0.0014112000000000005,0.0020496,1500.0,220,1.47,N,NG
15,6412X941,4,IN,0.018615979999999997,,,4000.0,110,0.28,N,NG
16,6412X941,5,IN,0.01403828,,,4000.0,105,0.26,N,NG
17,65092881,1,OUT,0.0026124000000000004,0.0026165999999999997,0.0040404,1500.0,733,4.89,N,OK
18,65092881,2,OUT,0.0037254000000000002,0.0021882000000000004,0.0040362,1500.0,475,3.17,N,OK
19,65092881,3,OUT,0.003444,0.0017513999999999997,0.0042924,1500.0,361,2.41,N,OK
20,65092881,4,IN,0.01861598,,,4000.0,131,0.33,N,NG
21,65092881,5,IN,0.016327130000000002,,,4000.0,104,0.26,N,NG
22,6510A291,1,OUT,0.0024570000000000004,0.0010164000000000002,0.0023016,1500.0,348,2.32,N,OK
23,6510A291,2,OUT,0.0027846,0.0034398,0.0044058000000000005,1500.0,300,2.0,N,NG
24,6510A291,3,OUT,0.0023814,0.0050106,0.0053718,1500.0,378,2.52,N,OK
25,6510A291,4,OUT,0.0016842,0.002667000000000001,0.0032088000000000004,1500.0,290,1.93,N,NG
26,6510A291,5,OUT,0.0021882,0.004737600000000001,0.0055902,1500.0,367,2.45,N,OK
27,6510A291,6,IN,0.025635119999999997,,,4000.0,99,0.25,N,NG
28,6510A291,7,IN,0.01632713,,,4000.0,95,0.24,N,NG
29,6510D432,1,OUT,0.002184,0.0016380000000000001,0.0022596,1500.0,396,2.64,N,OK
30,6510D432,2,OUT,0.00147,0.0011088000000000005,0.0017514,1500.0,303,2.02,N,OK
31,6510D432,3,OUT,0.002541,0.0025578,0.0035532000000000003,1500.0,383,2.55,N,OK
32,6510D432,4,OUT,0.0028560000000000005,0.0029484,0.0045780000000000005,1500.0,574,3.83,N,OK
33,6510D432,5,OUT,0.0034104,0.0022050000000000004,0.0057246,1500.0,375,2.5,N,OK
34,6510D432,6,OUT,0.0031416,0.0036792,0.0053928,500.0,767,15.34,N,OK
35,6510D432,7,IN,0.06286707999999999,,,4000.0,630,1.58,N,NG
36,6510D432,8,IN,0.09536875,,,4000.0,496,1.24,N,NG
37,6510G522,1,OUT,0.0016884,0.0006342000000000006,0.0021420000000000002,1500.0,459,3.06,N,OK
38,6510G522,2,OUT,0.0012306,0.0009828000000000003,0.0013398000000000001,1500.0,318,2.12,N,OK
39,6510G522,3,OUT,0.0026292000000000004,0.0040236000000000004,0.0032886,1500.0,340,2.27,N,OK
40,6510G522,4,OUT,0.0018438000000000003,0.0011003999999999999,0.0029988000000000003,1500.0,329,2.19,N,OK
41,6510G522,5,IN,0.01861598,,,4000.0,116,0.29,N,NG
42,6510G522,6,IN,0.014038279999999997,,,4000.0,117,0.29,N,NG
43,6510X172,1,OUT,0.0029316,0.0014070000000000003,0.0018354,1500.0,397,2.65,N,OK
44,6510X172,2,OUT,0.0009995999999999998,0.0005964,0.0010206,1500.0,321,2.14,N,OK
45,6510X172,3,OUT,0.0015497999999999998,0.0009912000000000002,0.0014742,1500.0,328,2.19,N,OK
46,6510X172,4,IN,0.01876857,,,4000.0,113,0.28,N,NG
47,6510X172,5,IN,0.014038279999999997,,,4000.0,109,0.27,N,NG
48,6510X782,1,OUT,0.0030198000000000004,0.0016884,0.0053718,-6500.0,451,-0.69,N,NG
49,6510X782,2,OUT,0.0017052,0.0018102,0.0039522,1500.0,398,2.65,N,OK
50,6510X782,3,OUT,0.0019698,0.002142,0.0035952000000000007,1500.0,311,2.07,N,OK
51,6510X782,4,OUT,0.0015245999999999999,0.0010458000000000004,0.0015876000000000002,1500.0,299,1.99,N,NG
52,6510X782,5,IN,0.02090483,,,4000.0,110,0.28,N,NG
53,6510X782,6,IN,0.018615979999999997,,,4000.0,158,0.4,N,NG
54,6510Z671,1,OUT,0.0028770000000000002,0.0039732000000000005,0.0055608,1500.0,1121,7.47,N,OK
55,6510Z671,2,OUT,0.0012936000000000002,0.0009575999999999999,0.0018816000000000002,1500.0,468,3.12,N,OK
56,6510Z671,3,OUT,0.0013818000000000003,0.0008357999999999998,0.0020076,1500.0,412,2.75,N,OK
57,6510Z671,4,OUT,0.0015876000000000002,0.0018647999999999998,0.0038388000000000007,1500.0,473,3.15,N,OK
58,6510Z671,5,IN,0.02334627,,,4000.0,129,0.32,N,NG
59,6510Z671,6,IN,0.01632713,,,4000.0,122,0.3,N,NG
60,65133691,1,OUT,0.0016548,0.0018774000000000002,0.0013188000000000002,1500.0,273,1.82,N,NG
61,65133691,2,OUT,0.0018227999999999999,0.0010836,0.0013986,1500.0,227,1.51,N,NG
62,65133691,3,OUT,0.0015876000000000002,0.0018269999999999998,0.0015498,1500.0,222,1.48,N,NG
63,65133691,4,OUT,0.0024318000000000005,0.0025577999999999994,0.004998,1500.0,253,1.69,N,NG
64,65133691,5,IN,0.02105742,,,4000.0,111,0.28,N,NG
65,65133691,6,IN,0.014038279999999997,,,4000.0,109,0.27,N,NG
66,66091661,1,OUT,0.0019404000000000001,0.0009282000000000001,0.0022176,1500.0,439,2.93,N,OK
67,66091661,2,OUT,0.0009660000000000001,0.0008946000000000002,0.0022386000000000003,1500.0,453,3.02,N,OK
68,66091661,3,OUT,0.0013398000000000001,0.0017472,0.0042336000000000006,1500.0,343,2.29,N,OK
69,66091661,4,OUT,0.0022512,0.0032844,0.0035741999999999996,1500.0,335,2.23,N,OK
70,66091661,5,IN,0.018615979999999997,,,4000.0,99,0.25,N,NG
71,66091661,6,IN,0.014038279999999998,,,4000.0,108,0.27,N,NG
72,66091662,1,OUT,0.0021798000000000004,0.0011172,0.0029442,1500.0,444,2.96,N,OK
73,66091662,2,OUT,0.0011003999999999999,0.001386,0.001575,1500.0,308,2.05,N,OK
74,66091662,3,OUT,0.0023184,0.0017136000000000002,0.0024696000000000006,1500.0,310,2.07,N,OK
75,66091662,4,OUT,0.0019320000000000001,0.0012810000000000005,0.0018858000000000004,1500.0,313,2.09,N,OK
76,66091662,5,IN,0.01861598,,,4000.0,152,0.38,N,NG
77,66091662,6,IN,0.014038279999999997,,,4000.0,123,0.31,N,NG
78,66091751,1,OUT,0.0032466,0.0044478,0.004044600000000001,1500.0,278,1.85,N,NG
79,66091751,2,OUT,0.0016631999999999999,0.0019404000000000003,0.0024738000000000004,1500.0,230,1.53,N,NG
80,66091751,3,OUT,0.0010584000000000001,0.0010122,0.0015918000000000004,1200.0,241,2.01,N,OK
81,66091751,4,OUT,0.0015792000000000002,0.001281,0.0019194000000000004,1500.0,281,1.87,N,NG
82,66091751,5,IN,0.02105742,,,3700.0,86,0.23,N,NG
83,66091751,6,IN,0.01632713,,,3700.0,119,0.32,N,NG
84,66091851,1,OUT,0.0018060000000000003,0.0023226,0.0029400000000000008,1500.0,254,1.69,N,NG
85,66091851,2,OUT,0.0014574,0.0020076000000000004,0.0024695999999999997,1500.0,290,1.93,N,NG
86,66091851,3,OUT,0.002625,0.0018521999999999996,0.0030408,1500.0,303,2.02,N,OK
87,66091851,4,OUT,0.0019614,0.0018144,0.0020706,1500.0,188,1.25,N,NG
88,66091851,5,IN,0.01403828,,,4000.0,124,0.31,N,NG
89,66091851,6,IN,0.01876857,,,4000.0,115,0.29,N,NG
90,66091952,1,OUT,0.0021336,0.0024444,0.0034398000000000002,1500.0,349,2.33,N,OK
91,66091952,2,OUT,0.0035322000000000005,0.0029525999999999997,0.005859,1500.0,338,2.25,N,OK
92,66091952,3,OUT,0.0015834,0.0012936000000000002,0.0026124,1500.0,250,1.67,N,NG
93,66091952,4,OUT,0.0030786000000000003,0.001386,0.003704400000000001,1500.0,334,2.23,N,OK
94,66091952,5,IN,0.01876857,,,4000.0,124,0.31,N,NG
95,66091952,6,IN,0.014038279999999997,,,4000.0,116,0.29,N,NG
96,6610W851,1,OUT,0.004116,0.0034901999999999997,0.0049056,1500.0,442,2.95,N,OK
97,6610W851,2,OUT,0.003255,0.0036287999999999997,0.0055566,1500.0,282,1.88,N,NG
98,6610W851,3,OUT,0.001596,0.0010878000000000003,0.0021714,1500.0,261,1.74,N,NG
99,6610W851,4,OUT,0.0015750000000000002,0.0009786,0.00252,1500.0,253,1.69,N,NG
100,6610W851,5,IN,0.023346270000000002,,,4000.0,130,0.32,N,NG
101,6610W851,6,IN,0.016174540000000005,,,4000.0,108,0.27,N,NG
102,6612A382,1,OUT,0.0022470000000000003,0.0012054000000000001,0.0029232,1500.0,292,1.95,N,NG
103,6612A382,2,OUT,0.0037002000000000003,0.0041244,0.00525,1500.0,334,2.23,N,OK
104,6612A382,3,OUT,0.0032676000000000003,0.0028140000000000005,0.0036708,1500.0,344,2.29,N,OK
105,6612A382,4,OUT,0.0011466000000000002,0.000882,0.0012810000000000002,1500.0,326,2.17,N,OK
106,6612A382,5,OUT,0.0035994,0.0053046,0.007144200000000001,500.0,275,5.5,N,OK
107,6612A382,6,IN,0.18860124,,,4000.0,294,0.74,N,NG
108,6612A382,7,IN,0.13748359000000002,,,4000.0,501,1.25,N,NG
109,6710Q922,1,OUT,0.0033558000000000004,0.0015036000000000001,0.0037758,1500.0,534,3.56,N,OK
110,6710Q922,2,OUT,0.0013608000000000001,0.0009575999999999999,0.0019026000000000002,1500.0,305,2.03,N,OK
111,6710Q922,3,OUT,0.0015036000000000001,0.0013398,0.0019110000000000004,1500.0,308,2.05,N,OK
112,6710Q922,4,OUT,0.0024234000000000005,0.0016884000000000005,0.00315,1500.0,332,2.21,N,OK
113,6710Q922,5,IN,0.01861598,,,4000.0,121,0.3,N,NG
114,6710Q922,6,IN,0.014038279999999997,,,4000.0,102,0.26,N,NG
115,67114782,1,OUT,0.0017220000000000002,0.0019824,0.0027300000000000002,1500.0,331,2.21,N,OK
116,67114782,2,OUT,0.00168,0.0016716,0.0031878,1500.0,300,2.0,N,NG
117,67114782,3,OUT,0.001659,0.0013062000000000004,0.0023772000000000003,1500.0,254,1.69,N,NG
118,67114782,4,OUT,0.0028853999999999998,0.0024528,0.004956,1500.0,267,1.78,N,NG
119,67114782,5,IN,0.01861598,,,4000.0,101,0.25,N,NG
120,67114782,6,IN,0.01388569,,,4000.0,93,0.23,N,NG
121,6712B051,1,OUT,0.0018438000000000003,0.0012096000000000003,0.0022511999999999996,1500.0,292,1.95,N,NG
122,6712B051,2,OUT,0.0021378,0.0013272000000000002,0.0023772000000000003,1500.0,207,1.38,N,NG
123,6712B051,3,OUT,0.0021966,0.0012138000000000001,0.0023394,1500.0,326,2.17,N,OK
124,6712B051,4,OUT,0.0020034000000000002,0.0013104000000000002,0.0027216000000000002,1500.0,296,1.97,N,NG
125,6712B051,5,IN,0.01861598,,,4000.0,90,0.22,N,NG
126,6712B051,6,IN,0.01388569,,,4000.0,96,0.24,N,NG
127,6712F591,1,OUT,0.004641000000000001,0.0015120000000000003,0.004426800000000001,1500.0,328,2.19,N,OK
128,6712F591,2,OUT,0.0051660000000000005,0.0015288,0.0045612,1500.0,304,2.03,N,OK
129,6712F591,3,OUT,0.005069400000000001,0.0015120000000000003,0.0043008000000000005,1500.0,310,2.07,N,OK
130,6712F591,4,OUT,0.0059892,0.0016632,0.0049476,1500.0,283,1.89,N,NG
131,6712F591,5,IN,0.014038280000000007,,,4000.0,97,0.24,N,NG
132,6712F591,6,IN,0.01861598000000001,,,4000.0,108,0.27,N,NG
133,6712Q061,1,OUT,0.0019026000000000002,0.0013356000000000006,0.0022554,1500.0,251,1.67,N,NG
134,6712Q061,2,OUT,0.0017892,0.0012474000000000005,0.0023058,1500.0,236,1.57,N,NG
135,6712Q061,3,OUT,0.0021756,0.0013356000000000002,0.0026754,1500.0,300,2.0,N,NG
136,6712Q061,4,OUT,0.0024738,0.0010667999999999997,0.0026376000000000004,1500.0,296,1.97,N,NG
137,6712Q061,5,IN,0.02105742,,,4000.0,128,0.32,N,NG
138,6712Q061,6,IN,0.01632713,,,4000.0,120,0.3,N,NG
139,6811P142,1,OUT,0.0029316000000000004,0.0019278,0.0032550000000000005,1500.0,329,2.19,N,OK
140,6811P142,2,OUT,0.0022470000000000003,0.0015876000000000002,0.0027300000000000002,1500.0,304,2.03,N,OK
141,6811P142,3,OUT,0.0016926,0.0012684000000000005,0.002058,1500.0,302,2.01,N,OK
142,6811P142,4,OUT,0.0027762000000000004,0.0016716,0.0025662000000000003,1500.0,262,1.75,N,NG
143,6811P142,5,IN,0.01861598,,,4000.0,111,0.28,N,NG
144,6811P142,6,IN,0.01403828,,,4000.0,131,0.33,N,NG
145,68131161,1,OUT,0.0012726000000000003,0.0010542,0.0013482,1500.0,329,2.19,N,OK
146,68131161,2,OUT,0.0015876000000000002,0.0008273999999999998,0.0018480000000000003,1500.0,302,2.01,N,OK
147,68131161,3,OUT,0.0013188000000000002,0.0007644000000000001,0.0012306,1500.0,235,1.57,N,NG
148,68131161,4,IN,0.023346270000000002,,,4000.0,126,0.32,N,NG
149,68131161,5,IN,0.016327129999999995,,,4000.0,141,0.35,N,NG
150,6813P233,1,OUT,0.0009996000000000002,0.0007182,0.001596,1500.0,262,1.75,N,NG
