,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0298X502,1,OUT,0.0013230000000000004,0.001428,0.0024990000000000004,1500.0,341,2.27,N,OK
1,0298X502,2,OUT,0.0014196,0.0020454,0.0018438000000000005,1500.0,230,1.53,N,NG
2,0298X502,3,OUT,0.0026502000000000006,0.0018312000000000003,0.0031038000000000003,1500.0,257,1.71,N,NG
3,0298X502,4,IN,0.03738455,,,4000.0,346,0.86,N,NG
4,0298X502,5,IN,0.03494311,,,4000.0,307,0.77,N,NG
5,0298X503,1,OUT,0.001113,0.0012978,0.0013356000000000002,1500.0,255,1.7,N,NG
6,0298X503,2,OUT,0.0022554000000000003,0.0015414,0.0021209999999999996,1500.0,328,2.19,N,OK
7,0298X503,3,IN,0.09552134000000001,,,4000.0,291,0.73,N,NG
8,0298X503,4,IN,0.06286707999999999,,,4000.0,283,0.71,N,NG
9,0298X511,1,OUT,0.0026586,0.0012726,0.0029022,1500.0,272,1.81,N,NG
10,0298X511,2,OUT,0.0017136,0.0006299999999999999,0.0019194,1500.0,229,1.53,N,NG
11,0298X511,3,OUT,0.0012600000000000003,0.0024612,0.0022176,1500.0,205,1.37,N,NG
12,0298X511,4,OUT,0.0007559999999999999,0.0012768,0.0014364000000000002,1500.0,238,1.59,N,NG
13,0298X511,5,IN,0.03494311,,,4000.0,301,0.75,N,NG
14,0298X511,6,IN,0.03036541,,,4000.0,297,0.74,N,NG
15,0298X521,1,OUT,0.0012978,0.0020538,0.0025284,1500.0,284,1.89,N,NG
16,0298X521,2,OUT,0.0006846,0.0007812000000000003,0.0014868000000000001,1500.0,230,1.53,N,NG
17,0298X521,3,OUT,0.0018522,0.0013314000000000004,0.0023141999999999998,1500.0,255,1.7,N,NG
18,0298X521,4,OUT,0.0012180000000000001,0.0014952000000000001,0.0019992000000000005,1500.0,211,1.41,N,NG
19,0298X521,5,IN,0.03952081,,,4000.0,283,0.71,N,NG
20,0298X521,6,IN,0.01861598,,,4000.0,263,0.66,N,NG
21,0298X522,1,OUT,0.0017976,0.0015203999999999999,0.0033558,1500.0,347,2.31,N,OK
22,0298X522,2,OUT,0.0022344,0.0018144,0.0032172000000000004,1500.0,272,1.81,N,NG
23,0298X522,3,OUT,0.0021924,0.0020201999999999998,0.0029778000000000005,1500.0,278,1.85,N,NG
24,0298X522,4,OUT,0.0032382,0.0024192,0.0034356000000000005,1500.0,273,1.82,N,NG
25,0298X522,5,IN,0.046539950000000004,,,4000.0,320,0.8,N,NG
26,0298X522,6,IN,0.07232766,,,4000.0,377,0.94,N,NG
27,0298X531,1,OUT,0.0011592,0.0006804000000000003,0.0014742,1500.0,259,1.73,N,NG
28,0298X531,2,OUT,0.001281,0.0017220000000000002,0.0011928000000000002,1500.0,211,1.41,N,NG
29,0298X531,3,OUT,0.0010668000000000001,0.0016674000000000003,0.0013944,1500.0,235,1.57,N,NG
30,0298X531,4,OUT,0.001113,0.0012012,0.001575,1500.0,245,1.63,N,NG
31,0298X531,5,IN,0.0396734,,,4000.0,382,0.96,N,NG
32,0298X531,6,IN,0.03494311,,,4000.0,317,0.79,N,NG
33,0298X532,1,OUT,0.0019068000000000002,0.0020874,0.0019572,1500.0,320,2.13,N,OK
34,0298X532,2,OUT,0.003381,0.0045486,0.005733,1500.0,287,1.91,N,NG
35,0298X532,3,OUT,0.003759,0.008089200000000001,0.0096054,1500.0,236,1.57,N,NG
36,0298X532,4,OUT,0.0027888,0.0040152,0.0055314000000000006,1500.0,253,1.69,N,NG
37,0298X532,5,IN,0.018615979999999997,,,4000.0,348,0.87,N,NG
38,0298X532,6,IN,0.03265426,,,4000.0,321,0.8,N,NG
39,0298X541,1,OUT,0.0037464000000000004,0.005842199999999999,0.008568000000000001,1500.0,256,1.71,N,NG
40,0298X541,2,OUT,0.0017178000000000002,0.0018606000000000004,0.0021126,1500.0,267,1.78,N,NG
41,0298X541,3,OUT,0.0014574000000000002,0.0011802,0.0031458000000000002,1500.0,248,1.65,N,NG
42,0298X541,4,OUT,0.0042336000000000006,0.005191200000000001,0.0096054,1500.0,259,1.73,N,NG
43,0298X541,5,IN,0.10482933,,,4000.0,338,0.84,N,NG
44,0298X541,6,IN,0.02334627,,,4000.0,355,0.89,N,NG
