,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0298X502,,,,,,,,,,,,,,,,OK,N
0,0298X503,,,,,,,,,,,,,,,,OK,N
0,0298X511,,,,,,,,,,,,,,,,OK,N
0,0298X521,,,,,,,,,,,,,,,,OK,N
0,0298X522,,,,,,,,,,,,,,,,OK,N
0,0298X531,,,,,,,,,,,,,,,,OK,N
0,0298X532,,,,,,,,,,,,,,,,OK,N
0,0298X541,,,,,,,,,,,,,,,,OK,N
0,0298X551,,,,,,,,,,,,,,,,OK,N
0,0298X561,,,,,,,,,,,,,,,,OK,N
0,0298X562,,,,,,,,,,,,,,,,OK,N
0,0298X571,,,,,,,,,,,,,,,,OK,N
0,0298X572,,,,,,,,,,,,,,,,OK,N
0,0298X573,,,,,,,,,,,,,,,,OK,N
0,0298X574,,,,,,,,,,,,,,,,OK,N
0,0298X577,,,,,,,,,,,,,,,,OK,N
0,0298X578,,,,,,,,,,,,,,,,OK,N
0,0298X581,,,,,,,,,,,,,,,,OK,N
0,0298X602,,,,,,,,,,,,,,,,OK,N
0,0298X604,,,,,,,,,,,,,,,,OK,N
0,0298X611,,,,,,,,,,,,,,,,OK,N
0,0298X621,,,,,,,,,,,,,,,,OK,N
0,0298X631,,,,,,,,,,,,,,,,OK,N
0,0298X641,,,,,,,,,,,,,,,,OK,N
0,0298X661,,,,,,,,,,,,,,,,OK,N
0,0298X662,,,,,,,,,,,,,,,,OK,N
0,0298X676,,,,,,,,,,,,,,,,OK,N
0,0298X681,,,,,,,,,,,,,,,,OK,N
0,0298X683,,,,,,,,,,,,,,,,OK,N
0,0298X684,,,,,,,,,,,,,,,,OK,N
0,0298X691,,,,,,,,,,,,,,,,OK,N
0,0298X692,,,,,,,,,,,,,,,,OK,N
0,0298X693,,,,,,,,,,,,,,,,OK,N
0,0298X694,,,,,,,,,,,,,,,,OK,N
0,0298X695,,,,,,,,,,,,,,,,OK,N
0,0298X701,,,,,,,,,,,,,,,,OK,N
0,0298X703,,,,,,,,,,,,,,,,OK,N
0,0298X711,,,,,,,,,,,,,,,,OK,N
0,0298X712,,,,,,,,,,,,,,,,OK,N
0,0298X721,,,,,,,,,,,,,,,,OK,N
0,0298X722,,,,,,,,,,,,,,,,OK,N
0,0298X731,,,,,,,,,,,,,,,,OK,N
0,0298X741,,,,,,,,,,,,,,,,OK,N
0,0298X742,2,OUT,7,0.2,20,55,0.409,0.536,0.549,0.641,-0.732,0.741,3.61,167.0,0.82,NG,N
2,0298X742,4,OUT,8,0.2,20,55,0.495,0.441,0.359,0.707,-0.665,-0.6,3.27,180.0,0.82,NG,N
1,0298X742,3,OUT,2,0.2,36,45,0.396,0.344,0.316,0.63,-0.587,0.562,2.84,103.0,0.68,NG,N
3,0298X742,8,IN,3,0.2,42,50,0.318,0.307,0.318,-0.564,-0.554,-0.564,2.63,90.0,-0.4,NG,N
0,0298X743,,,,,,,,,,,,,,,,OK,N
0,0298X751,,,,,,,,,,,,,,,,OK,N
0,0298X761,,,,,,,,,,,,,,,,OK,N
0,0298X762,,,,,,,,,,,,,,,,OK,N
0,0298X771,,,,,,,,,,,,,,,,OK,N
0,0298X772,,,,,,,,,,,,,,,,OK,N
0,0298X781,,,,,,,,,,,,,,,,OK,N
0,0298X792,,,,,,,,,,,,,,,,OK,N
1,0298X821,1,OUT,7,0.2,20,40,0.659,0.418,0.485,0.812,-0.646,0.697,3.72,167.0,0.6,NG,N
3,0298X821,2,OUT,7,0.2,20,40,0.572,0.364,0.506,0.756,-0.603,0.711,3.51,167.0,0.6,NG,N
2,0298X821,2,OUT,6,0.25,20,40,0.558,0.315,0.422,0.747,-0.562,-0.65,3.25,154.0,0.6,NG,N
0,0298X821,1,OUT,2,0.2,36,40,0.313,0.414,0.321,-0.56,-0.643,0.567,2.82,103.0,0.6,NG,N
0,0298X822,,,,,,,,,,,,,,,,OK,N
0,0298X831,,,,,,,,,,,,,,,,OK,N
0,0298X841,,,,,,,,,,,,,,,,OK,N
0,0298X843,,,,,,,,,,,,,,,,OK,N
0,0298X851,,,,,,,,,,,,,,,,OK,N
0,0298X852,,,,,,,,,,,,,,,,OK,N
0,0298X861,,,,,,,,,,,,,,,,OK,N
0,0298X862,,,,,,,,,,,,,,,,OK,N
0,0298X871,,,,,,,,,,,,,,,,OK,N
0,0298X872,,,,,,,,,,,,,,,,OK,N
0,0298X873,,,,,,,,,,,,,,,,OK,N
0,0298X874,,,,,,,,,,,,,,,,OK,N
0,0298X881,,,,,,,,,,,,,,,,OK,N
0,0298X882,,,,,,,,,,,,,,,,OK,N
0,0298X884,,,,,,,,,,,,,,,,OK,N
0,0298X885,,,,,,,,,,,,,,,,OK,N
0,0298X891,,,,,,,,,,,,,,,,OK,N
0,0298X892,,,,,,,,,,,,,,,,OK,N
0,0298X894,,,,,,,,,,,,,,,,OK,N
0,0298X901,,,,,,,,,,,,,,,,OK,N
0,0298X902,,,,,,,,,,,,,,,,OK,N
0,0298X911,,,,,,,,,,,,,,,,OK,N
0,0298X921,,,,,,,,,,,,,,,,OK,N
0,0298X922,,,,,,,,,,,,,,,,OK,N
0,0298X923,,,,,,,,,,,,,,,,OK,N
0,0298X931,,,,,,,,,,,,,,,,OK,N
0,0298X933,,,,,,,,,,,,,,,,OK,N
0,0298X941,,,,,,,,,,,,,,,,OK,N
0,0298X942,,,,,,,,,,,,,,,,OK,N
0,0298X944,,,,,,,,,,,,,,,,OK,N
0,0298X951,,,,,,,,,,,,,,,,OK,N
0,0298X952,,,,,,,,,,,,,,,,OK,N
0,0298X961,,,,,,,,,,,,,,,,OK,N
0,0298X963,,,,,,,,,,,,,,,,OK,N
0,0298X964,,,,,,,,,,,,,,,,OK,N
0,0298X971,,,,,,,,,,,,,,,,OK,N
0,0298X972,,,,,,,,,,,,,,,,OK,N
0,0298X981,,,,,,,,,,,,,,,,OK,N
0,0398P021,,,,,,,,,,,,,,,,OK,N
0,0398P022,,,,,,,,,,,,,,,,OK,N
