,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,3143H393,1,OUT,0.0016716000000000007,0.0017346000000000002,0.002667,1500.0,241,1.61,N,NG
1,3143H393,2,OUT,0.0018942000000000004,0.0011886,0.0021084000000000003,1500.0,207,1.38,N,NG
2,3143H393,3,OUT,0.0010835999999999997,0.0013440000000000001,0.0019572,1500.0,190,1.27,N,NG
3,3143H393,4,OUT,0.0017346000000000002,0.001575,0.0017766000000000001,1500.0,178,1.19,N,NG
4,3143H393,5,IN,0.020904830000000003,,,4000.0,359,0.9,N,NG
5,3143H393,6,IN,0.02090483,,,4000.0,300,0.75,N,NG
6,3143X682,1,OUT,0.0005124,0.0005796,0.0009071999999999999,1500.0,251,1.67,N,NG
7,3143X682,2,OUT,0.002058,0.0010794,0.0021000000000000003,1500.0,260,1.73,N,NG
8,3143X682,3,OUT,0.0009660000000000001,0.0010626,0.0013314,1500.0,205,1.37,N,NG
9,3143X682,4,OUT,0.0010038,0.0009828000000000003,0.0011928000000000002,1500.0,221,1.47,N,NG
10,3143X682,5,IN,0.02563512,,,4000.0,376,0.94,N,NG
11,3143X682,6,IN,0.020904830000000006,,,4000.0,260,0.65,N,NG
12,3143Z862,1,OUT,0.0040950000000000005,0.002268,0.0024108,1500.0,336,2.24,N,OK
13,3143Z862,2,OUT,0.0020076,0.0025788,0.003129,1500.0,442,2.95,N,OK
14,3143Z862,3,IN,0.03265426,,,4000.0,276,0.69,N,NG
15,3143Z862,4,IN,0.02792397,,,4000.0,346,0.86,N,NG
16,3143Z871,1,OUT,0.0278292,0.0174846,0.025809000000000002,1500.0,261,1.74,N,NG
17,3143Z871,2,OUT,0.006615000000000001,0.0189882,0.0214662,1500.0,259,1.73,N,NG
18,3143Z871,3,OUT,0.007748999999999999,0.02058,0.0231756,1500.0,207,1.38,N,NG
19,3143Z871,4,OUT,0.0195804,0.01995,0.022701000000000002,1500.0,296,1.97,N,NG
20,3143Z871,5,IN,0.023346270000000002,,,4000.0,291,0.73,N,NG
21,3143Z871,6,IN,0.02090483,,,4000.0,384,0.96,N,NG
22,3143Z872,1,OUT,0.0020622,0.005628000000000001,0.008337,1500.0,419,2.79,N,OK
23,3143Z872,2,OUT,0.0022806,0.0053088,0.0061152,1500.0,419,2.79,N,OK
24,3143Z872,3,OUT,0.0055692,0.0072198,0.008127,1500.0,308,2.05,N,OK
25,3143Z872,4,OUT,0.0050652,0.007324800000000001,0.005535600000000001,1500.0,547,3.65,N,OK
26,3143Z872,5,IN,0.03265426,,,4000.0,365,0.91,N,NG
27,3143Z872,6,IN,0.018615980000000004,,,4000.0,273,0.68,N,NG
