,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,3904X061,1,OUT,0.0010626000000000001,0.0012474,0.0020748000000000003,1500.0,243,1.62,N,NG
1,3904X061,2,OUT,0.0014868,0.0017345999999999998,0.0014322,1500.0,233,1.55,N,NG
2,3904X061,3,OUT,0.0037086000000000003,0.009244200000000001,0.0114324,1500.0,248,1.65,N,NG
3,3904X061,4,OUT,0.0017304,0.0019025999999999995,0.0024612,1500.0,285,1.9,N,NG
4,3904X061,5,IN,0.02563512,,,4000.0,327,0.82,N,NG
5,3904X061,6,IN,0.018615979999999997,,,4000.0,283,0.71,N,NG
6,4010W821,1,OUT,0.0019698000000000003,0.0036498,0.0045612000000000005,1500.0,269,1.79,N,NG
7,4010W821,2,OUT,0.0010626000000000001,0.0008064000000000005,0.0016380000000000001,1500.0,236,1.57,N,NG
8,4010W821,3,OUT,0.0010458,0.0012642,0.0018564000000000002,1500.0,260,1.73,N,NG
9,4010W821,4,OUT,0.0009113999999999999,0.0009324000000000003,0.0016086,1500.0,200,1.33,N,NG
10,4010W821,5,IN,0.02105742,,,4000.0,345,0.86,N,NG
11,4010W821,6,IN,0.01632713,,,4000.0,409,1.02,N,NG
12,4010W823,1,OUT,0.0010332,0.0007812000000000001,0.001974,1500.0,228,1.52,N,NG
13,4010W823,2,OUT,0.0022218,0.0013440000000000001,0.0019992,1500.0,255,1.7,N,NG
14,4010W823,3,OUT,0.0017093999999999996,0.0018312000000000003,0.0035322,1500.0,245,1.63,N,NG
15,4010W823,4,IN,0.02105742,,,4000.0,361,0.9,N,NG
16,4010W823,5,IN,0.018615979999999997,,,4000.0,507,1.27,N,NG
17,4115H211,1,OUT,0.002562,0.003969,0.0052584,1500.0,332,2.21,N,OK
18,4115H211,2,OUT,0.0006426000000000001,0.0010542,0.0014195999999999998,1500.0,257,1.71,N,NG
19,4115H211,3,OUT,0.0006215999999999999,0.0008609999999999998,0.0014742000000000002,1500.0,238,1.59,N,NG
20,4115H211,4,OUT,0.0007266,0.0010752000000000001,0.0011801999999999997,1500.0,266,1.77,N,NG
21,4115H211,5,IN,0.02105742,,,4000.0,245,0.61,N,NG
22,4115H211,6,IN,0.01617454,,,4000.0,247,0.62,N,NG
23,4115X551,1,OUT,0.0020076,0.0020958,0.0016968,1500.0,447,2.98,N,OK
24,4115X551,2,OUT,0.0017766,0.0017093999999999998,0.00231,1500.0,436,2.91,N,OK
25,4115X551,3,OUT,0.0022008,0.0015498000000000005,0.0017682000000000002,1500.0,401,2.67,N,OK
26,4115X551,4,OUT,0.0021336000000000003,0.0022386000000000003,0.0034986,1500.0,367,2.45,N,OK
27,4115X551,1,OUT,0.0020076,0.0020958,0.0016968,1500.0,447,2.98,N,OK
28,4115X551,2,OUT,0.0017766,0.0017093999999999998,0.00231,1500.0,436,2.91,N,OK
29,4115X551,3,OUT,0.0022008,0.0015498000000000005,0.0017682000000000002,1500.0,401,2.67,N,OK
30,4115X551,4,OUT,0.0021336000000000003,0.0022386000000000003,0.0034986,1500.0,367,2.45,N,OK
31,4115X551,5,IN,0.027923970000000003,,,4800.0,424,0.88,N,NG
32,4115X551,6,IN,0.03723196000000001,,,4800.0,462,0.96,N,NG
33,4115X551,5,IN,0.027923970000000003,,,4000.0,424,1.06,N,NG
34,4115X551,6,IN,0.03723196000000001,,,4000.0,462,1.16,N,NG
35,4115X551,1,OUT,0.0020076,0.0020958,0.0016968,1500.0,447,2.98,N,OK
36,4115X551,2,OUT,0.0017766,0.0017093999999999998,0.00231,1500.0,436,2.91,N,OK
37,4115X551,3,OUT,0.0022008,0.0015498000000000005,0.0017682000000000002,1500.0,401,2.67,N,OK
38,4115X551,4,OUT,0.0021336000000000003,0.0022386000000000003,0.0034986,1500.0,367,2.45,N,OK
39,4115X551,1,OUT,0.0020076,0.0020958,0.0016968,1500.0,447,2.98,N,OK
40,4115X551,2,OUT,0.0017766,0.0017093999999999998,0.00231,1500.0,436,2.91,N,OK
41,4115X551,3,OUT,0.0022008,0.0015498000000000005,0.0017682000000000002,1500.0,401,2.67,N,OK
42,4115X551,4,OUT,0.0021336000000000003,0.0022386000000000003,0.0034986,1500.0,367,2.45,N,OK
43,4115X551,5,IN,0.027923970000000003,,,4800.0,424,0.88,N,NG
44,4115X551,6,IN,0.03723196000000001,,,4800.0,462,0.96,N,NG
45,4115X551,5,IN,0.027923970000000003,,,4000.0,424,1.06,N,NG
46,4115X551,6,IN,0.03723196000000001,,,4000.0,462,1.16,N,NG
47,4115X562,1,OUT,0.0018942,0.0024444,0.0032970000000000005,1500.0,303,2.02,N,OK
48,4115X562,2,OUT,0.0008022000000000001,0.0012096000000000001,0.0017052000000000002,1500.0,309,2.06,N,OK
49,4115X562,3,OUT,0.0016716,0.0016086000000000004,0.001554,1500.0,353,2.35,N,OK
50,4115X562,4,OUT,0.0037086000000000003,0.0028602000000000002,0.004943400000000001,1500.0,329,2.19,N,OK
51,4115X562,5,IN,0.02334627,,,4000.0,235,0.59,N,NG
