,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,3904X061,,,,,,,,,,,,,,,,OK,N
0,4010W821,,,,,,,,,,,,,,,,OK,N
0,4010W823,,,,,,,,,,,,,,,,OK,N
0,4115H211,,,,,,,,,,,,,,,,OK,N
0,4115X551,,,,,,,,,,,,,,,,OK,N
0,4115X551,,,,,,,,,,,,,,,,OK,N
0,4115X562,,,,,,,,,,,,,,,,OK,N
0,4213F431,,,,,,,,,,,,,,,,OK,N
0,4213G242,,,,,,,,,,,,,,,,OK,N
0,4213G433,,,,,,,,,,,,,,,,OK,N
0,4213G611,,,,,,,,,,,,,,,,OK,N
0,4213G611,,,,,,,,,,,,,,,,OK,N
0,4213H661,,,,,,,,,,,,,,,,OK,N
0,4213W741,,,,,,,,,,,,,,,,OK,N
0,4214H622,,,,,,,,,,,,,,,,OK,N
0,4214R321,,,,,,,,,,,,,,,,OK,N
0,4215A302,,,,,,,,,,,,,,,,OK,N
0,4215A302,,,,,,,,,,,,,,,,OK,N
0,4215C182,,,,,,,,,,,,,,,,OK,N
0,4215C182,,,,,,,,,,,,,,,,OK,N
0,4217F652,,,,,,,,,,,,,,,,OK,N
0,4217F652,,,,,,,,,,,,,,,,OK,N
0,4313P051,,,,,,,,,,,,,,,,OK,N
0,4313R241,,,,,,,,,,,,,,,,OK,N
0,4313R241,,,,,,,,,,,,,,,,OK,N
0,4313R814,,,,,,,,,,,,,,,,OK,N
0,4313R833,,,,,,,,,,,,,,,,OK,N
0,4314P021,,,,,,,,,,,,,,,,OK,N
