,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,3429G201,1,OUT,0.0028770000000000002,0.0029189999999999997,0.0039900000000000005,1500.0,243,1.62,N,NG
1,3429G201,2,OUT,0.0041958,0.002709,0.0041916,1500.0,264,1.76,N,NG
2,3429G201,3,OUT,0.0019110000000000004,0.0016800000000000003,0.0026922000000000005,1500.0,248,1.65,N,NG
3,3429G201,4,OUT,0.0014616,0.0018017999999999997,0.003255,1500.0,229,1.53,N,NG
4,3429G201,5,IN,0.03021282,,,4000.0,287,0.72,N,NG
5,3429G201,6,IN,0.02105742,,,4000.0,259,0.65,N,NG
6,3429Q422,1,OUT,0.0023646,0.0022176,0.0049055999999999995,1500.0,283,1.89,N,NG
7,3429Q422,2,OUT,0.0053381999999999995,0.011306400000000001,0.013759200000000001,1500.0,259,1.73,N,NG
8,3429Q422,3,OUT,0.0024696,0.002847600000000001,0.005124,1500.0,222,1.48,N,NG
9,3429Q422,4,OUT,0.0026628,0.003381,0.0061530000000000005,1500.0,236,1.57,N,NG
10,3429Q422,5,IN,0.016327130000000002,,,4000.0,368,0.92,N,NG
11,3429Q422,6,IN,0.01876857,,,4000.0,378,0.94,N,NG
12,3429Q422,7,IN,0.02105742,,,4000.0,470,1.18,N,NG
13,3429Q603,1,OUT,0.0015204,0.0008484000000000005,0.0013104,1500.0,226,1.51,N,NG
14,3429Q603,2,OUT,0.0015036000000000003,0.0011424,0.0010626000000000001,1500.0,217,1.45,N,NG
15,3429Q603,3,OUT,0.0009576,0.0009492000000000003,0.0011382,1500.0,402,2.68,N,OK
16,3429Q603,4,OUT,0.0018312000000000003,0.0009912000000000002,0.002184,1500.0,273,1.82,N,NG
17,3429Q603,5,IN,0.023346270000000002,,,4000.0,271,0.68,N,NG
18,3429Q603,6,IN,0.016174540000000005,,,4000.0,323,0.81,N,NG
19,3429S133,1,OUT,0.0035322,0.0024486000000000004,0.0043218,1500.0,396,2.64,N,OK
