,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,4322X452,1,OUT,0.0017472000000000002,0.0023184,0.0038304000000000003,1500.0,269,1.79,N,NG
1,4322X452,2,OUT,0.0028560000000000005,0.0033684000000000006,0.0063587999999999995,1500.0,501,3.34,N,OK
2,4322X452,3,OUT,0.0018942,0.0022343999999999997,0.0022554000000000003,1500.0,361,2.41,N,OK
3,4322X452,4,OUT,0.0026376000000000004,0.0016464,0.0037086,1500.0,305,2.03,N,OK
4,4322X452,5,IN,0.03723196000000001,,,4000.0,727,1.82,N,NG
5,4322X452,6,IN,0.018615980000000004,,,4000.0,518,1.3,N,NG
6,58202612,1,OUT,0.004914,0.0073752,0.0096012,1500.0,271,1.81,N,NG
7,58202612,2,OUT,0.0027468,0.0041244,0.005607,1500.0,292,1.95,N,NG
8,58202612,3,OUT,0.0012936000000000002,0.0012894,0.001827,1500.0,324,2.16,N,OK
9,58202612,4,OUT,0.0020034000000000002,0.0018312000000000003,0.002146200000000001,1500.0,208,1.39,N,NG
10,58202612,5,IN,0.02563512,,,4000.0,420,1.05,N,NG
11,58202612,6,IN,0.016327130000000002,,,4000.0,387,0.97,N,NG
12,58202627,1,OUT,0.0009954,0.0013482000000000001,0.0014490000000000002,1500.0,208,1.39,N,NG
13,58202627,2,OUT,0.0010331999999999997,0.001113,0.0017220000000000002,1500.0,236,1.57,N,NG
14,58202627,3,OUT,0.0012138000000000001,0.0012264,0.0013440000000000001,1500.0,306,2.04,N,OK
15,58202627,4,OUT,0.0010877999999999999,0.0015876,0.0016043999999999997,1500.0,261,1.74,N,NG
16,58202627,5,IN,0.02792397,,,4000.0,346,0.86,N,NG
17,58202627,6,IN,0.016327129999999995,,,4000.0,393,0.98,N,NG
18,58202721,1,OUT,0.0024234,0.0012600000000000003,0.0018984000000000002,1500.0,224,1.49,N,NG
19,58202721,2,OUT,0.0030744,0.0008021999999999999,0.0018816000000000002,1500.0,177,1.18,N,NG
20,58202721,3,IN,0.025635119999999997,,,4000.0,351,0.88,N,NG
21,58202721,4,IN,0.014038279999999997,,,4000.0,301,0.75,N,NG
22,5820H363,1,OUT,0.0006216,0.0008106000000000003,0.0005922000000000001,1500.0,223,1.49,N,NG
23,5820H363,2,OUT,0.0017346000000000002,0.0027300000000000002,0.004481400000000001,1500.0,250,1.67,N,NG
24,5820H363,3,OUT,0.0091182,0.006900600000000001,0.0103992,1500.0,204,1.36,N,NG
25,5820H363,4,OUT,0.0009282000000000001,0.0013104000000000002,0.001008,1500.0,240,1.6,N,NG
26,5820H363,5,IN,0.02105742,,,4000.0,375,0.94,N,NG
27,5820H363,6,IN,0.01617454,,,4000.0,427,1.07,N,NG
28,5820H442,1,OUT,0.0007098,0.0009114000000000004,0.0009996,1500.0,291,1.94,N,NG
29,5820H442,2,OUT,0.0006341999999999999,0.0007308000000000002,0.0007938000000000001,1500.0,295,1.97,N,NG
30,5820H442,3,OUT,0.0010500000000000002,0.0010122,0.0018438,1500.0,282,1.88,N,NG
31,5820H442,4,OUT,0.0008736000000000002,0.0008358000000000003,0.0011634000000000002,1500.0,254,1.69,N,NG
32,5820H442,5,IN,0.03265426,,,4000.0,404,1.01,N,NG
33,5820H442,6,IN,0.01632713,,,4000.0,408,1.02,N,NG
34,5820H541,1,OUT,0.0012180000000000001,0.0015708000000000002,0.0012180000000000003,1500.0,274,1.83,N,NG
35,5820H541,2,OUT,0.0026418,0.0016800000000000005,0.0040656,1500.0,267,1.78,N,NG
36,5820H541,3,OUT,0.002352,0.0021966,0.0025452,1500.0,269,1.79,N,NG
37,5820H541,4,IN,0.023346270000000002,,,4000.0,245,0.61,N,NG
38,5820H541,5,IN,0.01632713,,,4000.0,358,0.9,N,NG
39,5920C323,1,OUT,0.0023562,0.0026712000000000003,0.0034271999999999996,1500.0,245,1.63,N,NG
40,5920C323,2,OUT,0.0011760000000000002,0.0022008,0.0025956,1500.0,251,1.67,N,NG
41,5920C323,3,OUT,0.0013734,0.0011634000000000002,0.0020034,1500.0,166,1.11,N,NG
42,5920C323,4,OUT,0.0031793999999999998,0.0025830000000000002,0.0038304000000000003,1500.0,198,1.32,N,NG
43,5920C323,5,IN,0.02334627,,,4000.0,232,0.58,N,NG
44,5920C323,6,IN,0.01632713,,,4000.0,279,0.7,N,NG
45,5920S533,1,OUT,0.0021084,0.0024149999999999996,0.0022302,1500.0,253,1.69,N,NG
46,5920S533,2,OUT,0.0014406,0.0011802,0.0017892000000000001,1500.0,218,1.45,N,NG
47,5920S533,3,OUT,0.001239,0.0014279999999999998,0.0025116,1500.0,195,1.3,N,NG
48,5920S533,4,OUT,0.0017514000000000002,0.0021294,0.0018522000000000005,1500.0,203,1.35,N,NG
49,5920S533,5,IN,0.02792397,,,4000.0,290,0.72,N,NG
50,5920S533,6,IN,0.021057419999999997,,,4000.0,483,1.21,N,NG
51,5920S653,1,OUT,0.0010206,0.0013398000000000004,0.0013817999999999999,1500.0,253,1.69,N,NG
52,5920S653,2,OUT,0.0041622000000000004,0.0037380000000000004,0.0055398,1500.0,264,1.76,N,NG
53,5920S653,3,OUT,0.004426800000000001,0.004775400000000001,0.008211000000000001,1500.0,198,1.32,N,NG
54,5920S653,4,OUT,0.0044268,0.0055188,0.007182,1500.0,231,1.54,N,NG
55,5920S653,5,IN,0.02563512,,,4000.0,401,1.0,N,NG
56,5920S653,6,IN,0.02090483,,,4000.0,503,1.26,N,NG
