,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,4356X291,1,OUT,0.0014994,0.0008147999999999999,0.0026544,1500.0,348,2.32,N,OK
1,4356X291,2,OUT,0.0010542000000000001,0.0010793999999999999,0.0036246000000000004,1500.0,390,2.6,N,OK
2,4356X291,3,OUT,0.0027342,0.0013230000000000002,0.0025116,1500.0,370,2.47,N,OK
3,4356X291,4,OUT,0.0010836,0.0009744,0.0027342,1500.0,339,2.26,N,OK
4,4356X291,5,IN,0.01403828,,,4200.0,303,0.72,N,NG
5,4356X291,6,IN,0.016327130000000002,,,4200.0,246,0.59,N,NG
6,4356X821,1,OUT,0.0016800000000000003,0.0014742000000000002,0.0030282,1500.0,349,2.33,N,OK
7,4356X821,2,OUT,0.0020118000000000002,0.001722,0.0032088000000000004,1500.0,312,2.08,N,OK
8,4356X821,3,OUT,0.0010206,0.0018984000000000002,0.0019530000000000003,1500.0,318,2.12,N,OK
9,4356X821,4,OUT,0.002268,0.0014406000000000004,0.0035196000000000003,1500.0,297,1.98,N,NG
10,4356X821,5,IN,0.01403828,,,4200.0,198,0.47,N,NG
11,4356X821,6,IN,0.016327130000000002,,,4200.0,209,0.5,N,NG
12,4356X901,1,OUT,0.0017766000000000001,0.0038724000000000002,0.0027678,1500.0,323,2.15,N,OK
13,4356X901,2,OUT,0.0024444000000000007,0.0052878000000000005,0.0016464000000000001,1500.0,378,2.52,N,OK
14,4356X901,3,IN,0.013885690000000003,,,4200.0,179,0.43,N,NG
15,4356X901,4,IN,0.016327130000000002,,,4200.0,237,0.56,N,NG
16,4356Z093,1,OUT,0.0033726000000000003,0.0024654000000000004,0.0041076,1500.0,314,2.09,N,OK
17,4356Z093,2,OUT,0.0021252,0.0027677999999999995,0.0033642000000000003,1500.0,288,1.92,N,NG
18,4356Z093,3,OUT,0.0019572,0.0023352,0.0032466,1500.0,258,1.72,N,NG
19,4356Z093,4,OUT,0.0024948000000000006,0.0029190000000000006,0.0036414000000000004,1500.0,289,1.93,N,NG
20,4356Z093,5,IN,0.016327130000000002,,,4300.0,309,0.72,N,NG
21,4356Z093,6,IN,0.016327130000000002,,,4300.0,237,0.55,N,NG
22,4356Z754,1,OUT,0.0016296000000000001,0.0021294,0.0023394,1500.0,356,2.37,N,OK
23,4356Z754,2,OUT,0.0014280000000000002,0.0010122,0.0018606000000000002,1500.0,291,1.94,N,NG
24,4356Z754,3,OUT,0.0011508,0.0016758000000000005,0.0025997999999999998,1500.0,323,2.15,N,OK
25,4356Z754,4,OUT,0.0016212000000000004,0.0010667999999999997,0.0018060000000000003,1500.0,274,1.83,N,NG
26,4356Z754,5,IN,0.0442511,,,4200.0,215,0.51,N,NG
27,4356Z754,6,IN,0.016327130000000002,,,4200.0,155,0.37,N,NG
28,4455A443,1,OUT,0.0053928,0.0035700000000000003,0.0046452,1500.0,290,1.93,N,NG
29,4455A443,3,OUT,0.0009912,0.00045359999999999975,0.0014658000000000006,1500.0,272,1.81,N,NG
30,4455A443,4,OUT,0.0011382000000000002,0.0007139999999999994,0.0016548,1500.0,306,2.04,N,OK
31,4455A443,5,OUT,0.0010584000000000001,0.0008526,0.0010248,1500.0,306,2.04,N,OK
32,4455A443,6,IN,0.02090483,,,4200.0,295,0.7,N,NG
33,4455A443,7,IN,0.02105742,,,4200.0,174,0.41,N,NG
34,4455A743,1,OUT,0.0007770000000000001,0.0009911999999999998,0.0015204,1500.0,266,1.77,N,NG
35,4455A743,2,OUT,0.0013775999999999999,0.0011508,0.0021755999999999998,1500.0,247,1.65,N,NG
36,4455A743,3,OUT,0.0017682000000000002,0.0016716,0.0027426000000000004,1500.0,249,1.66,N,NG
37,4455A743,4,OUT,0.0014616000000000002,0.0022638,0.002688,1500.0,240,1.6,N,NG
38,4455A743,5,IN,0.018615979999999997,,,4200.0,172,0.41,N,NG
39,4455A743,6,IN,0.018615979999999997,,,4200.0,231,0.55,N,NG
40,4456R101,1,OUT,0.001953,0.0024402,0.0026544,1500.0,351,2.34,N,OK
41,4456R101,2,OUT,0.0011088000000000003,0.0021126000000000005,0.0022218000000000003,1500.0,314,2.09,N,OK
42,4456R101,3,OUT,0.0010122,0.0019446000000000003,0.0031626,1500.0,283,1.89,N,NG
43,4456R101,4,OUT,0.0016674000000000003,0.001974,0.0021294000000000005,1500.0,331,2.21,N,OK
44,4456R101,5,IN,0.02090483,,,4200.0,271,0.65,N,NG
45,4456R101,6,IN,0.01861598,,,4200.0,202,0.48,N,NG
