,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,6809A251,1,OUT,0.0024822000000000004,0.0028223999999999996,0.0039312,1500.0,348,2.32,N,OK
1,6809A251,2,OUT,0.0037926,0.0034902000000000006,0.0048216000000000005,1500.0,280,1.87,N,NG
2,6809A251,3,OUT,0.0029820000000000003,0.0017934000000000005,0.003087,1500.0,441,2.94,N,OK
3,6809A251,4,OUT,0.002247,0.0027006,0.0034104000000000005,1500.0,499,3.33,N,OK
4,6809A251,5,IN,0.01861598,,,4000.0,297,0.74,N,NG
5,6809A251,6,IN,0.01861598,,,4000.0,306,0.76,N,NG
6,7004G461,1,OUT,0.0007266000000000004,0.0008862000000000002,0.0013986,1500.0,331,2.21,N,OK
7,7004G461,2,OUT,0.0012768,0.0009450000000000001,0.0018984000000000002,1500.0,269,1.79,N,NG
8,7004G461,3,OUT,0.0012012,0.0006173999999999993,0.0013902,1500.0,249,1.66,N,NG
9,7004G461,4,OUT,0.0008022,0.0012767999999999998,0.0010710000000000001,1500.0,240,1.6,N,NG
10,7004G461,5,IN,0.02807656,,,4000.0,269,0.67,N,NG
11,7004G461,6,IN,0.020904830000000003,,,4000.0,320,0.8,N,NG
12,7605X761,1,OUT,0.0015162,0.0007812000000000003,0.0013734,1500.0,492,3.28,N,OK
13,7605X761,2,OUT,0.0011634000000000002,0.0013188000000000002,0.0018396000000000007,1500.0,521,3.47,N,OK
14,7605X761,3,OUT,0.0013230000000000002,0.0009071999999999999,0.0020538,1500.0,427,2.85,N,OK
15,7605X761,4,OUT,0.0009408000000000001,0.0007686000000000004,0.0017219999999999998,1500.0,431,2.87,N,OK
16,7605X761,5,IN,0.023346270000000002,,,4000.0,269,0.67,N,NG
17,7605X761,6,IN,0.016327129999999995,,,4000.0,263,0.66,N,NG
18,7605X901,1,OUT,0.0018648000000000004,0.0028392000000000005,0.003255000000000001,1500.0,481,3.21,N,OK
19,7605X901,2,OUT,0.0006888,0.00084,0.001344,1500.0,440,2.93,N,OK
20,7605X901,3,OUT,0.0009786000000000003,0.0005921999999999998,0.0008484000000000002,1500.0,367,2.45,N,OK
21,7605X901,4,OUT,0.0017850000000000001,0.0020538,0.002835,1500.0,380,2.53,N,OK
22,7605X901,5,IN,0.02792397,,,4000.0,266,0.66,N,NG
23,7605X901,6,IN,0.02090483,,,4000.0,366,0.92,N,NG
24,7605Z791,1,OUT,0.0028140000000000005,0.0023225999999999998,0.007833,1500.0,303,2.02,N,OK
25,7605Z791,2,OUT,0.0032424,0.0020201999999999998,0.006400800000000001,1500.0,265,1.77,N,NG
26,7605Z791,3,OUT,0.0006972,0.0009449999999999999,0.0012936,1500.0,317,2.11,N,OK
27,7605Z791,4,OUT,0.0027257999999999996,0.0026124000000000004,0.005103,1500.0,231,1.54,N,NG
28,7605Z791,5,IN,0.025635120000000004,,,4000.0,260,0.65,N,NG
29,7605Z791,6,IN,0.02319368,,,4000.0,367,0.92,N,NG
30,7704E491,1,OUT,0.0006552000000000001,0.0009491999999999999,0.0009155999999999999,1500.0,255,1.7,N,NG
31,7704E491,2,OUT,0.0013818,0.0009029999999999997,0.0009072000000000004,1500.0,266,1.77,N,NG
32,7704E491,3,OUT,0.0015456000000000003,0.0005964,0.0014616,1500.0,250,1.67,N,NG
33,7704E491,4,OUT,0.0010122,0.0010164000000000002,0.001386,1500.0,226,1.51,N,NG
34,7704E491,5,IN,0.02563512,,,4000.0,298,0.74,N,NG
35,7704E491,6,IN,0.023193680000000005,,,4000.0,330,0.82,N,NG
36,7705Y112,1,OUT,0.0007139999999999999,0.0007938000000000003,0.0018606,1500.0,261,1.74,N,NG
37,7705Y112,2,OUT,0.0009912000000000002,0.0018396000000000003,0.0024738000000000004,1500.0,237,1.58,N,NG
38,7705Y112,3,OUT,0.0020748,0.002331,0.0034818,1500.0,281,1.87,N,NG
39,7705Y112,4,OUT,0.0011213999999999998,0.0014783999999999995,0.0028182000000000007,1500.0,251,1.67,N,NG
40,7705Y112,5,IN,0.03265426,,,4000.0,378,0.94,N,NG
41,7705Y112,6,IN,0.020904830000000003,,,4000.0,345,0.86,N,NG
42,8406H281,1,OUT,0.0006594000000000001,0.0006174000000000002,0.0009029999999999999,1500.0,280,1.87,N,NG
43,8406H281,2,OUT,0.0008988,0.0011633999999999998,0.0013986000000000003,1500.0,280,1.87,N,NG
44,8406H281,3,OUT,0.001134,0.0008988,0.0011298000000000002,1500.0,244,1.63,N,NG
45,8406H281,4,OUT,0.0009954000000000002,0.0012180000000000003,0.0014238,1500.0,269,1.79,N,NG
46,8406H281,5,IN,0.03265426,,,4000.0,254,0.64,N,NG
47,8406H281,6,IN,0.030212820000000005,,,4000.0,318,0.8,N,NG
48,8407Y501,1,OUT,0.0012726,0.0019026000000000002,0.0022890000000000002,1500.0,252,1.68,N,NG
49,8407Y501,2,OUT,0.0032634000000000005,0.0014238000000000002,0.0028518,1500.0,204,1.36,N,NG
50,8407Y501,3,OUT,0.0011256,0.0015119999999999999,0.0022932,1500.0,280,1.87,N,NG
51,8407Y501,4,OUT,0.0018354,0.002121,0.0035616000000000003,1500.0,307,2.05,N,OK
52,8407Y501,5,IN,0.02563512,,,4000.0,339,0.85,N,NG
53,8407Y501,6,IN,0.01617454,,,4000.0,266,0.66,N,NG
54,9303Y701,1,OUT,0.0015498,0.0016422,0.0027216000000000002,1500.0,241,1.61,N,NG
55,9303Y701,2,OUT,0.0009617999999999999,0.0011676,0.0013608000000000001,1500.0,249,1.66,N,NG
56,9303Y701,3,OUT,0.0016044000000000002,0.0013650000000000005,0.0016002,1500.0,218,1.45,N,NG
57,9303Y701,4,OUT,0.0028476,0.0017472000000000002,0.0021882,1500.0,255,1.7,N,NG
58,9303Y701,5,IN,0.03265426,,,4000.0,400,1.0,N,NG
59,9303Y701,6,IN,0.01861598,,,4000.0,285,0.71,N,NG
