,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,6557H381,1,OUT,0.0015078000000000003,0.0015413999999999998,0.0030786,1500.0,255,1.7,N,NG
1,6557H381,2,OUT,0.003759,0.0019698,0.0048006,1500.0,186,1.24,N,NG
2,6557H381,3,IN,0.0488288,,,4000.0,286,0.72,N,NG
3,6557H381,4,IN,0.03494311,,,4000.0,202,0.5,N,NG
4,6557X161,1,OUT,0.0114324,0.013566000000000002,0.020773200000000002,1000.0,308,3.08,B,OK
5,6557X161,2,OUT,0.0106512,0.013671000000000003,0.023158800000000004,1000.0,232,2.32,B,OK
6,6557X161,3,OUT,0.01134,0.013679400000000001,0.0206682,1000.0,219,2.19,B,OK
7,6557X161,4,OUT,0.0116214,0.013801200000000001,0.020479200000000003,1000.0,230,2.3,B,OK
8,6557X161,5,OUT,0.0036456,0.008030400000000002,0.010411799999999999,1500.0,283,1.89,B,NG
9,6557X161,6,OUT,0.0038177999999999997,0.007547400000000002,0.009576000000000001,1500.0,262,1.75,B,NG
10,6557X161,7,OUT,0.0038892,0.007572600000000001,0.0096726,1500.0,209,1.39,B,NG
11,6557X161,8,OUT,0.0036414000000000004,0.0080976,0.0107352,1000.0,191,1.91,B,NG
12,6557X161,9,OUT,0.0103488,0.014040600000000002,0.021008400000000003,1000.0,263,2.63,B,OK
13,6557X161,10,IN,0.11642617,,,4200.0,262,0.62,B,NG
14,6557X161,11,IN,0.16769641000000002,,,4200.0,238,0.57,B,NG
15,6562F242,1,OUT,0.0024527999999999998,0.0018564000000000002,0.004011,1500.0,238,1.59,N,NG
16,6562F242,2,OUT,0.0009618000000000001,0.00105,0.0018858,1500.0,177,1.18,N,NG
17,6562F242,3,IN,0.54703515,,,4000.0,284,0.71,N,NG
18,6562F242,4,IN,0.20965865999999997,,,4000.0,242,0.6,N,NG
19,6562G721,1,OUT,0.0013482000000000004,0.0013356000000000002,0.0026418,1500.0,259,1.73,N,NG
20,6562G721,2,OUT,0.0012558,0.0024527999999999998,0.0024234,1500.0,217,1.45,N,NG
21,6562G721,3,OUT,0.0025662000000000003,0.002709,0.003969,1500.0,202,1.35,N,NG
22,6562G721,4,OUT,0.002772,0.0045864,0.005203800000000001,1500.0,201,1.34,N,NG
23,6562G721,5,IN,0.03952081,,,4000.0,291,0.73,N,NG
24,6562G721,6,IN,0.10482933,,,4000.0,275,0.69,N,NG
25,6562G821,1,OUT,0.0044478,0.006657,0.0099414,1500.0,278,1.85,B,NG
26,6562G821,2,OUT,0.0036204000000000006,0.0077742,0.011394600000000001,1500.0,287,1.91,B,NG
27,6562G821,3,OUT,0.0046494,0.0060102,0.0083664,1500.0,270,1.8,B,NG
28,6562G821,4,OUT,0.0012432,0.0007266000000000002,0.0011676,1500.0,225,1.5,B,NG
29,6562G821,5,OUT,0.004200000000000001,0.006614999999999999,0.009370200000000002,1500.0,245,1.63,B,NG
