,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0961F851,1,OUT,0.001176,0.0021336000000000003,0.0035154000000000006,1500.0,375,2.5,N,OK
1,0961F851,2,OUT,0.0019487999999999999,0.0022554000000000003,0.0030282000000000004,1500.0,375,2.5,N,OK
2,0961F851,3,OUT,0.0029525999999999997,0.0050609999999999995,0.0028896,1500.0,352,2.35,N,OK
3,0961F851,4,IN,0.01632713,,,5000.0,175,0.35,N,NG
4,0961F851,5,IN,0.01632713,,,5000.0,328,0.66,N,NG
5,0961H961,1,OUT,0.0016926000000000003,0.0009618000000000001,0.0020328,1500.0,527,3.51,N,OK
6,0961H961,2,OUT,0.0019446,0.0018311999999999998,0.0032046,1500.0,451,3.01,N,OK
7,0961H961,3,OUT,0.0027258,0.0022091999999999997,0.003927,1500.0,447,2.98,N,OK
8,0961H961,4,OUT,0.002562,0.0022512000000000005,0.004935,1500.0,409,2.73,N,OK
9,0961H961,5,IN,0.023346270000000002,,,4000.0,310,0.78,N,NG
10,0961H961,6,IN,0.02334627,,,4000.0,294,0.74,N,NG
11,1061A003,1,OUT,0.0013440000000000001,0.003465,0.004569600000000001,1500.0,338,2.25,N,OK
12,1061A003,2,OUT,0.007014000000000001,0.0042084,0.005955600000000001,1500.0,436,2.91,N,OK
13,1061A003,3,OUT,0.002184,0.003910200000000001,0.0049476,1500.0,386,2.57,N,OK
14,1061A003,4,IN,0.016327130000000002,,,4200.0,382,0.91,N,NG
15,1061A003,5,IN,0.016327130000000002,,,4200.0,311,0.74,N,NG
16,1061A252,1,OUT,0.0010122,0.0015246,0.0014112,1500.0,358,2.39,N,OK
17,1061A252,2,OUT,0.0012558,0.0012432,0.0019236000000000006,1500.0,341,2.27,N,OK
18,1061A252,3,OUT,0.0008148000000000001,0.001092,0.0010877999999999997,1500.0,338,2.25,N,OK
19,1061A252,4,OUT,0.0011256,0.0009323999999999999,0.0010374,1200.0,309,2.58,N,OK
20,1061A252,5,IN,0.016327129999999995,,,4200.0,190,0.45,N,NG
21,1061A252,6,IN,0.016327130000000002,,,4200.0,189,0.45,N,NG
22,1357D722,1,OUT,0.0033852000000000005,0.0029232,0.0037296000000000004,1500.0,326,2.17,N,OK
23,1357D722,2,OUT,0.007186200000000001,0.006934200000000001,0.0102186,1500.0,312,2.08,N,OK
24,1357D722,3,OUT,0.0023268,0.002163,0.0027006,1500.0,304,2.03,N,OK
25,1357D722,4,OUT,0.0011634,0.0014616,0.002352,1500.0,242,1.61,N,NG
26,1357D722,5,IN,0.02563512,,,4000.0,273,0.68,N,NG
27,1357D722,6,IN,0.014038279999999998,,,4000.0,267,0.67,N,NG
28,1358H612,1,OUT,0.0011004,0.0012012,0.0024738,1500.0,450,3.0,N,OK
29,1358H612,2,OUT,0.0011382,0.0012138000000000006,0.0016548,1500.0,337,2.25,N,OK
30,1358H612,3,OUT,0.0009072000000000002,0.0009785999999999996,0.0013901999999999999,1500.0,352,2.35,N,OK
31,1358H612,4,OUT,0.0012473999999999999,0.0007182000000000004,0.0011088,1500.0,424,2.83,N,OK
32,1358H612,5,IN,0.02807656,,,4000.0,228,0.57,N,NG
33,1358H612,6,IN,0.018615980000000004,,,4000.0,323,0.81,N,NG
34,1358H832,1,OUT,0.0009912,0.0008736,0.0010668,1500.0,380,2.53,N,OK
35,1358H832,2,OUT,0.0006173999999999999,0.0008736,0.0010164000000000002,1500.0,339,2.26,N,OK
36,1358H832,3,OUT,0.000987,0.0007140000000000002,0.0008106000000000001,1500.0,329,2.19,N,OK
37,1358H832,4,OUT,0.0009450000000000001,0.0005669999999999998,0.0008568,1500.0,376,2.51,N,OK
38,1358H832,5,IN,0.025482530000000003,,,4000.0,267,0.67,N,NG
39,1358H832,6,IN,0.018615980000000004,,,4000.0,225,0.56,N,NG
40,1358H911,1,OUT,0.0015036,0.0011424,0.0012768000000000002,1500.0,357,2.38,N,OK
41,1358H911,2,OUT,0.0011760000000000002,0.0011298,0.002121,1500.0,427,2.85,N,OK
42,1358H911,3,OUT,0.0009114,0.0008064000000000005,0.0008064000000000001,1500.0,389,2.59,N,OK
43,1358H911,4,OUT,0.0008106000000000001,0.0009534000000000001,0.0009492000000000001,1500.0,398,2.65,N,OK
44,1358H911,5,IN,0.02319368,,,4000.0,239,0.6,N,NG
45,1358H911,6,IN,0.013885690000000006,,,4000.0,233,0.58,N,NG
46,1358H932,1,OUT,0.0019656,0.0024402,0.0036330000000000004,1500.0,223,1.49,N,NG
47,1358H932,2,OUT,0.001848,0.0021672,0.0025872,1500.0,512,3.41,N,OK
48,1358H932,3,OUT,0.004641000000000001,0.0020958,0.0030996,1500.0,352,2.35,N,OK
49,1358H932,4,OUT,0.0033012,0.0018186,0.0032844000000000003,1500.0,459,3.06,N,OK
50,1358H932,5,IN,0.02334627,,,4000.0,255,0.64,N,NG
51,1358H932,6,IN,0.018615980000000004,,,4000.0,288,0.72,N,NG
52,1358X981,1,OUT,0.0014616,0.0005543999999999996,0.0017976000000000001,1500.0,282,1.88,N,NG
53,1358X981,2,OUT,0.0009870000000000002,0.0012474,0.0019445999999999999,1500.0,284,1.89,N,NG
54,1358X981,3,OUT,0.0066864,0.0053928000000000005,0.009891,1500.0,429,2.86,N,OK
55,1358X981,4,OUT,0.008799000000000001,0.005518800000000001,0.013834800000000001,1500.0,344,2.29,N,OK
56,1358X981,5,IN,0.02105742,,,4000.0,299,0.75,N,NG
57,1358X981,6,IN,0.018615979999999997,,,4000.0,279,0.7,N,NG
58,1358X982,1,OUT,0.0010542,0.0009912000000000002,0.0011466,1500.0,342,2.28,N,OK
59,1358X982,2,OUT,0.0010458000000000002,0.0005039999999999997,0.0009828,1500.0,241,1.61,N,NG
60,1358X982,3,OUT,0.0019866000000000003,0.0031752,0.0035196,1500.0,254,1.69,N,NG
61,1358X982,4,OUT,0.0037296000000000004,0.0035238000000000005,0.0051618,1500.0,265,1.77,N,NG
62,1358X982,5,IN,0.03021282,,,4000.0,258,0.64,N,NG
63,1358X982,6,IN,0.018615979999999997,,,4000.0,333,0.83,N,NG
64,1458C122,1,OUT,0.0015918,0.0019068000000000002,0.00252,1500.0,400,2.67,N,OK
65,1458C122,2,OUT,0.0011928,0.0010415999999999997,0.0021882,1500.0,313,2.09,N,OK
66,1458C122,3,OUT,0.0007182,0.0010415999999999997,0.001428,1500.0,252,1.68,N,NG
67,1458C122,4,OUT,0.0014112000000000003,0.001155,0.0021378,1500.0,361,2.41,N,OK
68,1458C122,5,IN,0.02334627,,,4000.0,224,0.56,N,NG
69,1458C122,6,IN,0.018615979999999997,,,4000.0,212,0.53,N,NG
70,1458C212,1,OUT,0.0009198000000000001,0.0020664,0.0013440000000000001,1500.0,425,2.83,N,OK
71,1458C212,2,OUT,0.003255,0.0021042000000000005,0.0015666000000000005,1500.0,480,3.2,N,OK
72,1458C212,3,OUT,0.001533,0.0024696,0.002037,1500.0,448,2.99,N,OK
73,1458C212,4,OUT,0.0015666000000000002,0.0010248000000000002,0.0016758,1500.0,542,3.61,N,OK
74,1458C212,5,IN,0.02563512,,,4000.0,282,0.7,N,NG
75,1458C212,6,IN,0.018615980000000004,,,4000.0,302,0.76,N,NG
76,1458C301,1,OUT,0.0034566000000000006,0.003612,0.0058716,1500.0,575,3.83,N,OK
77,1458C301,2,OUT,0.0013776000000000003,0.0010878000000000007,0.0019656,1500.0,507,3.38,N,OK
78,1458C301,3,OUT,0.0017136,0.0014196000000000002,0.0029358,1500.0,513,3.42,N,OK
79,1458C301,4,OUT,0.0016044000000000002,0.0025788000000000004,0.0022806000000000002,1500.0,503,3.35,N,OK
80,1458C301,5,IN,0.01861598,,,4000.0,383,0.96,N,NG
81,1458C301,6,IN,0.01861598,,,4000.0,344,0.86,N,NG
