,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0961F851,,,,,,,,,,,,,,,,OK,N
0,0961H961,,,,,,,,,,,,,,,,OK,N
0,1061A003,,,,,,,,,,,,,,,,OK,N
0,1061A252,,,,,,,,,,,,,,,,OK,N
0,1357D722,,,,,,,,,,,,,,,,OK,N
0,1358H612,,,,,,,,,,,,,,,,OK,N
0,1358H832,,,,,,,,,,,,,,,,OK,N
0,1358H911,,,,,,,,,,,,,,,,OK,N
0,1358H932,,,,,,,,,,,,,,,,OK,N
0,1358X981,,,,,,,,,,,,,,,,OK,N
0,1358X982,,,,,,,,,,,,,,,,OK,N
0,1458C122,,,,,,,,,,,,,,,,OK,N
0,1458C212,,,,,,,,,,,,,,,,OK,N
0,1458C301,,,,,,,,,,,,,,,,OK,N
0,1458C402,,,,,,,,,,,,,,,,OK,N
0,1458C441,,,,,,,,,,,,,,,,OK,N
0,1458C531,,,,,,,,,,,,,,,,OK,N
0,1458C641,,,,,,,,,,,,,,,,OK,N
0,1458C642,,,,,,,,,,,,,,,,OK,N
0,1458C652,,,,,,,,,,,,,,,,OK,N
0,1458C751,,,,,,,,,,,,,,,,OK,N
0,1458C761,,,,,,,,,,,,,,,,OK,N
0,1458P041,,,,,,,,,,,,,,,,OK,N
0,1458P043,,,,,,,,,,,,,,,,OK,N
0,1458P072,,,,,,,,,,,,,,,,OK,N
0,1458P081,,,,,,,,,,,,,,,,OK,N
0,1458P082,,,,,,,,,,,,,,,,OK,N
0,1458P132,,,,,,,,,,,,,,,,OK,N
0,1458P241,,,,,,,,,,,,,,,,OK,N
0,1458P352,,,,,,,,,,,,,,,,OK,N
0,1458P382,,,,,,,,,,,,,,,,OK,N
0,1458P391,,,,,,,,,,,,,,,,OK,N
0,1458P451,,,,,,,,,,,,,,,,OK,N
0,1458P461,,,,,,,,,,,,,,,,OK,N
0,1458P471,,,,,,,,,,,,,,,,OK,N
0,1458P472,,,,,,,,,,,,,,,,OK,N
0,1458P553,,,,,,,,,,,,,,,,OK,N
0,1458P661,,,,,,,,,,,,,,,,OK,N
0,1459R101,,,,,,,,,,,,,,,,OK,N
0,1459R212,,,,,,,,,,,,,,,,OK,N
0,1459R321,,,,,,,,,,,,,,,,OK,N
0,1459R331,,,,,,,,,,,,,,,,OK,N
0,1459R332,,,,,,,,,,,,,,,,OK,N
0,1460B424,,,,,,,,,,,,,,,,OK,N
0,1460B501,,,,,,,,,,,,,,,,OK,N
0,1460B602,,,,,,,,,,,,,,,,OK,N
0,1460D781,,,,,,,,,,,,,,,,OK,N
0,1460D871,,,,,,,,,,,,,,,,OK,N
0,1460D965,,,,,,,,,,,,,,,,OK,N
0,1460G231,,,,,,,,,,,,,,,,OK,N
0,1460W682,,,,,,,,,,,,,,,,OK,N
0,1460W941,,,,,,,,,,,,,,,,OK,N
0,1460W951,,,,,,,,,,,,,,,,OK,N
0,1460X123,,,,,,,,,,,,,,,,OK,N
0,1460X303,,,,,,,,,,,,,,,,OK,N
