,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0000H633,1,OUT,0.002121,0.000987000000000001,0.0020538,1500.0,264,1.76,N,NG
1,0000H633,2,OUT,0.0023268000000000004,0.0012810000000000002,0.0030324,1500.0,242,1.61,N,NG
2,0000H633,3,OUT,0.0009659999999999998,0.0019446,0.0029148000000000004,1500.0,230,1.53,N,NG
3,0000H633,4,OUT,0.0009366,0.0012936,0.0027426,1500.0,198,1.32,N,NG
4,0000H633,5,IN,0.03265426,,,4000.0,450,1.12,N,NG
5,0000H633,6,IN,0.04196225,,,4000.0,324,0.81,N,NG
6,0000H852,1,OUT,0.0081396,0.0013440000000000001,0.009777600000000001,1500.0,298,1.99,N,NG
7,0000H852,2,OUT,0.0022427999999999997,0.0013440000000000001,0.001974,1500.0,292,1.95,N,NG
8,0000H852,3,OUT,0.0015455999999999998,0.0022386000000000003,0.0022595999999999996,1500.0,271,1.81,N,NG
9,0000H852,4,OUT,0.0042966,0.0023478000000000006,0.0017724000000000001,1500.0,283,1.89,N,NG
10,0000H852,5,IN,0.19562038,,,4000.0,321,0.8,N,NG
11,0000H852,6,IN,0.06515593,,,4000.0,337,0.84,N,NG
12,0000H931,1,OUT,0.0113316,0.0019236000000000004,0.007291200000000001,1500.0,322,2.15,N,OK
13,0000H931,2,OUT,0.0075390000000000006,0.0020790000000000006,0.0072324,1500.0,298,1.99,N,NG
14,0000H931,3,OUT,0.0020118000000000002,0.0026628,0.002247,1500.0,308,2.05,N,OK
15,0000H931,4,IN,0.0885022,,,4000.0,298,0.74,N,NG
16,0000H931,5,IN,0.12344531,,,4000.0,385,0.96,N,NG
17,0100C691,1,OUT,0.0016968,0.003486,0.0034146000000000003,600.0,273,4.55,N,OK
18,0100C691,2,OUT,0.0019404000000000001,0.0036582000000000003,0.0030198000000000004,1500.0,238,1.59,N,NG
19,0100C691,3,OUT,0.0012474,0.0014280000000000002,0.0019152000000000001,1500.0,241,1.61,N,NG
20,0100C691,4,OUT,0.0030198000000000004,0.0024738,0.0028854,1500.0,284,1.89,N,NG
21,0100C691,5,IN,0.8195608900000001,,,4000.0,342,0.86,N,NG
22,0100C691,6,IN,0.44464726000000004,,,4000.0,267,0.67,N,NG
23,0100C791,1,OUT,0.0032844000000000003,0.004615800000000001,0.00504,600.0,238,3.97,N,OK
24,0100C791,2,OUT,0.0030324,0.0023268,0.0020832000000000003,600.0,213,3.55,N,OK
25,0100C791,3,OUT,0.0049056,0.003003,0.0054936,1500.0,191,1.27,N,NG
26,0100C791,4,OUT,0.0022386000000000003,0.0023688,0.0032172,1500.0,214,1.43,N,NG
27,0100C791,5,IN,0.03723196,,,4000.0,296,0.74,N,NG
28,0100C791,6,IN,0.02563512,,,4000.0,338,0.84,N,NG
29,0100D091,1,OUT,0.0013104000000000002,0.0015707999999999998,0.001806,600.0,272,4.53,N,OK
30,0100D091,2,OUT,0.0017346000000000002,0.0012431999999999999,0.0015624000000000002,1500.0,255,1.7,N,NG
31,0100D091,3,OUT,0.001953,0.0010206000000000004,0.0024234000000000005,1500.0,238,1.59,N,NG
32,0100D091,4,OUT,0.0016968,0.0008400000000000005,0.0023268,1500.0,225,1.5,N,NG
33,0100D091,5,IN,0.03723196,,,4000.0,253,0.63,N,NG
34,0100D091,6,IN,0.03738455,,,4000.0,320,0.8,N,NG
35,0100D381,1,OUT,0.0033096,0.0028434000000000003,0.005749800000000001,1500.0,282,1.88,N,NG
36,0100D381,2,OUT,0.0038472000000000003,0.0021378,0.0050904,1500.0,202,1.35,N,NG
37,0100D381,3,OUT,0.0023856000000000003,0.0014028000000000003,0.0041244,1500.0,229,1.53,N,NG
38,0100D381,4,OUT,0.0062538,0.004242,0.0074634,1500.0,241,1.61,N,NG
39,0100D381,5,IN,0.07217507000000001,,,4000.0,303,0.76,N,NG
40,0100D381,6,IN,0.05600052999999999,,,4000.0,292,0.73,N,NG
41,0100D522,1,OUT,0.0015582000000000003,0.0015036,0.0019488000000000003,1500.0,301,2.01,N,OK
42,0100D522,2,OUT,0.0024654000000000004,0.0019068000000000002,0.0028392,1500.0,236,1.57,N,NG
43,0100D522,3,OUT,0.0026166,0.0016380000000000003,0.0030282,1500.0,268,1.79,N,NG
44,0100D522,4,OUT,0.0008694,0.0010248,0.0018816,1500.0,230,1.53,N,NG
45,0100D522,5,IN,0.04898139,,,4000.0,307,0.77,N,NG
46,0100D522,6,IN,0.0442511,,,4000.0,345,0.86,N,NG
47,0100D802,1,OUT,0.004850999999999999,0.0024822,0.0043134,1500.0,264,1.76,N,NG
48,0100D802,2,OUT,0.003939600000000001,0.0022344,0.0034314000000000002,1500.0,231,1.54,N,NG
49,0100D802,3,OUT,0.0083622,0.007501200000000001,0.005014800000000001,1500.0,278,1.85,N,NG
50,0100D802,4,IN,0.03265426,,,4000.0,278,0.7,N,NG
51,0100D802,5,IN,0.02105742,,,4000.0,330,0.82,N,NG
52,0100Q012,1,OUT,0.0024108000000000003,0.0014910000000000001,0.0033684000000000006,1500.0,288,1.92,N,NG
53,0100Q012,2,OUT,0.0027467999999999998,0.0019194000000000001,0.0033852000000000005,1500.0,226,1.51,N,NG
54,0100Q012,3,OUT,0.0091854,0.007501200000000001,0.010537800000000002,1500.0,225,1.5,N,NG
55,0100Q012,4,OUT,0.0025956000000000004,0.002919,0.0049308,1500.0,223,1.49,N,NG
56,0100Q012,5,IN,0.01617454,,,4000.0,209,0.52,N,NG
57,0100Q012,6,IN,0.018615980000000004,,,4000.0,288,0.72,N,NG
58,0100Q342,1,OUT,0.0048552000000000005,0.008845200000000001,0.0086352,1500.0,340,2.27,N,OK
