,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0010B622,1,OUT,0.0021252000000000003,0.0017556,0.0049518,1500.0,351,2.34,N,OK
1,0010B622,2,OUT,0.0020537999999999997,0.0027300000000000002,0.0064764,1500.0,346,2.31,N,OK
2,0010B622,3,OUT,0.0010542,0.001071,0.0017598,1500.0,311,2.07,N,OK
3,0010B622,4,OUT,0.0019068000000000002,0.0025242,0.0038178000000000005,1500.0,256,1.71,N,NG
4,0010B622,5,IN,0.023346270000000002,,,4000.0,355,0.89,N,NG
5,0010B622,6,IN,0.020904830000000006,,,4000.0,482,1.2,N,NG
6,0010C262,1,OUT,0.0022260000000000005,0.0026796000000000003,0.004653600000000001,1500.0,273,1.82,N,NG
7,0010C262,2,OUT,0.002289,0.0022890000000000002,0.0020916,1500.0,250,1.67,N,NG
8,0010C262,3,OUT,0.0024948,0.0024527999999999998,0.0014112,1500.0,239,1.59,N,NG
9,0010C262,4,IN,0.02563512,,,4000.0,396,0.99,N,NG
10,0010C262,5,IN,0.018615979999999997,,,4000.0,429,1.07,N,NG
11,0010C571,1,OUT,0.0019950000000000002,0.0027636,0.0033683999999999997,1500.0,338,2.25,N,OK
12,0010C571,2,OUT,0.0016716,0.0015288,0.0022764,1500.0,338,2.25,N,OK
13,0010C571,3,OUT,0.001113,0.0016464,0.0020874,1500.0,314,2.09,N,OK
14,0010C571,4,OUT,0.000735,0.0009408000000000001,0.0015540000000000003,1500.0,295,1.97,N,NG
15,0010C571,5,IN,0.023346270000000002,,,4000.0,279,0.7,N,NG
16,0010C571,6,IN,0.018615979999999997,,,4000.0,388,0.97,N,NG
17,0010S194,1,OUT,0.0034062,0.0023226,0.001974,1500.0,329,2.19,N,OK
18,0010S194,2,OUT,0.0017976000000000001,0.0028518000000000003,0.0022890000000000002,1500.0,319,2.13,N,OK
19,0010S194,3,OUT,0.0029064,0.0044394,0.0054054,1500.0,347,2.31,N,OK
20,0010S194,4,OUT,0.0044394,0.0032802,0.004200000000000001,1500.0,288,1.92,N,NG
21,0010S194,5,IN,0.016327130000000002,,,4000.0,540,1.35,N,NG
22,0010S194,6,IN,0.02105742,,,4000.0,551,1.38,N,NG
23,0011B582,1,OUT,0.0032760000000000003,0.006787200000000001,0.0084588,1500.0,302,2.01,N,OK
24,0011B582,2,OUT,0.0032130000000000006,0.004771200000000001,0.008857799999999999,1500.0,295,1.97,N,NG
