,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,2010W443,1,OUT,0.0010836000000000003,0.0012012000000000004,0.0019109999999999995,1500.0,221,1.47,N,NG
1,2010W443,2,OUT,0.001449,0.0008526000000000002,0.0013566,1500.0,219,1.46,N,NG
2,2010W443,3,OUT,0.0018942000000000002,0.0015162000000000003,0.0016002,1500.0,289,1.93,N,NG
3,2010W443,4,OUT,0.0018564,0.0008736000000000002,0.0017388,1500.0,272,1.81,N,NG
4,2010W443,5,IN,0.28168114,,,4000.0,325,0.81,N,NG
5,2010W443,6,IN,1.297015,,,4000.0,383,0.96,N,NG
6,2010X551,1,OUT,0.0023772000000000003,0.0050946,0.0057498,1500.0,300,2.0,N,NG
7,2010X551,2,OUT,0.003192,0.004284,0.0042588,1500.0,236,1.57,N,NG
8,2010X551,3,OUT,0.005514600000000001,0.0075558000000000005,0.00924,1500.0,232,1.55,N,NG
9,2010X551,4,IN,0.21881406,,,4000.0,307,0.77,N,NG
10,2010X551,5,IN,0.01403828,,,4000.0,91,0.23,N,NG
11,2109Q792,1,OUT,0.0018186,0.0011885999999999997,0.0020958,1500.0,289,1.93,N,NG
12,2109Q792,2,OUT,0.0053046000000000005,0.00504,0.011230800000000003,1500.0,299,1.99,N,NG
13,2109Q792,3,OUT,0.0078414,0.006846000000000001,0.012306,1500.0,280,1.87,N,NG
14,2109Q792,4,IN,0.03494311,,,4000.0,260,0.65,N,NG
15,2109Q792,5,IN,0.03036541,,,4000.0,307,0.77,N,NG
16,2208A761,1,OUT,0.0033348,0.0020580000000000004,0.0033515999999999997,1500.0,269,1.79,N,NG
17,2208A761,2,OUT,0.0098952,0.009219,0.0091014,1500.0,259,1.73,N,NG
18,2208A761,3,OUT,0.015166200000000001,0.0101934,0.010109400000000001,1500.0,206,1.37,N,NG
19,2208A761,4,IN,0.7846177799999999,,,4000.0,311,0.78,N,NG
20,2208A761,5,IN,0.70313472,,,4000.0,288,0.72,N,NG
21,2208A771,1,OUT,0.0012138000000000001,0.001428,0.0016380000000000001,1500.0,272,1.81,N,NG
22,2208A771,2,OUT,0.0013524,0.0011886000000000004,0.001722,1500.0,194,1.29,N,NG
23,2208A771,3,OUT,0.0017892000000000003,0.0018858,0.0027384,1500.0,242,1.61,N,NG
24,2208A771,4,IN,0.13504215,,,4000.0,373,0.93,N,NG
25,2208A771,5,IN,0.06057823,,,4000.0,323,0.81,N,NG
26,2208A772,1,OUT,0.0017556000000000004,0.0017304000000000004,0.0019908,1000.0,332,3.32,N,OK
27,2208A772,2,OUT,0.0014448,0.0020622,0.0015078000000000001,1500.0,262,1.75,N,NG
28,2208A772,3,IN,0.04196225,,,4000.0,382,0.96,N,NG
29,2208A772,4,IN,0.06515593,,,4000.0,286,0.72,N,NG
30,2208A781,1,OUT,0.0033306000000000004,0.0019908,0.0034776,1500.0,282,1.88,N,NG
31,2208A781,2,OUT,0.002457,0.0023729999999999997,0.0036582000000000003,1500.0,271,1.81,N,NG
32,2208A781,3,IN,0.17456296000000002,,,4000.0,359,0.9,N,NG
33,2208A781,4,IN,0.25848746,,,4000.0,343,0.86,N,NG
34,2208A782,1,OUT,0.003759,0.003024,0.0053466,1300.0,294,2.26,N,OK
35,2208A782,2,OUT,0.0049854,0.0047502,0.0079296,1300.0,262,2.02,N,OK
36,2208A782,3,OUT,0.0051954,0.004876200000000001,0.008345400000000001,1300.0,245,1.88,N,NG
37,2208A782,4,OUT,0.0026418000000000006,0.004599000000000001,0.005350800000000001,1300.0,269,2.07,N,OK
38,2208A782,5,IN,0.18173468999999998,,,4000.0,314,0.78,N,NG
39,2208A782,6,IN,0.19089009,,,4000.0,281,0.7,N,NG
40,2208Q191,1,OUT,0.0037002000000000003,0.002247,0.0040824,1500.0,203,1.35,N,NG
41,2208Q191,2,OUT,0.0017388,0.0011676,0.0027174000000000005,1500.0,228,1.52,N,NG
42,2208Q191,3,OUT,0.003171,0.0048174,0.0060816,1500.0,210,1.4,N,NG
43,2208Q191,4,OUT,0.0030828,0.0048552000000000005,0.0052794,1500.0,218,1.45,N,NG
44,2208Q191,5,IN,0.023346270000000002,,,4000.0,277,0.69,N,NG
45,2208Q191,6,IN,0.02090483,,,4000.0,275,0.69,N,NG
46,2208Q371,1,OUT,0.0012263999999999999,0.0011424000000000002,0.0017892000000000003,1500.0,305,2.03,N,OK
47,2208Q371,2,OUT,0.0014910000000000001,0.0014112,0.0015329999999999999,1500.0,208,1.39,N,NG
48,2208Q371,3,IN,0.94056476,,,4300.0,388,0.9,N,NG
49,2208Q371,4,IN,0.24444918,,,4000.0,329,0.82,N,NG
50,2208Q481,1,OUT,0.0022932000000000004,0.0010542000000000001,0.0022386000000000003,1500.0,302,2.01,N,OK
51,2208Q481,2,OUT,0.0018312,0.0009996,0.0029568,1500.0,240,1.6,N,NG
52,2208Q481,3,OUT,0.0060774,0.004452,0.008177400000000001,1500.0,229,1.53,N,NG
53,2208Q481,4,OUT,0.005523000000000001,0.0065141999999999995,0.0095802,1500.0,199,1.33,N,NG
54,2208Q481,5,IN,0.40512645,,,4000.0,427,1.07,N,NG
55,2208Q481,6,IN,0.5168223300000001,,,4000.0,469,1.17,N,NG
