,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0998R572,1,OUT,0.0012096000000000001,0.0018816000000000002,0.0022512,1500.0,330,2.2,N,OK
1,0998R572,2,OUT,0.0018858000000000002,0.002629200000000001,0.0030744,1500.0,302,2.01,N,OK
2,0998R572,3,OUT,0.0020832000000000003,0.0038640000000000002,0.0029778000000000005,1500.0,257,1.71,N,NG
3,0998R572,4,OUT,0.0060522,0.005128199999999999,0.004775400000000001,1500.0,278,1.85,N,NG
4,0998R572,5,IN,0.03494311,,,4000.0,291,0.73,N,NG
5,0998R572,6,IN,0.041809660000000005,,,4000.0,411,1.03,N,NG
6,1093C001,1,OUT,0.00046620000000000006,0.0008148000000000001,0.0005795999999999999,1500.0,362,2.41,N,OK
7,1093C001,2,OUT,0.0011298000000000002,0.0009450000000000001,0.0019278000000000001,1500.0,295,1.97,N,NG
8,1093C001,3,OUT,0.0030534,0.0024234,0.0023057999999999998,1500.0,337,2.25,N,OK
9,1093C001,4,OUT,0.0007224000000000002,0.000588,0.0010164,1500.0,306,2.04,N,OK
10,1093C001,5,IN,0.020904830000000003,,,4000.0,248,0.62,N,NG
11,1093C001,6,IN,0.016327130000000002,,,4000.0,238,0.6,N,NG
12,1093C002,1,OUT,0.001176,0.000987,0.0014406000000000002,1500.0,284,1.89,N,NG
13,1093C002,2,OUT,0.000525,0.0006467999999999999,0.0010248,1500.0,305,2.03,N,OK
14,1093C002,3,OUT,0.0013062000000000002,0.0015414,0.0016254000000000004,1500.0,345,2.3,N,OK
15,1093C002,4,OUT,0.0009281999999999999,0.000735,0.0009492000000000001,1500.0,321,2.14,N,OK
16,1093C002,5,IN,0.01876857,,,4000.0,219,0.55,N,NG
17,1093C002,6,IN,0.01861598,,,4000.0,224,0.56,N,NG
18,1093C012,1,OUT,0.0021588,0.0018816000000000002,0.0026418,1500.0,379,2.53,N,OK
19,1093C012,2,OUT,0.0010458,0.0008106000000000003,0.0011928000000000002,1500.0,339,2.26,N,OK
20,1093C012,3,OUT,0.0011718000000000002,0.0015792000000000002,0.0015203999999999999,1500.0,284,1.89,N,NG
21,1093C012,4,OUT,0.0012012,0.0013734,0.0014364000000000004,1500.0,327,2.18,N,OK
22,1093C012,5,IN,0.02090483,,,4000.0,294,0.74,N,NG
23,1093C012,6,IN,0.02105742,,,4000.0,266,0.66,N,NG
24,1093C081,1,OUT,0.0010542,0.0011466,0.0017556000000000002,1500.0,326,2.17,N,OK
25,1093C081,2,OUT,0.0011634,0.0018900000000000002,0.001869,1500.0,358,2.39,N,OK
26,1093C081,3,OUT,0.0031332,0.0015708000000000002,0.0022638000000000003,1500.0,307,2.05,N,OK
27,1093C081,4,OUT,0.0017598000000000002,0.0014742000000000002,0.0023142,1500.0,280,1.87,N,NG
28,1093C081,5,IN,0.04196225,,,4000.0,300,0.75,N,NG
29,1093C081,6,IN,0.03494311,,,4000.0,362,0.9,N,NG
30,1093C082,1,OUT,0.0027552,0.0013985999999999998,0.0020286,1500.0,391,2.61,N,OK
31,1093C082,2,OUT,0.00041999999999999996,0.0004703999999999997,0.0012852000000000002,1500.0,343,2.29,N,OK
32,1093C082,3,OUT,0.0007518000000000002,0.0010205999999999998,0.0012894000000000004,1500.0,285,1.9,N,NG
33,1093C082,4,IN,0.03723196,,,4000.0,292,0.73,N,NG
34,1093C082,5,IN,0.034790520000000005,,,4000.0,300,0.75,N,NG
35,1093C092,1,OUT,0.0070098,0.0042798,0.0048552000000000005,1500.0,313,2.09,N,OK
36,1093C092,2,OUT,0.0064806,0.0046536,0.0084504,1500.0,402,2.68,N,OK
37,1093C092,3,OUT,0.0024402,0.0026082,0.0024192000000000003,1500.0,256,1.71,N,NG
38,1093C092,4,IN,0.04196224999999999,,,4000.0,300,0.75,N,NG
39,1093C092,5,IN,0.03250167,,,4000.0,287,0.72,N,NG
40,1093C191,1,OUT,0.0018396,0.001554,0.0030996,1500.0,358,2.39,N,OK
41,1093C191,2,OUT,0.0014448,0.0013608000000000003,0.0015666000000000002,1500.0,302,2.01,N,OK
42,1093C191,3,OUT,0.0018774000000000002,0.0011298,0.0014784,1500.0,567,3.78,N,OK
43,1093C191,4,OUT,0.0011088,0.0013860000000000003,0.0011508,1500.0,304,2.03,N,OK
44,1093C191,5,IN,0.03494311,,,4000.0,291,0.73,N,NG
45,1093C191,6,IN,0.03265426,,,4000.0,392,0.98,N,NG
46,1093C211,1,OUT,0.0009996,0.0010332000000000002,0.0013776,1500.0,344,2.29,N,OK
47,1093C211,2,OUT,0.0008064,0.0008568,0.0017052000000000002,1500.0,285,1.9,N,NG
48,1093C211,3,OUT,0.0009156000000000001,0.0007769999999999999,0.0016296,1500.0,326,2.17,N,OK
49,1093C211,4,OUT,0.0008064000000000001,0.0007560000000000002,0.0010374,1500.0,328,2.19,N,OK
50,1093C211,5,IN,0.048828800000000006,,,4000.0,319,0.8,N,NG
51,1093C211,6,IN,0.048828800000000006,,,4000.0,352,0.88,N,NG
52,1093C281,1,OUT,0.0023646,0.0015582000000000003,0.002646,1500.0,286,1.91,N,NG
53,1093C281,2,OUT,0.0017178000000000002,0.0027804,0.003494400000000001,1500.0,313,2.09,N,OK
54,1093C281,3,OUT,0.0014784,0.0010542000000000001,0.0019194,1500.0,380,2.53,N,OK
55,1093C281,4,OUT,0.0016422000000000003,0.0014574000000000004,0.0021042,1500.0,307,2.05,N,OK
56,1093C281,5,IN,0.0396734,,,4000.0,307,0.77,N,NG
57,1093C281,6,IN,0.04653995,,,4000.0,584,1.46,N,NG
58,1093C331,1,OUT,0.0023898,0.0020664000000000004,0.0031416,1500.0,310,2.07,N,OK
59,1093C331,2,OUT,0.0016338,0.0023394,0.0032424000000000003,1500.0,489,3.26,N,OK
60,1093C331,3,IN,0.046539950000000004,,,4000.0,553,1.38,N,NG
61,1093C331,4,IN,0.04653995,,,4000.0,387,0.97,N,NG
62,1093C781,1,OUT,0.0016674,0.0013188000000000002,0.0021126,1500.0,306,2.04,N,OK
63,1093C781,2,OUT,0.0020369999999999997,0.0019236000000000001,0.0022134,1500.0,265,1.77,N,NG
64,1093C781,3,OUT,0.0013062,0.0008316000000000003,0.0019656,1500.0,312,2.08,N,OK
65,1093C781,4,OUT,0.0007182000000000001,0.0010206,0.0008232000000000001,1500.0,317,2.11,N,OK
66,1093C781,5,IN,0.0442511,,,4000.0,330,0.82,N,NG
67,1093C781,6,IN,0.04196225,,,4000.0,485,1.21,N,NG
68,1195G561,1,OUT,0.0035826000000000005,0.002709,0.0048678,1500.0,266,1.77,N,NG
69,1195G561,2,OUT,0.0019320000000000003,0.002646,0.0032634,1500.0,229,1.53,N,NG
70,1195G561,3,OUT,0.001113,0.0012474,0.0013986000000000003,1500.0,211,1.41,N,NG
71,1195G561,4,OUT,0.0034608000000000004,0.0015162,0.002499000000000001,1500.0,237,1.58,N,NG
72,1195G561,5,IN,0.01861598,,,4000.0,350,0.88,N,NG
73,1195G561,6,IN,0.01617454,,,4000.0,451,1.13,N,NG
74,1195G562,1,OUT,0.0014070000000000003,0.0017136,0.0024654000000000004,1500.0,317,2.11,N,OK
75,1195G562,2,OUT,0.0017766000000000001,0.0016296000000000006,0.0027216000000000002,1500.0,265,1.77,N,NG
76,1195G562,3,OUT,0.0093954,0.0079674,0.0035028000000000004,1500.0,265,1.77,N,NG
77,1195G562,4,OUT,0.0183834,0.014259,0.013902000000000001,1500.0,327,2.18,N,OK
78,1195G562,5,IN,0.01388569,,,4000.0,308,0.77,N,NG
79,1195G562,6,IN,0.013885690000000006,,,4000.0,317,0.79,N,NG
80,1195G661,1,OUT,0.008110200000000001,0.0099918,0.0112686,1500.0,264,1.76,N,NG
81,1195G661,2,OUT,0.0009029999999999999,0.0016044,0.0019446,1500.0,281,1.87,N,NG
82,1195G661,3,OUT,0.0016422,0.0014826000000000002,0.0017388,1500.0,278,1.85,N,NG
83,1195G661,4,OUT,0.0009912000000000002,0.0012096,0.0011633999999999998,1500.0,282,1.88,N,NG
84,1195G661,5,IN,0.02334627,,,4000.0,436,1.09,N,NG
85,1195G661,6,IN,0.018615979999999997,,,4000.0,443,1.11,N,NG
86,1195G662,1,OUT,0.0026249999999999997,0.0017472000000000002,0.0025410000000000003,1500.0,300,2.0,N,NG
87,1195G662,2,OUT,0.0032466000000000005,0.004204200000000001,0.0050274000000000004,1500.0,321,2.14,N,OK
88,1195G662,3,OUT,0.0031542000000000002,0.003129,0.0048552000000000005,1500.0,274,1.83,N,NG
89,1195G662,4,IN,0.01876857,,,4000.0,248,0.62,N,NG
90,1195G662,5,IN,0.014038279999999998,,,4000.0,387,0.97,N,NG
