,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0920E221,1,OUT,0.0008946,0.0009660000000000007,0.001743,1500.0,250,1.67,N,NG
1,0920E221,2,OUT,0.0007476000000000001,0.00039480000000000027,0.0010668000000000001,1500.0,272,1.81,N,NG
2,0920E221,3,OUT,0.0010626000000000003,0.0013230000000000004,0.0014154,1500.0,368,2.45,N,OK
3,0920E221,4,IN,0.03265426,,,4000.0,349,0.87,N,NG
4,0920E221,5,IN,0.025635119999999997,,,4000.0,314,0.78,N,NG
5,0920Z321,1,OUT,0.0006216,0.0004787999999999997,0.0010458,1500.0,268,1.79,N,NG
6,0920Z321,2,OUT,0.0009450000000000001,0.0005460000000000005,0.0011130000000000003,1500.0,277,1.85,N,NG
7,0920Z321,3,OUT,0.0013104000000000002,0.0009240000000000001,0.0016631999999999999,1500.0,343,2.29,N,OK
8,0920Z321,4,OUT,0.0014910000000000001,0.0016338000000000001,0.0016590000000000003,1500.0,387,2.58,N,OK
9,0920Z321,5,IN,0.03265426,,,4000.0,294,0.74,N,NG
10,0920Z321,6,IN,0.025635119999999997,,,4000.0,256,0.64,N,NG
11,1015Q681,1,OUT,0.002709,0.0025494000000000003,0.0019152000000000001,1500.0,223,1.49,N,NG
12,1015Q681,2,OUT,0.0048720000000000005,0.0082404,0.012226200000000001,1500.0,502,3.35,N,OK
13,1015Q681,3,OUT,0.0011172,0.0011171999999999996,0.0018143999999999999,1500.0,196,1.31,N,NG
14,1015Q681,4,IN,0.01861598,,,4000.0,286,0.72,N,NG
15,1015Q681,5,IN,0.02792397,,,4000.0,424,1.06,N,NG
16,1015Q692,1,OUT,0.0008904000000000002,0.0016884000000000003,0.0018143999999999999,1500.0,285,1.9,N,NG
17,1015Q692,2,OUT,0.0008904000000000001,0.0015750000000000002,0.0018144000000000003,1500.0,228,1.52,N,NG
18,1015Q692,3,OUT,0.0006048,0.0006552000000000001,0.0009450000000000001,1500.0,259,1.73,N,NG
19,1015Q692,4,OUT,0.0007602,0.0011130000000000003,0.0013146000000000002,1500.0,253,1.69,N,NG
20,1015Q692,5,IN,0.018615980000000004,,,4000.0,251,0.63,N,NG
21,1015Q692,6,IN,0.016327130000000002,,,4000.0,256,0.64,N,NG
22,1016W671,1,OUT,0.0042588,0.0028518000000000003,0.0053508,1500.0,303,2.02,N,OK
23,1016W671,2,OUT,0.0028350000000000003,0.0032844000000000007,0.0033306000000000004,1500.0,312,2.08,N,OK
24,1016W671,3,OUT,0.001407,0.0021336000000000003,0.0030828000000000006,1500.0,258,1.72,N,NG
25,1016W671,4,IN,0.02563512,,,4000.0,402,1.0,N,NG
26,1016W671,5,IN,0.02319368,,,4000.0,389,0.97,N,NG
27,1016W681,1,IN,0.02792397,,,4000.0,465,1.16,N,NG
28,1016W681,2,IN,0.018615980000000004,,,4000.0,331,0.83,N,NG
29,1016W771,1,OUT,0.0007518,0.0011424000000000004,0.0013104,1500.0,290,1.93,N,NG
30,1016W771,2,OUT,0.0008106000000000001,0.0014574000000000002,0.0012516,1500.0,231,1.54,N,NG
31,1016W771,3,OUT,0.0007140000000000001,0.0010835999999999997,0.0012893999999999998,1500.0,291,1.94,N,NG
32,1016W771,4,OUT,0.0025494000000000003,0.0017052,0.0021672,1500.0,272,1.81,N,NG
33,1016W771,5,IN,0.02105742,,,4000.0,364,0.91,N,NG
34,1016W771,6,IN,0.02105742,,,4000.0,605,1.51,N,NG
35,1017H781,1,OUT,0.000861,0.0008106000000000007,0.0009282000000000001,1500.0,267,1.78,N,NG
36,1017H781,2,OUT,0.0009450000000000001,0.0013650000000000003,0.0012516,1500.0,236,1.57,N,NG
37,1017H781,3,OUT,0.0011298000000000002,0.0024654000000000004,0.0023016000000000004,1500.0,221,1.47,N,NG
38,1017H781,4,OUT,0.0009071999999999999,0.0009912000000000002,0.0014784000000000002,1500.0,216,1.44,N,NG
39,1017H781,5,IN,0.02105742,,,4000.0,283,0.71,N,NG
40,1017H781,6,IN,0.01861598,,,4000.0,532,1.33,N,NG
41,1019E881,1,OUT,0.0008610000000000001,0.0038094000000000005,0.0016884,1500.0,229,1.53,N,NG
42,1019E881,2,OUT,0.0009071999999999999,0.0007770000000000003,0.0023856,1500.0,313,2.09,N,OK
43,1019E881,3,OUT,0.0011088,0.0015414,0.0023310000000000006,1500.0,251,1.67,N,NG
44,1019E881,4,IN,0.02807656,,,4000.0,360,0.9,N,NG
45,1019E881,5,IN,0.023346270000000002,,,4000.0,262,0.66,N,NG
46,1020Y811,1,OUT,0.0007308,0.0011424,0.0012264,1500.0,247,1.65,N,NG
47,1020Y811,2,OUT,0.000651,0.0006678000000000001,0.0010122000000000004,1500.0,277,1.85,N,NG
48,1020Y811,3,OUT,0.001113,0.0009155999999999999,0.0019866000000000003,1500.0,253,1.69,N,NG
49,1020Y811,4,OUT,0.0010668000000000001,0.0007308000000000002,0.0017388000000000002,1500.0,319,2.13,N,OK
50,1020Y811,5,IN,0.016327130000000002,,,4000.0,301,0.75,N,NG
51,1020Y811,6,IN,0.01403828,,,4000.0,336,0.84,N,NG
52,1117G211,1,OUT,0.0014196,0.002247,0.004032,1500.0,269,1.79,N,NG
53,1117G211,2,OUT,0.0015498000000000003,0.0038724000000000002,0.005186999999999999,1500.0,249,1.66,N,NG
54,1117G211,3,OUT,0.0010584000000000001,0.001134,0.0013650000000000001,1500.0,203,1.35,N,NG
55,1117G211,4,OUT,0.0012852,0.0011088000000000005,0.0012894000000000004,1500.0,212,1.41,N,NG
56,1117G211,5,IN,0.02090483,,,4000.0,291,0.73,N,NG
57,1117G211,6,IN,0.01876857,,,4000.0,482,1.2,N,NG
58,1117H743,1,OUT,0.0012852,0.003994200000000001,0.0050022,1500.0,242,1.61,N,NG
59,1117H743,2,OUT,0.0012726,0.0012768000000000002,0.0024360000000000007,1500.0,216,1.44,N,NG
60,1117H743,3,OUT,0.004557,0.0042252,0.0064218,1500.0,236,1.57,N,NG
61,1117H743,4,OUT,0.004158,0.004095,0.0061866,1500.0,215,1.43,N,NG
62,1117H743,5,IN,0.02792397,,,4000.0,545,1.36,N,NG
63,1117H743,6,IN,0.01861598,,,4000.0,340,0.85,N,NG
64,1117Y962,1,OUT,0.0012432,0.000861,0.0014406000000000002,1500.0,236,1.57,N,NG
65,1117Y962,2,OUT,0.0011088,0.0023142,0.0023394000000000006,1500.0,218,1.45,N,NG
66,1117Y962,3,IN,0.023346270000000002,,,4000.0,327,0.82,N,NG
67,1117Y962,4,IN,0.02090483,,,4000.0,485,1.21,N,NG
68,1117Z062,1,OUT,0.00126,0.0011676000000000002,0.0015666,1500.0,263,1.75,N,NG
69,1117Z062,2,OUT,0.0011928000000000004,0.0014406000000000002,0.0009912000000000002,1500.0,223,1.49,N,NG
70,1117Z062,3,OUT,0.0011129999999999998,0.0013986000000000003,0.0019404000000000001,1500.0,278,1.85,N,NG
71,1117Z062,4,OUT,0.0008862000000000001,0.0009911999999999998,0.0013692,1500.0,261,1.74,N,NG
72,1117Z062,5,IN,0.016327130000000002,,,4000.0,288,0.72,N,NG
73,1117Z062,6,IN,0.018615980000000004,,,4000.0,936,2.34,N,OK
74,1118P702,1,OUT,0.0019908000000000005,0.0028896000000000004,0.0039942,1500.0,302,2.01,N,OK
75,1118P702,2,OUT,0.019005,0.0109872,0.0289002,1500.0,397,2.65,N,OK
76,1118P702,3,OUT,0.0025536,0.0009365999999999999,0.001533,1500.0,303,2.02,N,OK
77,1118P702,4,OUT,0.0025704,0.0011760000000000002,0.001953,1500.0,320,2.13,N,OK
78,1118P702,5,IN,0.02792397,,,4000.0,494,1.24,N,NG
79,1118P702,6,IN,0.025635119999999997,,,4000.0,393,0.98,N,NG
80,1118R191,1,OUT,0.0009828000000000003,0.0013566000000000001,0.0014196000000000005,1500.0,234,1.56,N,NG
81,1118R191,2,OUT,0.0005082,0.0010205999999999998,0.0010668000000000001,1500.0,205,1.37,N,NG
82,1118R191,3,OUT,0.001722,0.0008610000000000002,0.0020958,1500.0,486,3.24,N,OK
83,1118R191,4,OUT,0.0007182,0.0007896000000000001,0.0010668,1500.0,200,1.33,N,NG
84,1118R191,5,IN,0.025635119999999997,,,4000.0,449,1.12,N,NG
85,1118R191,6,IN,0.018615980000000004,,,4000.0,530,1.32,N,NG
86,1120D951,1,OUT,0.001953,0.00168,0.0025998,1500.0,371,2.47,N,OK
87,1120D951,2,OUT,0.0012558000000000003,0.0015036000000000003,0.0022848,1500.0,293,1.95,N,NG
88,1120D951,3,OUT,0.0027048000000000003,0.0009702000000000005,0.0018900000000000002,1500.0,322,2.15,N,OK
89,1120D951,4,IN,0.023346270000000002,,,4000.0,301,0.75,N,NG
90,1120D951,5,IN,0.01632713,,,4000.0,284,0.71,N,NG
91,1217A642,1,OUT,0.0032634000000000005,0.0014658000000000004,0.0029484000000000003,1500.0,260,1.73,N,NG
92,1217A642,2,OUT,0.0056112,0.0049644,0.0045401999999999994,1500.0,231,1.54,N,NG
93,1217A642,3,OUT,0.0098028,0.009277800000000001,0.012163200000000002,1500.0,261,1.74,N,NG
94,1217A642,4,OUT,0.0039648,0.0048804,0.005817,1500.0,254,1.69,N,NG
95,1217A642,5,IN,0.025635119999999997,,,4000.0,291,0.73,N,NG
96,1217A642,6,IN,0.02334627,,,4000.0,784,1.96,N,NG
97,1217Q061,1,OUT,0.0028098,0.0022302000000000003,0.0051366,1500.0,382,2.55,N,OK
98,1217Q061,2,OUT,0.0013146,0.0014616000000000002,0.0020286,1500.0,247,1.65,N,NG
99,1217Q061,3,OUT,0.0027594,0.0029820000000000003,0.0045948000000000004,1500.0,258,1.72,N,NG
100,1217Q061,4,OUT,0.0022512,0.0037044000000000005,0.006342,1500.0,224,1.49,N,NG
101,1217Q061,5,IN,0.037231959999999995,,,4000.0,308,0.77,N,NG
102,1217Q061,6,IN,0.025635119999999997,,,4000.0,307,0.77,N,NG
103,1217Q081,1,OUT,0.0024822000000000004,0.0019908,0.0054684,1500.0,269,1.79,N,NG
104,1217Q081,2,OUT,0.0014364,0.0027762000000000004,0.0017808,1500.0,240,1.6,N,NG
105,1217Q081,3,OUT,0.0007938000000000001,0.0015624000000000002,0.0012978,1500.0,247,1.65,N,NG
106,1217Q081,4,OUT,0.0014994000000000001,0.0015792000000000002,0.0027972,1500.0,253,1.69,N,NG
107,1217Q081,5,IN,0.03265426,,,4000.0,319,0.8,N,NG
108,1217Q081,6,IN,0.053559090000000004,,,4000.0,456,1.14,N,NG
109,1217Q162,1,OUT,0.0070056,0.0146076,0.0156786,1500.0,307,2.05,N,OK
110,1217Q162,2,OUT,0.0028266,0.0036875999999999996,0.0044226,1500.0,293,1.95,N,NG
111,1217Q162,3,OUT,0.0092148,0.012516000000000001,0.013293,1500.0,248,1.65,N,NG
112,1217Q162,4,OUT,0.0020874,0.0037464000000000004,0.0045780000000000005,1500.0,245,1.63,N,NG
113,1217Q162,5,IN,0.03265426,,,4000.0,291,0.73,N,NG
114,1217Q162,6,IN,0.020904830000000006,,,4000.0,336,0.84,N,NG
115,1217Q371,1,OUT,0.0012852000000000002,0.0025578000000000007,0.0028392,1500.0,306,2.04,N,OK
116,1217Q371,2,OUT,0.0013776,0.0011465999999999998,0.0024611999999999998,1500.0,251,1.67,N,NG
117,1217Q371,3,OUT,0.0018816000000000002,0.0015413999999999996,0.0027635999999999997,1500.0,295,1.97,N,NG
118,1217Q371,4,OUT,0.0018396000000000003,0.0021798,0.0035196000000000003,1500.0,270,1.8,N,NG
119,1217Q371,5,IN,0.01861598,,,4000.0,196,0.49,N,NG
120,1217Q371,6,IN,0.018615979999999997,,,4000.0,261,0.65,N,NG
121,1217S972,1,OUT,0.0013188000000000002,0.0018984000000000004,0.0014742000000000002,1500.0,486,3.24,N,OK
122,1217S972,2,OUT,0.0010374,0.0012558000000000003,0.0010458,1500.0,342,2.28,N,OK
123,1217S972,3,OUT,0.0008778000000000001,0.0014238000000000002,0.0023982000000000005,1500.0,350,2.33,N,OK
124,1217S972,4,OUT,0.0008274,0.0009534000000000001,0.0017934000000000001,1500.0,380,2.53,N,OK
125,1217S972,5,IN,0.03021282,,,4000.0,622,1.56,N,NG
126,1217S972,6,IN,0.02105742,,,4000.0,374,0.94,N,NG
127,1217Y241,1,OUT,0.0019614,0.0018143999999999999,0.0031920000000000004,1500.0,254,1.69,N,NG
128,1217Y241,2,OUT,0.0022932,0.0019068000000000002,0.0026753999999999997,1500.0,296,1.97,N,NG
129,1217Y241,3,OUT,0.0020076,0.0020076,0.0028098000000000003,1500.0,368,2.45,N,OK
130,1217Y241,4,OUT,0.0025326000000000003,0.0018018,0.004326,1500.0,282,1.88,N,NG
131,1217Y241,5,IN,0.02563512,,,4000.0,609,1.52,N,NG
132,1217Y241,6,IN,0.01861598,,,4000.0,438,1.1,N,NG
133,1219C763,1,OUT,0.0009659999999999998,0.0009618000000000001,0.0014238,1500.0,239,1.59,N,NG
134,1219C763,2,OUT,0.0011676000000000002,0.0016926000000000003,0.0020496,1500.0,221,1.47,N,NG
135,1219C763,3,OUT,0.0017388,0.0011172,0.0018858000000000002,1500.0,248,1.65,N,NG
