,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,2615D461,1,OUT,0.0032928000000000002,0.0021462,0.0044184,1500.0,226,1.51,N,NG
1,2615D461,2,OUT,0.002226,0.0008820000000000004,0.0021,1500.0,197,1.31,N,NG
2,2615D461,3,OUT,0.0020496,0.0011970000000000006,0.0023856,1500.0,233,1.55,N,NG
3,2615D461,4,OUT,0.0025116,0.0018858,0.0048846,1500.0,203,1.35,N,NG
4,2615D461,5,IN,0.7450969700000001,,,4000.0,273,0.68,N,NG
5,2615D461,6,IN,0.02563512,,,4000.0,304,0.76,N,NG
6,2615D571,1,OUT,0.0016170000000000002,0.0008316000000000003,0.0020202,1500.0,225,1.5,N,NG
7,2615D571,2,OUT,0.0022890000000000002,0.0028392,0.0046746,1500.0,229,1.53,N,NG
8,2615D571,3,OUT,0.001638,0.0015834,0.002772,1500.0,210,1.4,N,NG
9,2615D571,4,IN,1.50652107,,,4000.0,345,0.86,N,NG
10,2615D571,5,IN,0.15838842,,,4000.0,378,0.94,N,NG
11,2811Q971,1,OUT,0.0015960000000000004,0.0015498000000000003,0.0029021999999999997,1500.0,276,1.84,N,NG
12,2811Q971,2,OUT,0.0013440000000000001,0.0015666000000000005,0.0029946,1500.0,238,1.59,N,NG
13,2811Q971,3,OUT,0.0008316,0.0009030000000000004,0.0018144000000000003,1500.0,211,1.41,N,NG
14,2811Q971,4,OUT,0.0015876000000000002,0.0011129999999999998,0.0020958,1500.0,227,1.51,N,NG
15,2811Q971,5,IN,0.02105742,,,4000.0,250,0.62,N,NG
16,2811Q971,6,IN,0.018615979999999997,,,4000.0,265,0.66,N,NG
17,2811W071,1,OUT,0.0031416,0.0033768,0.005838,1500.0,287,1.91,N,NG
18,2811W071,2,OUT,0.0016589999999999999,0.00315,0.0034944000000000004,1000.0,205,2.05,N,OK
19,2811W071,3,OUT,0.0023982000000000005,0.0015792,0.0022344,1000.0,255,2.55,N,OK
20,2811W071,4,IN,0.03494311,,,4000.0,266,0.66,N,NG
21,2811W071,5,IN,0.02807656,,,4000.0,220,0.55,N,NG
22,2811Y622,1,OUT,0.0017808000000000001,0.0012516,0.0018942,1500.0,289,1.93,N,NG
23,2811Y622,2,OUT,0.0012768,0.0010752,0.001092,1500.0,242,1.61,N,NG
24,2811Y622,3,OUT,0.0013314,0.0015582,0.0014112,1500.0,228,1.52,N,NG
25,2811Y622,4,IN,0.84290716,,,4000.0,335,0.84,N,NG
26,2811Y622,5,IN,0.06042564,,,4000.0,356,0.89,N,NG
27,2911D991,1,OUT,0.0006468000000000001,0.0004115999999999998,0.0007098,1500.0,232,1.55,N,NG
28,2911D991,2,OUT,0.001974,0.0025368,0.004599000000000001,1500.0,209,1.39,N,NG
29,2911D991,3,OUT,0.0014112,0.0012726,0.0022890000000000002,1500.0,214,1.43,N,NG
30,2911D991,4,OUT,0.0012432,0.0009912000000000002,0.0013776,1500.0,200,1.33,N,NG
31,2911D991,5,IN,1.85335814,,,17500.0,356,0.2,N,NG
32,2911D991,6,IN,0.23743004,,,4000.0,314,0.78,N,NG
