,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0924B211,1,OUT,0.0035280000000000003,0.0064638000000000004,0.0096138,1500.0,309,2.06,N,OK
1,0924B211,2,OUT,0.0029064,0.0066528,0.009466800000000001,1500.0,259,1.73,N,NG
2,0924B211,3,OUT,0.0015372,0.0010164000000000002,0.0012726000000000003,1500.0,230,1.53,N,NG
3,0924B211,4,OUT,0.0017598000000000002,0.0012768000000000002,0.0022932000000000004,1500.0,254,1.69,N,NG
4,0924B211,5,OUT,0.0026880000000000003,0.0021,0.0020286,1500.0,203,1.35,N,NG
5,0924B211,6,IN,0.023346270000000002,,,4000.0,330,0.82,N,NG
6,0924B211,7,IN,0.018615979999999997,,,4000.0,481,1.2,N,NG
7,0924B231,1,OUT,0.0041916,0.005468400000000001,0.007753200000000002,1500.0,343,2.29,N,OK
8,0924B231,2,OUT,0.004531800000000001,0.005518800000000001,0.0076901999999999995,1500.0,251,1.67,N,NG
9,0924B231,3,IN,0.02319368,,,4000.0,362,0.9,N,NG
10,0924B231,4,IN,0.018615980000000004,,,4000.0,345,0.86,N,NG
11,0924B232,1,OUT,0.0016086,0.0012138000000000001,0.0018690000000000002,1500.0,278,1.85,N,NG
12,0924B232,2,OUT,0.001701,0.0023940000000000003,0.0020958,1500.0,251,1.67,N,NG
13,0924B232,3,OUT,0.0014742000000000002,0.0019530000000000003,0.0023982,1500.0,290,1.93,N,NG
14,0924B232,4,IN,0.01861598,,,4000.0,372,0.93,N,NG
15,0924B232,5,IN,0.02319368,,,4000.0,358,0.9,N,NG
16,0924B311,1,OUT,0.0013146000000000002,0.0010626000000000003,0.0015162,1500.0,269,1.79,N,NG
17,0924B311,2,OUT,0.0012516,0.001974,0.0023940000000000003,1500.0,234,1.56,N,NG
18,0924B311,3,IN,0.02090483,,,4000.0,291,0.73,N,NG
19,0924B311,4,IN,0.02105742,,,4000.0,287,0.72,N,NG
20,0924B313,1,OUT,0.0019362000000000003,0.0017304,0.0017514,1500.0,303,2.02,N,OK
21,0924B313,2,OUT,0.0017220000000000002,0.0016128,0.0019278000000000001,1500.0,241,1.61,N,NG
22,0924B313,3,OUT,0.002457,0.0028434000000000003,0.0034986000000000006,1500.0,255,1.7,N,NG
23,0924B313,4,OUT,0.0029106,0.0052962,0.0066738000000000006,1500.0,260,1.73,N,NG
24,0924B313,5,IN,0.02334627,,,4000.0,393,0.98,N,NG
25,0924B313,6,IN,0.023193680000000005,,,4000.0,353,0.88,N,NG
26,0924B321,1,OUT,0.0012348000000000003,0.00105,0.0017472000000000002,1500.0,261,1.74,N,NG
27,0924B321,2,OUT,0.0015371999999999999,0.001176,0.0025242000000000003,1500.0,243,1.62,N,NG
28,0924B321,3,OUT,0.0018606,0.001008,0.0022764,1500.0,218,1.45,N,NG
29,0924B321,4,OUT,0.0009240000000000001,0.0018396000000000003,0.002457,1500.0,199,1.33,N,NG
30,0924B321,5,IN,0.02792397,,,4000.0,465,1.16,N,NG
31,0924B321,6,IN,0.014038279999999998,,,4000.0,286,0.72,N,NG
32,0924B351,1,OUT,0.002268,0.0012684000000000003,0.0027636,1500.0,383,2.55,N,OK
33,0924B351,2,OUT,0.0016254000000000004,0.0014952,0.002331,1500.0,294,1.96,N,NG
34,0924B351,3,OUT,0.0017892,0.0020496000000000004,0.0025410000000000003,1500.0,271,1.81,N,NG
35,0924B351,4,IN,0.06759736999999999,,,4000.0,362,0.9,N,NG
36,0924B351,5,IN,0.0930799,,,4000.0,313,0.78,N,NG
37,0924B371,1,OUT,0.0010038,0.0005166000000000001,0.001659,1500.0,306,2.04,N,OK
38,0924B371,2,OUT,0.0008610000000000001,0.0006509999999999997,0.0012558000000000003,1500.0,296,1.97,N,NG
39,0924B371,3,OUT,0.0018564000000000002,0.0023520000000000004,0.0022596,1500.0,418,2.79,N,OK
40,0924B371,4,OUT,0.0021546000000000004,0.0029862000000000005,0.0032634000000000005,1500.0,329,2.19,N,OK
41,0924B371,5,OUT,0.0019782000000000003,0.002478,0.0026082,1500.0,713,4.75,N,OK
42,0924B371,6,OUT,0.0021588,0.0032214000000000006,0.0041244,1500.0,363,2.42,N,OK
43,0924B371,7,OUT,0.0020874,0.0038094,0.005796000000000001,1500.0,352,2.35,N,OK
44,0924B371,8,OUT,0.0022218000000000003,0.0040026,0.005623800000000001,1500.0,446,2.97,N,OK
45,0924B371,9,IN,0.11169588000000001,,,4000.0,240,0.6,N,NG
46,0924B371,10,IN,0.10711818000000001,,,4000.0,286,0.72,N,NG
47,0924B372,1,OUT,0.0212184,0.0289002,0.0287112,1500.0,724,4.83,B,OK
