,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
0,0924B211,,,,,,,,,,,,,,,,OK,N
0,0924B231,,,,,,,,,,,,,,,,OK,N
0,0924B232,,,,,,,,,,,,,,,,OK,N
0,0924B311,,,,,,,,,,,,,,,,OK,N
0,0924B313,,,,,,,,,,,,,,,,OK,N
0,0924B321,,,,,,,,,,,,,,,,OK,N
0,0924B351,,,,,,,,,,,,,,,,OK,N
0,0924B371,,,,,,,,,,,,,,,,OK,N
4,0924B372,3,OUT,5,0.2,20,40,0.92,0.403,0.489,0.959,-0.635,0.699,4.11,141.0,0.6,NG,N
6,0924B372,4,OUT,8,0.2,20,45,0.689,0.43,0.557,-0.83,-0.656,0.746,3.91,180.0,0.68,NG,N
5,0924B372,3,OUT,8,0.2,22,45,0.433,0.535,0.308,-0.658,0.731,-0.556,3.22,180.0,0.68,NG,N
2,0924B372,2,OUT,2,0.2,20,45,0.445,0.32,0.324,0.667,0.565,0.569,2.89,103.0,0.68,NG,N
3,0924B372,3,OUT,4,0.2,24,40,0.364,0.385,0.306,0.603,-0.621,-0.553,2.83,129.0,0.6,NG,N
7,0924B372,5,OUT,8,0.2,20,45,0.425,0.314,0.306,-0.652,-0.56,0.553,2.81,180.0,0.68,NG,N
1,0924B372,2,OUT,1,0.2,20,45,0.388,0.314,0.305,0.623,0.561,0.553,2.74,90.0,0.68,NG,N
0,0924B372,1,OUT,4,0.3,38,30,0.333,0.328,0.339,-0.577,-0.572,0.582,2.73,39.0,0.45,NG,N
0,0924B411,,,,,,,,,,,,,,,,OK,N
0,0924B413,,,,,,,,,,,,,,,,OK,N
0,0924B421,,,,,,,,,,,,,,,,OK,N
0,0924B441,,,,,,,,,,,,,,,,OK,N
0,0924B453,,,,,,,,,,,,,,,,OK,N
0,0924B472,,,,,,,,,,,,,,,,OK,N
0,0924B486,,,,,,,,,,,,,,,,OK,N
0,0924B491,,,,,,,,,,,,,,,,OK,N
0,0924B501,,,,,,,,,,,,,,,,OK,N
0,0924B502,,,,,,,,,,,,,,,,OK,N
0,0924B523,,,,,,,,,,,,,,,,OK,N
0,0924B524,,,,,,,,,,,,,,,,OK,N
0,0924B582,,,,,,,,,,,,,,,,OK,N
0,0924B661,,,,,,,,,,,,,,,,OK,N
0,0924B671,,,,,,,,,,,,,,,,OK,N
0,0924B691,,,,,,,,,,,,,,,,OK,N
0,0924B701,,,,,,,,,,,,,,,,OK,N
0,0924B702,,,,,,,,,,,,,,,,OK,N
0,0924B724,,,,,,,,,,,,,,,,OK,N
0,0924B741,,,,,,,,,,,,,,,,OK,N
0,0924B753,,,,,,,,,,,,,,,,OK,N
0,0924B762,,,,,,,,,,,,,,,,OK,N
0,0924B801,,,,,,,,,,,,,,,,OK,N
0,0924B802,,,,,,,,,,,,,,,,OK,N
0,0924B811,,,,,,,,,,,,,,,,OK,N
0,0924B812,,,,,,,,,,,,,,,,OK,N
0,0924B831,,,,,,,,,,,,,,,,OK,N
0,0924B841,,,,,,,,,,,,,,,,OK,N
0,0924B901,,,,,,,,,,,,,,,,OK,N
0,0924B903,,,,,,,,,,,,,,,,OK,N
0,0924B922,,,,,,,,,,,,,,,,OK,N
0,0924D371,,,,,,,,,,,,,,,,OK,N
0,0924D372,,,,,,,,,,,,,,,,OK,N
0,0924D373,,,,,,,,,,,,,,,,OK,N
0,0924D483,,,,,,,,,,,,,,,,OK,N
0,0924D493,,,,,,,,,,,,,,,,OK,N
0,0924D602,,,,,,,,,,,,,,,,OK,N
0,0924D606,,,,,,,,,,,,,,,,OK,N
0,0924D611,,,,,,,,,,,,,,,,OK,N
0,0924D612,,,,,,,,,,,,,,,,OK,N
0,0924D772,,,,,,,,,,,,,,,,OK,N
0,0924D781,,,,,,,,,,,,,,,,OK,N
0,0924E221,,,,,,,,,,,,,,,,OK,N
0,0924E222,,,,,,,,,,,,,,,,OK,N
0,0924E322,,,,,,,,,,,,,,,,OK,N
0,0924E331,,,,,,,,,,,,,,,,OK,N
0,0924E613,,,,,,,,,,,,,,,,OK,N
0,0924E621,,,,,,,,,,,,,,,,OK,N
0,0924E631,,,,,,,,,,,,,,,,OK,N
0,0924E632,,,,,,,,,,,,,,,,OK,N
0,0924E711,,,,,,,,,,,,,,,,OK,N
0,0924E804,,,,,,,,,,,,,,,,OK,N
0,0924E811,,,,,,,,,,,,,,,,OK,N
0,0924E902,,,,,,,,,,,,,,,,OK,N
0,0924F023,,,,,,,,,,,,,,,,OK,N
0,0924F101,,,,,,,,,,,,,,,,OK,N
0,0924F111,,,,,,,,,,,,,,,,OK,N
0,0924G881,,,,,,,,,,,,,,,,OK,N
0,0924G883,,,,,,,,,,,,,,,,OK,N
0,0924G885,,,,,,,,,,,,,,,,OK,N
0,0924G893,,,,,,,,,,,,,,,,OK,N
0,0924G894,,,,,,,,,,,,,,,,OK,N
0,0924H072,,,,,,,,,,,,,,,,OK,N
0,0924H091,,,,,,,,,,,,,,,,OK,N
0,0924H094,,,,,,,,,,,,,,,,OK,N
0,0924H171,,,,,,,,,,,,,,,,OK,N
0,0924H172,,,,,,,,,,,,,,,,OK,N
0,0924H191,,,,,,,,,,,,,,,,OK,N
0,0924H381,,,,,,,,,,,,,,,,OK,N
0,0924H383,,,,,,,,,,,,,,,,OK,N
0,0924H394,,,,,,,,,,,,,,,,OK,N
0,0924Q581,,,,,,,,,,,,,,,,OK,N
0,0924Q591,,,,,,,,,,,,,,,,OK,N
0,0924Q682,,,,,,,,,,,,,,,,OK,N
0,0924Q691,,,,,,,,,,,,,,,,OK,N
0,0924Q692,,,,,,,,,,,,,,,,OK,N
