,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,7935F791,2,OUT,0.0052794,0.004552800000000001,0.0071064000000000006,1500.0,340,2.27,N,OK
1,7935F791,3,OUT,0.0018186,0.0025284,0.0039144,1500.0,347,2.31,N,OK
2,7935F791,4,OUT,0.007282800000000001,0.0048888000000000004,0.009261,1500.0,355,2.37,N,OK
3,7935F791,5,OUT,0.007350000000000001,0.006430200000000001,0.0118692,1500.0,279,1.86,N,NG
4,7935F791,1,IN,0.07675277,,,4500.0,96,0.21,N,NG
5,7935W901,2,OUT,0.0012558,0.0014153999999999998,0.0021924,1500.0,250,1.67,N,NG
6,7935W901,3,OUT,0.0015204,0.0011466000000000002,0.0024864000000000006,1500.0,226,1.51,N,NG
7,7935W901,4,OUT,0.0013482000000000004,0.0007685999999999999,0.0011928,1500.0,187,1.25,N,NG
8,7935W901,5,OUT,0.001155,0.0012515999999999998,0.0019908,1500.0,204,1.36,N,NG
9,7935W901,1,IN,0.03265426,,,4300.0,169,0.39,N,NG
10,7935X111,2,OUT,0.0038346000000000005,0.0027006000000000005,0.0031290000000000003,1500.0,266,1.77,N,NG
11,7935X111,3,OUT,0.0062664,0.0065436,0.010945200000000002,1500.0,233,1.55,N,NG
12,7935X111,4,OUT,0.0018564000000000002,0.0024654,0.0019446000000000003,1500.0,238,1.59,N,NG
13,7935X111,5,OUT,0.0010206000000000002,0.0021629999999999996,0.0023898,1500.0,301,2.01,N,OK
14,7935X111,1,IN,0.041809660000000005,,,4500.0,222,0.49,N,NG
15,7935X151,2,OUT,0.0012222000000000001,0.0011844,0.0011802000000000002,1500.0,337,2.25,N,OK
16,7935X151,3,OUT,0.0015624,0.0028014,0.0029106,1500.0,277,1.85,N,NG
17,7935X151,4,OUT,0.0024612,0.0041076,0.005233200000000001,1500.0,268,1.79,N,NG
18,7935X151,5,OUT,0.0028182,0.0023645999999999997,0.0039018000000000004,1500.0,255,1.7,N,NG
19,7935X151,1,IN,0.03250167000000001,,,4300.0,154,0.36,N,NG
20,7935X163,2,OUT,0.0016002000000000002,0.0013901999999999999,0.0031458000000000007,1500.0,341,2.27,N,OK
21,7935X163,3,OUT,0.004347,0.0037128000000000005,0.0058044,1500.0,382,2.55,N,OK
22,7935X163,4,OUT,0.005384400000000001,0.007165200000000001,0.010353000000000001,1500.0,380,2.53,N,OK
23,7935X163,5,OUT,0.0032760000000000003,0.007614600000000001,0.010878,1500.0,393,2.62,N,OK
24,7935X163,6,OUT,0.0030575999999999997,0.0022890000000000002,0.0028014,1500.0,348,2.32,N,OK
25,7935X163,1,IN,0.053559090000000004,,,4400.0,193,0.44,N,NG
26,7935X251,2,OUT,0.0069972,0.0053088,0.0092988,1500.0,304,2.03,N,OK
27,7935X251,3,OUT,0.0043722000000000006,0.0022763999999999996,0.0065856000000000005,1500.0,219,1.46,N,NG
28,7935X251,4,OUT,0.0031962000000000006,0.0027552,0.006925800000000001,1500.0,337,2.25,N,OK
29,7935X251,1,IN,0.02807656,,,4400.0,216,0.49,N,NG
30,7935X742,1,OUT,0.0115416,0.0156786,0.0216972,1500.0,547,3.65,N,OK
31,7935X742,2,OUT,0.012553800000000002,0.016270800000000002,0.022033200000000003,1500.0,379,2.53,N,OK
32,7935X742,3,OUT,0.0202272,0.0157458,0.0216636,1500.0,385,2.57,N,OK
33,7935X742,4,OUT,0.018240600000000003,0.016976400000000003,0.0197106,1500.0,354,2.36,N,OK
34,7935X973,2,OUT,0.0033852,0.004590599999999999,0.0059262,1500.0,431,2.87,N,OK
35,7935X973,3,OUT,0.002562,0.0045864,0.004926600000000001,1500.0,305,2.03,N,OK
36,7935X973,4,OUT,0.0038724000000000002,0.0044142,0.0035322000000000005,1500.0,530,3.53,N,OK
37,7935X973,5,OUT,0.0032424,0.0045780000000000005,0.008643600000000001,1500.0,661,4.41,N,OK
38,7935X973,1,IN,0.03250167,,,4400.0,235,0.53,N,NG
39,7935Z511,2,OUT,0.0062244,0.0059766,0.0101598,1500.0,355,2.37,N,OK
40,7935Z511,3,OUT,0.0040152,0.005913600000000001,0.009042600000000001,1500.0,314,2.09,N,OK
41,7935Z511,4,OUT,0.0027930000000000003,0.0016506000000000003,0.0026334,1500.0,248,1.65,N,NG
42,7935Z511,1,IN,64.63803954,,,4400.0,164,0.37,N,NG
43,7936X704,1,OUT,0.0027426,0.0056994,0.0037170000000000003,1500.0,407,2.71,N,OK
44,7936X704,2,OUT,0.0044604,0.004519200000000001,0.0075054,1500.0,343,2.29,N,OK
45,7936X704,4,OUT,0.0025116,0.0067536,0.0020244,1500.0,337,2.25,N,OK
46,7936X704,5,OUT,0.0013397999999999997,0.0022806000000000002,0.0020874000000000005,1300.0,291,2.24,N,OK
47,8131D791,2,OUT,0.0098154,0.009168600000000002,0.0095802,1500.0,454,3.03,N,OK
48,8131D791,3,OUT,0.0038808000000000002,0.011789400000000002,0.0142842,1500.0,394,2.63,N,OK
49,8131D791,4,OUT,0.0112266,0.0026922,0.008887200000000001,1500.0,206,1.37,N,NG
50,8131D791,1,IN,0.02105742,,,4300.0,203,0.47,N,NG
51,8133G742,2,OUT,0.0012012000000000001,0.0017976,0.0010794,1500.0,256,1.71,N,NG
52,8133G742,3,OUT,0.0006804000000000001,0.0012978000000000002,0.001176,1500.0,188,1.25,N,NG
53,8133G742,4,OUT,0.0014028,0.0016254,0.0013398,1500.0,193,1.29,N,NG
54,8133G742,5,OUT,0.0025368,0.005203800000000001,0.006006000000000001,1500.0,202,1.35,N,NG
55,8133G742,1,IN,0.02105742,,,4300.0,223,0.52,N,NG
56,8133P241,2,OUT,0.0008862,0.0028728,0.0012558,1500.0,272,1.81,N,NG
57,8133P241,3,OUT,0.0015498000000000003,0.001638,0.0029568000000000003,1500.0,243,1.62,N,NG
58,8133P241,4,OUT,0.0010163999999999998,0.0026124000000000004,0.0025116,1500.0,208,1.39,N,NG
59,8133P241,5,OUT,0.0016002,0.0052584,0.001449,1500.0,218,1.45,N,NG
60,8133P241,1,IN,0.030365409999999995,,,4500.0,225,0.5,N,NG
61,8133Q632,2,OUT,0.001029,0.0011298,0.0016044000000000006,1500.0,203,1.35,N,NG
62,8133Q632,3,OUT,0.0012138000000000001,0.0017807999999999997,0.0024234,1500.0,216,1.44,N,NG
63,8133Q632,4,OUT,0.0010793999999999999,0.0006468000000000003,0.0012432000000000003,1500.0,162,1.08,N,NG
64,8133Q632,5,OUT,0.0009072,0.0012936,0.0018900000000000002,1500.0,258,1.72,N,NG
65,8133Q632,1,IN,0.02319368,,,4500.0,179,0.4,N,NG
66,8133Q731,2,OUT,0.0012852000000000002,0.0016212000000000002,0.0016379999999999997,1500.0,189,1.26,N,NG
67,8133Q731,3,OUT,0.0012348000000000003,0.0016212,0.001659,1500.0,163,1.09,N,NG
68,8133Q731,4,OUT,0.0007854,0.0016547999999999999,0.0019572,1500.0,154,1.03,N,NG
69,8133Q731,5,OUT,0.0007392,0.0015036000000000001,0.0018143999999999999,1500.0,170,1.13,N,NG
70,8133Q731,1,IN,0.03952081,,,4200.0,183,0.44,N,NG
71,8133S193,2,OUT,0.0008945999999999997,0.001218,0.0017388,1500.0,216,1.44,N,NG
72,8133S193,3,OUT,0.0022218000000000003,0.0042294,0.0059724,1500.0,218,1.45,N,NG
73,8133S193,4,OUT,0.0030072000000000002,0.0021882,0.0028266000000000003,1500.0,203,1.35,N,NG
74,8133S193,5,OUT,0.0024948,0.0013859999999999999,0.0015582000000000003,1500.0,203,1.35,N,NG
75,8133S193,1,IN,0.037384549999999996,,,4500.0,200,0.44,N,NG
76,8133W001,2,OUT,0.0022386000000000003,0.0058086,0.0026880000000000003,1500.0,271,1.81,N,NG
77,8133W001,3,OUT,0.0037800000000000004,0.0043554,0.0065352000000000006,1500.0,205,1.37,N,NG
