,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,8828X241,1,OUT,0.0020118000000000002,0.0025662,0.0038220000000000003,1500.0,113,0.75,N,NG
1,8828X241,2,OUT,0.0027803999999999997,0.0037254000000000007,0.0054432000000000005,1500.0,113,0.75,N,NG
2,8828X241,3,OUT,0.0019488,0.0011802000000000002,0.0024696,1500.0,89,0.59,N,NG
3,8828X241,4,OUT,0.0023268,0.0022176,0.004809000000000001,1500.0,91,0.61,N,NG
4,8829G061,2,OUT,0.0023604000000000003,0.0021042,0.0031542,1500.0,222,1.48,N,NG
5,8829G061,3,OUT,0.004683,0.0042714,0.0056658,1500.0,219,1.46,N,NG
6,8829G061,4,OUT,0.0014616,0.0033852000000000005,0.0031584,1500.0,201,1.34,N,NG
7,8829G061,5,OUT,0.0013776,0.0036498,0.0038640000000000002,1500.0,164,1.09,N,NG
8,8829G061,6,OUT,0.001428,0.004078200000000001,0.0046619999999999995,1500.0,161,1.07,N,NG
9,8829G061,1,IN,0.016327130000000002,,,4400.0,90,0.2,N,NG
10,8829G211,1,OUT,0.0023814,0.009105600000000002,0.007022400000000001,1500.0,116,0.77,N,NG
11,8829G211,2,OUT,0.0015750000000000002,0.0022974,0.0033096,1500.0,102,0.68,N,NG
12,8829G211,3,OUT,0.0016422000000000001,0.0021126,0.0022218000000000003,1500.0,97,0.65,N,NG
13,8829G211,4,OUT,0.0022554000000000003,0.0011004000000000003,0.0029861999999999996,1500.0,104,0.69,N,NG
14,8928E352,2,OUT,0.0022638000000000003,0.0014448,0.003276,1500.0,129,0.86,N,NG
15,8928E352,3,OUT,0.0027888,0.0012978000000000002,0.0019656,1500.0,95,0.63,N,NG
16,8928E352,4,OUT,0.0015707999999999998,0.0012810000000000002,0.0029694000000000005,1500.0,88,0.59,N,NG
17,8928E352,5,OUT,0.0011256,0.0016044,0.0034019999999999996,1500.0,94,0.63,N,NG
18,8928E352,1,IN,0.07446392,,,4500.0,80,0.18,N,NG
19,8928E535,2,OUT,0.014674800000000002,0.014259,0.0227136,1500.0,142,0.95,N,NG
20,8928E535,3,OUT,0.0150402,0.0185178,0.024717000000000003,1500.0,138,0.92,N,NG
21,8928E535,4,OUT,0.014338800000000002,0.0161952,0.020281800000000003,1500.0,131,0.87,N,NG
22,8928E535,5,OUT,0.0142716,0.014763,0.018547200000000003,1500.0,124,0.83,N,NG
23,8928E535,1,IN,0.016327130000000002,,,4200.0,101,0.24,N,NG
24,8928E591,2,OUT,0.0106302,0.013986,0.0234486,1500.0,212,1.41,N,NG
25,8928E591,3,OUT,0.0137172,0.013146000000000001,0.018438000000000003,1500.0,172,1.15,N,NG
26,8928E591,4,OUT,0.0163464,0.0128604,0.0172536,1500.0,177,1.18,N,NG
27,8928E591,5,OUT,0.010857,0.0103782,0.011928000000000001,1500.0,192,1.28,N,NG
28,8928E591,1,IN,0.22812205000000002,,,4500.0,98,0.22,N,NG
29,8928E693,1,OUT,0.0157878,0.017409,0.022852200000000003,1500.0,112,0.75,N,NG
30,8928E693,2,OUT,0.0138054,0.0141288,0.022129799999999998,1500.0,140,0.93,N,NG
31,8928E693,3,OUT,0.016002,0.015359400000000002,0.0220248,1500.0,95,0.63,N,NG
32,8928E693,4,OUT,0.015556800000000003,0.016997400000000003,0.024427200000000003,1500.0,182,1.21,N,NG
33,8929P381,1,OUT,0.012663,0.013948200000000001,0.018769800000000003,1500.0,237,1.58,N,NG
34,8929P381,2,OUT,0.010311,0.0114114,0.018933600000000002,1500.0,186,1.24,N,NG
35,8929P381,3,OUT,0.0263718,0.0289002,0.0241122,1500.0,202,1.35,N,NG
36,8929P381,4,OUT,0.0077532,0.012184200000000003,0.013809600000000002,1500.0,237,1.58,N,NG
37,8929P961,1,OUT,0.0011675999999999998,0.0011592000000000004,0.001407,1500.0,165,1.1,N,NG
38,8929P961,2,OUT,0.002478,0.0060858,0.0037506,1500.0,143,0.95,N,NG
39,8929P961,3,OUT,0.0010961999999999999,0.001344,0.0019614,1500.0,152,1.01,N,NG
40,8929P961,4,OUT,0.0012138000000000003,0.001659,0.0024864000000000006,1500.0,129,0.86,N,NG
41,8929R671,1,OUT,0.0015876000000000002,0.0017178000000000002,0.0018605999999999996,1500.0,110,0.73,N,NG
42,8929R671,2,OUT,0.0021671999999999998,0.0012642000000000003,0.0022092,1500.0,117,0.78,N,NG
43,8929R671,3,OUT,0.001659,0.0016002,0.0014994000000000001,1000.0,168,1.68,N,NG
