,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0430G883,2,OUT,0.0012852,0.000735,0.0019404000000000001,1000.0,124,1.24,N,NG
1,0430G883,3,OUT,0.0011844,0.001386,0.0029526000000000005,1500.0,186,1.24,N,NG
2,0430G883,4,OUT,0.0010793999999999999,0.0017850000000000001,0.0021966,1500.0,120,0.8,N,NG
3,0430G883,5,OUT,0.0017640000000000002,0.0012641999999999998,0.0031290000000000007,1500.0,106,0.71,N,NG
4,0430G883,1,IN,0.02563512,,,4300.0,119,0.28,N,NG
5,0930F381,2,OUT,0.0010626000000000001,0.0010626000000000001,0.0023982,1500.0,125,0.83,N,NG
6,0930F381,3,OUT,0.0017766000000000001,0.0017850000000000001,0.0015330000000000003,1500.0,98,0.65,N,NG
7,0930F381,4,OUT,0.0011676,0.0015498000000000003,0.0025032,1500.0,107,0.71,N,NG
8,0930F381,5,OUT,0.0015498,0.0015036000000000001,0.0031206000000000003,1500.0,98,0.65,N,NG
9,0930F381,1,IN,0.016327130000000002,,,4200.0,74,0.18,N,NG
10,0930G551,1,OUT,0.0011676,0.0012096000000000003,0.0026292,1500.0,163,1.09,N,NG
11,0930G551,2,OUT,0.0011172,0.0014658000000000004,0.0024822,1500.0,122,0.81,N,NG
12,0930G551,3,OUT,0.0008022000000000001,0.0011550000000000004,0.0024402,1500.0,157,1.05,N,NG
13,0930G551,4,OUT,0.0028350000000000007,0.0031584000000000004,0.004825800000000001,1500.0,147,0.98,N,NG
14,0930G571,2,OUT,0.0012180000000000001,0.005712000000000001,0.005502000000000002,1500.0,134,0.89,N,NG
15,0930G571,3,OUT,0.021945,0.0037758000000000006,0.012146400000000002,1500.0,329,2.19,N,OK
16,0930G571,4,OUT,0.0091602,0.0058674,0.0085848,1500.0,152,1.01,N,NG
17,0930G571,5,OUT,0.0019236000000000001,0.0061866,0.0050484,1500.0,160,1.07,N,NG
18,0930G571,1,IN,0.02319368,,,5500.0,130,0.24,N,NG
19,0939P671,2,OUT,0.0012936000000000002,0.0031374000000000003,0.0012978,1500.0,204,1.36,N,NG
20,0939P671,3,OUT,0.0011046,0.0063924,0.006736799999999999,1500.0,132,0.88,N,NG
21,0939P671,4,OUT,0.0019866000000000003,0.0061908,0.0078414,1500.0,118,0.79,N,NG
22,0939P671,5,OUT,0.0016380000000000001,0.005514600000000001,0.0047292,1500.0,184,1.23,N,NG
23,0939P671,1,IN,0.02105742,,,4500.0,95,0.21,N,NG
24,0939P681,2,OUT,0.0015204000000000003,0.002772,0.0037926,1500.0,280,1.87,N,NG
25,0939P681,3,OUT,0.0017388,0.0017598,0.0014448000000000002,1500.0,212,1.41,N,NG
26,0939P681,4,OUT,0.0019362000000000001,0.0040824,0.004376400000000001,1500.0,279,1.86,N,NG
27,0939P681,5,OUT,0.0015414000000000003,0.0034818,0.0029736,1500.0,183,1.22,N,NG
28,0939P681,1,IN,0.023346270000000002,,,5500.0,121,0.22,N,NG
29,1030D861,1,OUT,0.0010416000000000002,0.0011256,0.0014490000000000002,1500.0,139,0.93,N,NG
30,1030D861,2,OUT,0.0008526,0.0006258000000000004,0.0009114000000000004,1500.0,121,0.81,N,NG
31,1030D861,3,OUT,0.0016170000000000004,0.0010668000000000001,0.0020664000000000004,1500.0,124,0.83,N,NG
32,1030D861,4,OUT,0.0018648000000000004,0.0008946000000000002,0.001176,1500.0,128,0.85,N,NG
33,1031W071,2,OUT,0.0063546,0.0077448000000000005,0.0080346,1500.0,220,1.47,N,NG
34,1031W071,3,OUT,0.0071778,0.0123648,0.0107772,1500.0,178,1.19,N,NG
35,1031W071,4,OUT,0.020643,0.0199416,0.0281022,1500.0,168,1.12,N,NG
36,1031W071,5,OUT,0.019026,0.028358400000000002,0.0289002,1500.0,270,1.8,N,NG
37,1031W071,1,IN,0.10254048,,,4500.0,106,0.24,N,NG
38,1031W384,2,OUT,0.0023057999999999998,0.0028308,0.0046452,1500.0,110,0.73,N,NG
