,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
0,1038D082,2,OUT,4,0.2,34,30,0.337,0.599,0.69,0.58,-0.774,0.831,3.81,39.0,0.45,NG
15,1038D082,7,OUT,1,0.2,20,55,0.522,0.307,0.556,0.727,-0.554,0.759,3.42,0.0,1.27,NG
18,1038D082,7,OUT,4,0.25,20,55,0.447,0.512,0.301,0.67,0.715,0.541,3.19,39.0,1.27,NG
14,1038D082,6,OUT,8,0.2,32,60,0.312,0.434,0.507,0.56,-0.659,0.712,3.18,90.0,0.3,NG
9,1038D082,6,OUT,2,0.2,22,55,0.512,0.329,0.387,0.72,0.574,-0.623,3.14,13.0,0.28,NG
13,1038D082,6,OUT,7,0.2,26,60,0.509,0.308,0.399,0.716,-0.555,0.632,3.12,77.0,0.3,NG
8,1038D082,6,OUT,1,0.2,30,55,0.307,0.397,0.502,0.555,-0.63,0.708,3.1,0.0,0.28,NG
5,1038D082,4,OUT,6,0.2,22,55,0.492,0.397,0.31,0.701,-0.63,0.556,3.09,244.0,0.82,NG
7,1038D082,4,OUT,8,0.2,24,55,0.305,0.436,0.452,0.552,-0.661,0.673,3.08,270.0,0.82,NG
21,1038D082,7,OUT,7,0.2,26,55,0.536,0.3,0.318,0.738,0.548,0.56,3.0,77.0,1.27,NG
12,1038D082,6,OUT,5,0.45,20,60,0.462,0.322,0.356,0.679,-0.567,0.597,2.98,51.0,0.3,NG
20,1038D082,7,OUT,6,0.3,22,55,0.449,0.304,0.385,0.67,0.551,0.62,2.98,64.0,1.27,NG
16,1038D082,7,OUT,2,0.2,36,55,0.419,0.301,0.407,0.648,0.548,0.638,2.96,13.0,1.27,NG
2,1038D082,2,OUT,6,0.2,34,30,0.472,0.312,0.339,0.687,0.558,0.582,2.95,64.0,0.45,NG
19,1038D082,7,OUT,5,0.25,22,55,0.412,0.314,0.39,0.642,0.561,0.623,2.94,51.0,1.27,NG
11,1038D082,6,OUT,4,0.5,20,60,0.377,0.302,0.423,0.614,-0.549,0.65,2.92,39.0,0.3,NG
6,1038D082,4,OUT,7,0.2,20,55,0.371,0.363,0.354,0.609,0.602,0.595,2.89,257.0,0.82,NG
3,1038D082,2,OUT,7,0.2,28,30,0.416,0.309,0.355,0.645,0.556,0.595,2.88,77.0,0.45,NG
1,1038D082,2,OUT,5,0.25,20,60,0.392,0.322,0.347,0.626,-0.567,0.589,2.84,51.0,0.9,NG
17,1038D082,7,OUT,3,0.2,26,55,0.351,0.323,0.384,0.594,0.568,0.619,2.84,26.0,1.27,NG
10,1038D082,6,OUT,3,0.2,30,55,0.361,0.336,0.308,0.602,0.58,0.555,2.74,26.0,0.28,NG
4,1038D082,3,OUT,1,0.25,22,60,0.301,0.341,0.341,0.549,0.584,0.584,2.7,90.0,0.9,NG
