,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,8329G121,2,OUT,0.0027258,0.0052248,0.0024738,1500.0,255,1.7,N,NG
1,8329G121,3,OUT,0.00693,0.016569,0.013834800000000001,1500.0,206,1.37,N,NG
2,8329G121,4,OUT,0.0058548,0.0057540000000000004,0.006627600000000001,1500.0,263,1.75,N,NG
3,8329G121,5,OUT,0.007392000000000001,0.0018774000000000002,0.008912400000000001,1500.0,190,1.27,N,NG
4,8329G121,1,IN,0.02090483,,,4400.0,180,0.41,N,NG
5,8329G152,2,OUT,0.0028980000000000004,0.0029357999999999997,0.003969,1500.0,157,1.05,N,NG
6,8329G152,3,OUT,0.0023268,0.0027762,0.0030702,1500.0,166,1.11,N,NG
7,8329G152,4,OUT,0.0015203999999999999,0.0019782000000000003,0.0021168,1500.0,150,1.0,N,NG
8,8329G152,5,OUT,0.0011970000000000001,0.0023898,0.0037212,1500.0,143,0.95,N,NG
9,8329G152,1,IN,0.01876857,,,6000.0,261,0.44,N,NG
10,8329G171,2,OUT,0.0018900000000000006,0.0029484000000000003,0.0037632000000000004,1500.0,231,1.54,N,NG
11,8329G171,3,OUT,0.004200000000000001,0.0038052,0.0045780000000000005,1500.0,218,1.45,N,NG
12,8329G171,4,OUT,0.0019908,0.0014154,0.0018018000000000003,1000.0,121,1.21,N,NG
13,8329G171,1,IN,0.016327130000000002,,,4500.0,175,0.39,N,NG
14,8329G221,2,OUT,0.014473200000000002,0.0142674,0.019383000000000004,1500.0,129,0.86,N,NG
15,8329G221,3,OUT,0.015069599999999999,0.013981799999999999,0.018719400000000004,1500.0,119,0.79,N,NG
16,8329G221,4,OUT,0.013818,0.0156744,0.021961800000000004,1500.0,238,1.59,N,NG
17,8329G221,5,OUT,0.0138516,0.0192948,0.023167200000000002,1500.0,176,1.17,N,NG
18,8329G221,1,IN,0.19333153000000003,,,4500.0,190,0.42,N,NG
