,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,7534S821,2,OUT,0.0035237999999999997,0.0042084,0.0042336,1500.0,139,0.93,N,NG
1,7534S821,3,OUT,0.0027888,0.0016799999999999999,0.003801,1500.0,120,0.8,N,NG
2,7534S821,4,OUT,0.0019656,0.0020538000000000006,0.0024822000000000004,1500.0,173,1.15,N,NG
3,7534S821,1,IN,0.0396734,,,4200.0,133,0.32,N,NG
4,7930B481,2,OUT,0.0019068000000000002,0.0017682000000000002,0.002688,1500.0,220,1.47,N,NG
5,7930B481,3,OUT,0.0022386000000000003,0.0021714000000000004,0.0031794,1500.0,156,1.04,N,NG
6,7930B481,4,OUT,0.0031374000000000003,0.0031248000000000005,0.0052038,1500.0,267,1.78,N,NG
7,7930B481,1,IN,0.03021282,,,5500.0,158,0.29,N,NG
8,7930D531,2,OUT,0.012650400000000001,0.028555800000000003,0.025977,1500.0,204,1.36,N,NG
9,7930D531,3,OUT,0.009109800000000001,0.026090400000000003,0.023267999999999997,1500.0,170,1.13,N,NG
10,7930D531,4,OUT,0.003969,0.006035400000000001,0.0032508,1500.0,208,1.39,N,NG
11,7930D531,5,OUT,0.003922800000000001,0.0070686,0.0019866000000000003,1500.0,239,1.59,N,NG
12,7930D531,1,IN,0.26535401000000003,,,4300.0,121,0.28,N,NG
13,7930Q591,2,OUT,0.017568600000000004,0.018081,0.0289002,1500.0,172,1.15,N,NG
14,7930Q591,3,OUT,0.0191856,0.015514800000000002,0.027963599999999998,1500.0,155,1.03,N,NG
15,7930Q591,4,OUT,0.0184254,0.0158592,0.0249606,1500.0,178,1.19,N,NG
16,7930Q591,5,OUT,0.014868,0.0162624,0.0204498,1500.0,182,1.21,N,NG
17,7930Q591,1,IN,0.24673803,,,4500.0,97,0.22,N,NG
18,7932A892,2,OUT,0.0016632,0.0018942000000000004,0.0032676000000000003,1500.0,267,1.78,N,NG
19,7932A892,3,OUT,0.0023310000000000006,0.0032465999999999997,0.005980800000000001,1500.0,239,1.59,N,NG
20,7932A892,4,OUT,0.0036666000000000003,0.00294,0.0041789999999999996,1500.0,230,1.53,N,NG
21,7932A892,5,OUT,0.0019614000000000003,0.0014910000000000001,0.0024738,1500.0,248,1.65,N,NG
22,7932A892,1,IN,0.0442511,,,4300.0,120,0.28,N,NG
23,7932B331,1,OUT,0.0020748,0.003234,0.004943400000000001,1500.0,170,1.13,N,NG
24,7932B331,2,OUT,0.0017262000000000002,0.0020874,0.002625,1500.0,151,1.01,N,NG
25,7932B331,3,OUT,0.0021756,0.0023226,0.0035658,1500.0,142,0.95,N,NG
26,7932B331,4,OUT,0.0017178000000000002,0.0018647999999999998,0.0037716,1500.0,139,0.93,N,NG
