,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,9041F091,2,OUT,0.019005,0.0179382,0.0230874,1500.0,191,1.27,N,NG
1,9041F091,3,OUT,0.012965400000000002,0.015330000000000002,0.0207732,1500.0,200,1.33,N,NG
2,9041F091,4,OUT,0.0161532,0.016266600000000003,0.0205548,1500.0,136,0.91,N,NG
3,9041F091,1,IN,0.11642617,,,4400.0,80,0.18,N,NG
4,9041F651,2,OUT,0.0010961999999999999,0.0009282000000000006,0.0013775999999999999,1500.0,118,0.79,N,NG
5,9041F651,3,OUT,0.0006888,0.0008904000000000004,0.0013901999999999999,1500.0,109,0.73,N,NG
6,9041F651,4,OUT,0.0011214,0.0010163999999999998,0.0016926000000000003,1500.0,98,0.65,N,NG
7,9041F651,5,OUT,0.0014784000000000002,0.0009575999999999999,0.0012516000000000003,1500.0,85,0.57,N,NG
8,9041F651,1,IN,0.02792397,,,4500.0,113,0.25,N,NG
9,9041H641,1,OUT,0.013503000000000001,0.019727400000000003,0.027951000000000004,1500.0,170,1.13,N,NG
10,9041H641,2,OUT,0.0146832,0.019063800000000002,0.022491000000000004,1500.0,125,0.83,N,NG
11,9041H641,3,OUT,0.0144396,0.014221200000000002,0.0216132,1500.0,146,0.97,N,NG
12,9041H641,4,OUT,0.0163506,0.014511000000000001,0.0223104,1500.0,177,1.18,N,NG
13,9041H742,2,OUT,0.0018228,0.0020034000000000007,0.0035448000000000003,1500.0,136,0.91,N,NG
14,9041H742,3,OUT,0.0011970000000000001,0.0018396000000000003,0.0025367999999999996,1500.0,115,0.77,N,NG
15,9041H742,4,OUT,0.0019950000000000002,0.0011004,0.0016086,1500.0,117,0.78,N,NG
16,9041H742,5,OUT,0.0010164000000000002,0.0007223999999999998,0.0011634000000000002,1500.0,89,0.59,N,NG
17,9041H742,1,IN,0.01876857,,,4300.0,88,0.2,N,NG
18,9041H761,2,OUT,0.001512,0.0022722000000000007,0.003969,1500.0,130,0.87,N,NG
19,9041H761,3,OUT,0.0023604000000000003,0.0020537999999999997,0.0049266,1500.0,94,0.63,N,NG
20,9041H761,4,OUT,0.0018438000000000003,0.0022470000000000003,0.004981200000000001,1500.0,103,0.69,N,NG
21,9041H761,5,OUT,0.0026922000000000005,0.003108,0.0041622,1500.0,108,0.72,N,NG
22,9041H761,1,IN,0.06988622,,,4500.0,113,0.25,N,NG
23,9041H941,2,OUT,0.0014196,0.0016758,0.003024,1500.0,212,1.41,N,NG
24,9041H941,3,OUT,0.003213,0.0033852,0.0048216000000000005,1500.0,113,0.75,N,NG
25,9041H941,4,OUT,0.0031626,0.006199200000000001,0.0075432,1500.0,135,0.9,N,NG
26,9041H941,5,OUT,0.0019235999999999997,0.0011592000000000002,0.0022470000000000003,1500.0,185,1.23,N,NG
27,9041H941,1,IN,0.02090483,,,4500.0,82,0.18,N,NG
28,9041X791,1,OUT,0.0014028,0.0010794,0.0014910000000000001,1500.0,139,0.93,N,NG
29,9041X791,2,OUT,0.0008232000000000001,0.0009828000000000003,0.0017009999999999998,1500.0,157,1.05,N,NG
30,9041X791,3,OUT,0.0013230000000000002,0.0005166000000000001,0.001386,1500.0,127,0.85,N,NG
31,9041X791,4,OUT,0.0009408000000000002,0.0006257999999999997,0.0022050000000000004,1500.0,118,0.79,N,NG
32,9141A021,2,OUT,0.0012936000000000002,0.0019194000000000004,0.0027929999999999995,1500.0,104,0.69,N,NG
33,9141A021,3,OUT,0.0016968,0.003486,0.0052248,1500.0,222,1.48,N,NG
34,9141A021,4,OUT,0.0009786,0.0012096,0.0014028,1500.0,171,1.14,N,NG
35,9141A021,5,OUT,0.0015582,0.0006510000000000001,0.0007476,1500.0,132,0.88,N,NG
36,9141A021,1,IN,0.0442511,,,4300.0,81,0.19,N,NG
37,9141A464,2,OUT,0.0155526,0.0156744,0.0248892,1500.0,177,1.18,N,NG
38,9141A464,3,OUT,0.017031,0.020517,0.020974800000000002,1500.0,198,1.32,N,NG
39,9141A464,4,OUT,0.014733600000000001,0.0138222,0.0170982,1500.0,185,1.23,N,NG
40,9141A464,5,OUT,0.014221200000000002,0.0182784,0.021672,1500.0,141,0.94,N,NG
41,9141A464,1,IN,0.10955962,,,4300.0,101,0.23,N,NG
42,9141A481,2,OUT,0.0012599999999999998,0.000693,0.0014658000000000002,1500.0,125,0.83,N,NG
43,9141A481,3,OUT,0.0019866000000000003,0.003969,0.005275200000000001,1500.0,132,0.88,N,NG
44,9141A481,4,OUT,0.011852399999999999,0.0173376,0.017463600000000003,1500.0,116,0.77,N,NG
45,9141A481,5,OUT,0.0102984,0.0048594,0.007719600000000001,1500.0,111,0.74,N,NG
46,9141A481,1,IN,0.02105742,,,4300.0,116,0.27,N,NG
47,9435D841,2,OUT,0.0043638,0.004792200000000001,0.0076398,1500.0,160,1.07,N,NG
48,9435D841,1,IN,0.01876857,,,4000.0,81,0.2,N,NG
49,9435G621,1,OUT,0.0020412,0.0070476,0.0067872,1500.0,180,1.2,N,NG
50,9435G621,2,OUT,0.004754400000000001,0.00294,0.0024654,1500.0,170,1.13,N,NG
51,9435G621,3,OUT,0.0055776,0.004670400000000001,0.0046662000000000006,1500.0,173,1.15,N,NG
52,9435G621,4,OUT,0.0015372000000000003,0.0036330000000000004,0.0026166,1500.0,145,0.97,N,NG
53,9435G621,5,OUT,0.0023478000000000006,0.0079926,0.0070392,1500.0,130,0.87,N,NG
54,9435G621,6,IN,0.016327130000000002,,,4000.0,71,0.18,N,NG
55,9635A411,2,OUT,0.018375000000000002,0.021550200000000002,0.025830000000000002,1500.0,174,1.16,N,NG
56,9635A411,3,OUT,0.022100400000000003,0.0158508,0.0258636,1500.0,177,1.18,N,NG
57,9635A411,4,OUT,0.01848,0.0169092,0.0258216,1500.0,151,1.01,N,NG
58,9635A411,5,OUT,0.0168168,0.019101600000000003,0.024242400000000004,1500.0,113,0.75,N,NG
59,9635A411,1,IN,0.34698966000000003,,,4500.0,112,0.25,N,NG
60,9635G241,1,OUT,0.0016086,0.0031920000000000004,0.004788,1500.0,113,0.75,N,NG
61,9635G241,2,OUT,0.001659,0.0010416,0.0027342000000000004,1500.0,119,0.79,N,NG
62,9635G241,4,OUT,0.0013272000000000002,0.0014447999999999998,0.002415,1500.0,137,0.91,N,NG
63,9635Q991,1,OUT,0.0011130000000000003,0.0009450000000000005,0.0016128,1500.0,99,0.66,N,NG
64,9635Q991,2,OUT,0.004653600000000001,0.0107394,0.0067368,1500.0,136,0.91,N,NG
65,9635Q991,3,OUT,0.0017052,0.0012558000000000003,0.0020622000000000006,1500.0,130,0.87,N,NG
66,9637X264,1,OUT,0.010218600000000001,0.012499199999999999,0.0193452,1500.0,107,0.71,N,NG
67,9637X264,2,OUT,0.012264,0.013188000000000002,0.016002000000000002,1500.0,98,0.65,N,NG
68,9637X264,3,OUT,0.011852399999999999,0.0135954,0.017623200000000002,1500.0,89,0.59,N,NG
69,9637X264,4,OUT,0.0168588,0.011298,0.0171276,1500.0,86,0.57,N,NG
70,9735C871,1,OUT,0.0009828,0.0013691999999999999,0.0018648,1000.0,234,2.34,N,OK
71,9735C871,2,OUT,0.0012474,0.0017513999999999997,0.0017892000000000003,1000.0,207,2.07,N,OK
72,9735C871,3,OUT,0.0015624,0.0011297999999999996,0.0021294,1000.0,229,2.29,N,OK
73,9736S084,2,OUT,0.0012054000000000001,0.0016464000000000003,0.0020160000000000004,1500.0,130,0.87,N,NG
