,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,7042F652,1,OUT,0.015288,0.0188076,0.0240408,1500.0,175,1.17,N,NG
1,7042F652,2,OUT,0.0123858,0.0191268,0.0249018,1500.0,209,1.39,N,NG
2,7042F652,3,OUT,0.016955400000000002,0.0162246,0.0244146,1500.0,144,0.96,N,NG
3,7042F652,4,OUT,0.0132846,0.014758800000000002,0.025090800000000003,1500.0,141,0.94,N,NG
4,7042F652,5,IN,0.39124076,,,4400.0,140,0.32,N,NG
5,7042F781,1,OUT,0.0161448,0.014498400000000002,0.0246708,1500.0,147,0.98,N,NG
6,7042F781,2,OUT,0.0164178,0.0162792,0.0272538,1500.0,188,1.25,N,NG
7,7042F781,3,OUT,0.015317400000000002,0.0142842,0.026716200000000002,1500.0,145,0.97,N,NG
8,7042F781,4,OUT,0.015737400000000002,0.014872200000000002,0.0214074,1500.0,153,1.02,N,NG
9,7042F781,5,IN,0.14206129,,,4500.0,143,0.32,N,NG
10,7042F862,2,OUT,0.0011676000000000002,0.0017052,0.0018101999999999999,1500.0,218,1.45,N,NG
11,7042F862,3,OUT,0.0007056,0.0011633999999999998,0.0015498,1500.0,195,1.3,N,NG
12,7042F862,4,OUT,0.0008064000000000001,0.0012264,0.0016464000000000001,1500.0,181,1.21,N,NG
13,7042F862,5,OUT,0.0012138,0.0015498000000000005,0.0023898000000000005,1500.0,312,2.08,N,OK
14,7042F862,1,IN,0.053559090000000004,,,4300.0,139,0.32,N,NG
15,7042X572,2,OUT,0.0164094,0.015439200000000004,0.0202902,1500.0,191,1.27,N,NG
16,7042X572,3,OUT,0.0155652,0.0179676,0.027783000000000002,1500.0,150,1.0,N,NG
17,7042X572,4,OUT,0.0135786,0.014065800000000002,0.0199164,1500.0,115,0.77,N,NG
18,7042X572,5,OUT,0.012621,0.0208866,0.0252378,1500.0,114,0.76,N,NG
19,7042X572,1,IN,0.30044971,,,5500.0,171,0.31,N,NG
20,7042X672,2,OUT,0.012831,0.013003200000000001,0.022906799999999998,1500.0,142,0.95,N,NG
21,7042X672,3,OUT,0.0142674,0.0202692,0.0239568,1500.0,170,1.13,N,NG
22,7042X672,4,OUT,0.014280000000000001,0.014498400000000002,0.018858,1500.0,146,0.97,N,NG
23,7042X672,5,OUT,0.0129528,0.0148386,0.019966800000000003,1500.0,162,1.08,N,NG
24,7042X672,1,IN,0.33066253,,,4300.0,180,0.42,N,NG
