,poleid,s_num,stype,PtP_x,PtP_y,PtP_z,Scan_len,Scan_points,Scan_V,breakstate,State
0,0033W201,4,OUT,0.0029106,0.0033515999999999997,0.0075096,1500.0,164,1.09,N,NG
1,0033W201,5,OUT,0.0044268,0.0048468,0.007845600000000001,1500.0,312,2.08,N,OK
2,0033W201,6,OUT,0.004443600000000001,0.003343200000000001,0.0039144,1500.0,246,1.64,N,NG
3,0033W201,7,OUT,0.0047838,0.004095,0.0059808000000000005,1500.0,173,1.15,N,NG
4,0033W201,1,IN,0.11184847,,,4000.0,117,0.29,N,NG
5,0033W201,2,IN,0.11413732,,,4000.0,105,0.26,N,NG
6,0033W201,3,IN,0.19546779,,,4000.0,115,0.29,N,NG
7,0131F183,4,OUT,0.0033978000000000003,0.0040614,0.004897200000000001,1500.0,148,0.99,N,NG
8,0131F183,5,OUT,0.0023268,0.0042252,0.004998000000000001,1500.0,189,1.26,N,NG
9,0131F183,6,OUT,0.0013230000000000002,0.0040572,0.004662,1500.0,169,1.13,N,NG
10,0131F183,7,OUT,0.0017051999999999998,0.0029778,0.0028853999999999998,1500.0,177,1.18,N,NG
11,0131F183,1,IN,0.16067727,,,4000.0,73,0.18,N,NG
12,0131F183,2,IN,0.16296612,,,4000.0,121,0.3,N,NG
13,0131F183,3,IN,0.14206129,,,4000.0,99,0.25,N,NG
14,0131X321,4,OUT,0.0003485999999999999,0.0004914000000000003,0.0008063999999999999,1500.0,134,0.89,N,NG
15,0131X321,5,OUT,0.0011508,0.00039900000000000005,0.0006215999999999999,1500.0,108,0.72,N,NG
16,0131X321,6,OUT,0.0010961999999999999,0.0004913999999999999,0.0013230000000000002,1500.0,229,1.53,N,NG
17,0131X321,7,OUT,0.0028770000000000002,0.0011003999999999999,0.0025242000000000003,1500.0,221,1.47,N,NG
18,0131X321,1,IN,0.07446392,,,4000.0,133,0.33,N,NG
19,0131X321,2,IN,0.07217507,,,4000.0,96,0.24,N,NG
20,0131X321,3,IN,0.058289379999999995,,,4000.0,106,0.26,N,NG
21,0132B281,4,OUT,0.0026124,0.0023898000000000005,0.004355400000000001,1500.0,163,1.09,N,NG
22,0132B281,5,OUT,0.0028098000000000003,0.0017136000000000002,0.003108,1500.0,159,1.06,N,NG
23,0132B281,6,OUT,0.0021336000000000003,0.0018942,0.0022596000000000005,1500.0,139,0.93,N,NG
24,0132B281,7,OUT,0.0020454,0.0022050000000000004,0.003213,1500.0,133,0.89,N,NG
25,0132B281,1,IN,0.10482933000000001,,,4000.0,158,0.4,N,NG
26,0132B281,2,IN,0.16296612000000002,,,4000.0,99,0.25,N,NG
27,0132B281,3,IN,0.10711818000000001,,,4000.0,113,0.28,N,NG
28,0132F731,4,OUT,0.0005838000000000001,0.0004829999999999999,0.0008442000000000001,-1500.0,131,-0.87,N,NG
29,0132F731,5,OUT,0.00047880000000000004,0.0003864000000000003,0.0006173999999999999,-1500.0,142,-0.95,N,NG
30,0132F731,6,OUT,0.0009996,0.0006846,0.0014238000000000002,-1500.0,182,-1.21,N,NG
